title,project_name,spec_section,due_date
Curtain Wall System - Blast Resistant Glazing Shop Drawings,Federal District Courthouse & Public Safety Complex,08 44 13,2026-02-01
Structural Steel Shop Drawings - Level 11-12,Federal District Courthouse & Public Safety Complex,05 12 00,2026-01-28
Security Door Hardware - Detention Area,Federal District Courthouse & Public Safety Complex,08 71 13,2026-02-15
Mechanical HVAC - Courtroom Air Handling Units,Federal District Courthouse & Public Safety Complex,23 73 13,2026-02-20
Electrical - Switchgear and Distribution Panel Submittals,Federal District Courthouse & Public Safety Complex,26 24 13,2026-01-30
Fire Suppression System - Level 1-6 Shop Drawings,Federal District Courthouse & Public Safety Complex,21 13 13,2026-02-10
Exterior Granite Veneer - Sample and Shop Drawings,Federal District Courthouse & Public Safety Complex,04 40 00,2026-02-28
LEED Low-Emitting Materials Documentation - Paints & Coatings,Federal District Courthouse & Public Safety Complex,01 35 15,2026-02-25
Security Access Control System - System Architecture Submittal,Federal District Courthouse & Public Safety Complex,28 13 00,2026-03-01
Lobby Stone Tile - Samples and Installation Drawings,Federal District Courthouse & Public Safety Complex,09 63 40,2026-02-05
