name,color,start_date,end_date,project_name
Pre-Outage Planning and Parts Staging,#6b7280,2025-02-01,2025-02-28,GT1 Combustion Inspection 2025
GT1 Combustion Inspection - Active Outage,#dc2626,2025-03-01,2025-03-21,GT1 Combustion Inspection 2025
Post-Outage Testing and Return to Service,#15803d,2025-03-21,2025-03-25,GT1 Combustion Inspection 2025
Pre-Outage Planning Long Lead Parts,#6b7280,2025-06-01,2025-09-04,GT2 Hot Gas Path Inspection 2025
GT2 HGP Active Outage,#dc2626,2025-09-05,2025-10-02,GT2 Hot Gas Path Inspection 2025
Post-Outage Performance Testing,#15803d,2025-10-02,2025-10-10,GT2 Hot Gas Path Inspection 2025
IAC Expansion Installation,#1d4ed8,2025-01-15,2025-02-28,Inlet Air Chiller Expansion - GT1
IAC Controls Integration and Commissioning,#7c3aed,2025-03-01,2025-03-15,Inlet Air Chiller Expansion - GT1
CEMS Equipment Installation,#1d4ed8,2025-04-01,2025-04-20,HRSG1 CEMS Upgrade
CEMS Certification and Recertification,#15803d,2025-04-20,2025-05-15,HRSG1 CEMS Upgrade
CT Basin Prep and Concrete Repair,#6b7280,2025-11-15,2025-12-15,Cooling Tower Basin Recoating
CT Epoxy Recoating Application,#1d4ed8,2025-12-15,2026-01-20,Cooling Tower Basin Recoating
CT Final Inspection and Return to Full Service,#15803d,2026-01-20,2026-01-31,Cooling Tower Basin Recoating
GT1 MO - Long Lead Planning and Procurement,#6b7280,2025-06-01,2026-06-30,GT1 Major Overhaul Planning 2027
GT1 MO - Engineering and Scope Development,#1d4ed8,2026-07-01,2026-12-31,GT1 Major Overhaul Planning 2027
GT1 MO - Pre-Outage Mobilization,#b45309,2027-01-01,2027-02-28,GT1 Major Overhaul Planning 2027
