project_name,title,topic,scheduled_date,attendees_count,notes,status
Brickell Bay - 2025 Operations,Fire Extinguisher Use and Location Review,Fire Safety,2025-01-15,18,Reviewed all fire extinguisher locations and proper PASS technique with building staff,completed
Brickell Bay - 2025 Operations,Slip Trip and Fall Prevention,General Safety,2025-02-12,22,Focused on wet floor procedures and proper signage placement in lobbies and pool areas,completed
Brickell Bay - 2025 Operations,Pool Chemical Handling Safety,Chemical Safety,2025-03-12,15,Covered chlorine and acid handling procedures for pool maintenance staff,completed
Brickell Bay - 2025 Operations,Electrical Safety and Lockout Tagout,Electrical Safety,2025-04-09,20,Reviewed LOTO procedures for electrical panel work and equipment maintenance,completed
Brickell Bay - 2025 Operations,Heat Illness Prevention,Health and Safety,2025-05-14,24,Summer heat safety protocols - hydration and work-rest cycles for outdoor crews,completed
Brickell Bay - 2025 Operations,Hurricane Preparedness Procedures,Emergency Preparedness,2025-06-11,28,Full hurricane plan review - evacuation routes and equipment securing procedures,completed
Brickell Bay - 2025 Operations,Ladder Safety and Fall Protection,Fall Protection,2025-07-09,16,Proper ladder setup and use of harnesses for maintenance work above 6 feet,completed
Brickell Bay - 2025 Operations,Confined Space Entry - Mechanical Rooms,Confined Space,2025-08-13,14,Reviewed permit requirements and atmospheric testing for boiler and pump rooms,completed
Brickell Bay - 2025 Operations,Personal Protective Equipment Review,PPE,2025-09-10,20,Annual PPE inspection and replacement - gloves goggles and respirators,completed
Brickell Bay - 2025 Operations,Elevator Emergency Procedures,Emergency Response,2025-10-08,22,Procedures for elevator entrapment rescue and communication with trapped occupants,completed
Brickell Bay - 2025 Operations,Hazard Communication and SDS Review,Chemical Safety,2025-11-12,18,GHS label reading and SDS location review for all chemicals stored on-site,scheduled
Brickell Bay - 2025 Operations,Year-End Safety Review and 2026 Goals,General Safety,2025-12-10,25,Annual safety performance review and setting goals for next year,scheduled
