log_date,weather_conditions,temperature,work_performed,safety_incidents,delays,project_name
2026-01-06,sunny,58,Core structure floors 25-28 rebar tying and forming. Curtain wall installation floors 8-12 south face. MEP rough-in floors 1-6 continuing. Tower crane relocated to position 3 for upper floor steel picks. 185 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-07,partly_cloudy,62,Concrete pour floors 25-26 - 420 CY pumped. Curtain wall panels 12 units installed south face floors 10-11. Elevator guide rails shaft 1 installation floors 1-15. Interior framing floors 1-4 started. 192 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-08,cloudy,55,Stripped forms floors 23-24. Rebar tying floors 27-28 continuing. Curtain wall crew moved to east face floors 8-10. Plumbing risers installed shafts A through D floors 1-12. Fire protection piping floors 1-8. 178 workers on site.,Near miss - falling bolt from crane hook. Bolt landed in exclusion zone. No injury. Crane inspected - worn keeper pin replaced.,Crane shut down 2 hours for inspection and pin replacement,Reid Luxury Resort & Spa
2026-01-09,rain,48,Rain day - limited exterior work. Interior activities only: drywall floors 1-3 continued. Electrical rough-in floors 4-6. Tile layout in lobby area. Material staging in parking levels. Safety meeting held for all crews. 85 workers on site.,None,Full day exterior work stoppage due to rain. Curtain wall and concrete operations postponed.,Reid Luxury Resort & Spa
2026-01-10,sunny,52,Resumed concrete operations - poured floors 27-28 deck - 380 CY. Curtain wall east face floors 8-9 - 8 panels installed. Roof steel erection started for mechanical penthouse. Drywall finishing floors 1-2. 195 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-13,sunny,56,Mechanical penthouse steel erection 60% complete. Core structure forming floors 29-30 started. Curtain wall east face floors 10-12 continuing. Interior mechanical ductwork floors 1-6. Kitchen hood installation Restaurant 1. 188 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-14,partly_cloudy,60,Concrete pour floors 29-30 - 390 CY. Penthouse steel topped out. Curtain wall north face started floors 8-10. Elevator cab installation shaft 1 began. Sprinkler system testing floors 1-4 passed. Lobby marble floor installation started. 201 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-15,sunny,64,Floor 31-32 forming and rebar. Curtain wall north face floors 10-12. Drywall taping and finishing floors 1-3. Guest room framing floors 5-8 started. MEP coordination meeting 2PM - resolved ductwork routing conflict floors 9-10. 198 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-16,cloudy,50,Floor 31-32 concrete pour - 360 CY. Elevator shaft 2 guide rail installation floors 1-20. Curtain wall west face started floors 8-10. Painting started floors 1-2 common areas. Owner walkthrough of model room floor 5. 185 workers on site.,None,Material delivery delayed - lobby water feature stone backordered 3 weeks,Reid Luxury Resort & Spa
2026-01-17,sunny,54,Floor 33-34 forming started. Curtain wall west face continuing. Guest room framing floors 5-8 continuing with bathroom layout. Kitchen equipment delivery for Restaurants 2 and 3 received and staged. Pool deck waterproofing started level 5. 190 workers on site.,None,None,Reid Luxury Resort & Spa
2026-01-06,sunny,55,Container yard Section D grading and compaction - 8500 SY completed. Crane rail installation berth 3 - 200 LF welded. Electrical ductbank trench excavation substation to berth 2 - 400 LF. Shore power conduit installation berths 1-2. 145 workers on site.,None,None,Port Container Terminal Automation
2026-01-07,partly_cloudy,58,Yard Section D base course aggregate placement - 6200 SY. Crane rail berth 3 welding and alignment check - 180 LF. Substation building concrete block walls courses 1-8. AGV charging station foundation poured - 4 of 12. 152 workers on site.,None,None,Port Container Terminal Automation
2026-01-08,cloudy,52,Crane rail berth 3 completed - final alignment survey passed. Yard Section D concrete paving started - 2400 SY poured. Electrical cable pulling substation to berths 1-2 completed. Terminal OS server room cable tray installation. 148 workers on site.,None,None,Port Container Terminal Automation
2026-01-09,rain,46,Rain day - no exterior concrete or paving operations. Interior work only: substation building electrical panel installation. Terminal OS server rack mounting and cabling. Control room console installation. Safety briefing all crews. 62 workers on site.,None,Full day rain delay - paving and earthwork operations stopped,Port Container Terminal Automation
2026-01-10,sunny,50,Yard Section D paving resumed - 3200 SY completed. Berth 4 crane rail foundation drilling - 24 anchor holes. STS crane #7 assembly started - boom sections delivered and staged. Shore power transformer installation berth 1. 158 workers on site.,None,None,Port Container Terminal Automation
2026-01-13,sunny,54,STS crane #7 boom assembly - sections 1-4 connected. Yard Section D paving 85% complete. Berth 4 crane rail foundation grouting - 18 of 24 anchors. AGV navigation marker installation started - 200 of 1200 markers placed. 165 workers on site.,None,None,Port Container Terminal Automation
2026-01-14,partly_cloudy,57,STS crane #7 boom assembly completed - awaiting electrical connection. Yard Section D paving completed. Berth 4 crane rail placement started - 150 LF. Fiber optic cable installation terminal-wide network backbone. 160 workers on site.,None,None,Port Container Terminal Automation
2026-01-15,sunny,62,STS crane #7 electrical connection and commissioning started. Berth 4 crane rail welding - 280 LF. AGV test track section paved and marked for initial trials. Terminal gate complex steel erection started. 170 workers on site.,None,None,Port Container Terminal Automation
2026-01-16,cloudy,48,Crane #7 commissioning - load test at 50% capacity passed. Gate complex steel framing 40% complete. AGV test vehicle delivered and unloaded. Container tracking sensor installation berths 1-3 - 120 of 400 sensors mounted. 155 workers on site.,None,Crane #7 software update required - vendor flying in specialist from Rotterdam. 2-day delay to full commissioning.,Port Container Terminal Automation
2026-01-17,sunny,52,Gate complex steel framing completed. AGV test runs on track section - 8 successful cycles. Berth 4 crane rail welding completed - alignment survey scheduled Monday. Yard lighting installation poles 1-40 of 120. Container scanner assembly at gate. 162 workers on site.,None,None,Port Container Terminal Automation
