title,project_name,spec_section,due_date
Structural Steel Shop Drawings - Floors 10-14,Energy Corridor Campus Tower C,05 12 00,2026-02-15
Curtain Wall System - Tower C,Energy Corridor Campus Tower C,08 44 00,2026-02-28
Elevator Equipment and Cab Finishes,Energy Corridor Campus Tower C,14 20 00,2026-03-15
Green Roof Assembly and Drainage,Energy Corridor Campus Tower C,07 55 00,2026-03-01
Reinforcing Steel Placement - Floors 25-34,Reid Luxury Resort & Spa,03 20 00,2026-02-10
Curtain Wall Panels - East and North Faces,Reid Luxury Resort & Spa,08 44 00,2026-02-20
Guest Room Door Hardware and Access Control,Reid Luxury Resort & Spa,08 71 00,2026-03-01
Kitchen Equipment - Restaurants 1-6,Reid Luxury Resort & Spa,11 40 00,2026-03-15
Pool Mechanical and Water Feature Systems,Reid Luxury Resort & Spa,13 15 00,2026-02-28
STS Crane #8 Foundation and Rail Design,Port Container Terminal Automation,05 50 00,2026-02-15
AGV Navigation and Control System,Port Container Terminal Automation,28 30 00,2026-03-01
Terminal Operating System Integration,Port Container Terminal Automation,28 15 00,2026-03-30
Container Scanner and RFID System,Port Container Terminal Automation,28 23 00,2026-03-15
Balcony Railing Glass Specification,Museum Park High-Rise Residences,08 80 00,2026-02-20
Garage Waterproofing Remediation,Museum Park High-Rise Residences,07 10 00,2026-02-10
Luxury Finish Package - Penthouse Units,Museum Park High-Rise Residences,09 00 00,2026-03-15
Sound Wall Precast Panels,Hardy Toll Road Widening Segment 3,03 40 00,2026-02-15
Asphalt Mix Design - Wearing Course,Hardy Toll Road Widening Segment 3,32 12 00,2026-02-28
Theater Acoustic Ceiling System,Sugar Land Town Square Expansion,09 51 00,2026-03-01
Performing Arts Venue Seating,Sugar Land Town Square Expansion,12 60 00,2026-03-15
MRI Suite RF Shielding System,Foster Regional Medical Center,13 49 00,2026-02-28
Helipad Structure and Vibration Isolation,Foster Regional Medical Center,05 50 00,2026-02-15
Medical Gas System,Foster Regional Medical Center,22 60 00,2026-03-01
Tank Steel Plate and Welding Procedures,Kemp Petrochemical Storage Facility,05 50 00,2026-02-20
Vapor Recovery System,Kemp Petrochemical Storage Facility,23 30 00,2026-03-01
Fire Suppression Foam System,Kemp Petrochemical Storage Facility,21 20 00,2026-03-15
Marine Bulkhead Sheet Pile,Drake Waterfront Condominiums,31 41 00,2026-02-10
Concrete Mix Design - Mat Slab,Drake Waterfront Condominiums,03 30 00,2026-02-15
Luxury Fixture Package - Penthouse,Drake Waterfront Condominiums,22 40 00,2026-03-30
Wetland Mitigation Planting Plan,Woodlands Mixed-Use Village,32 90 00,2026-02-28
Asbestos Abatement Plan and Monitoring,HISD Magnet School Renovation,02 82 00,2026-02-10
