account_number,name,account_type,sub_type,description
1000,Cash & Equivalents,asset,Current Asset,Operating cash and short-term deposits
1005,Grant Funds - Federal,asset,Current Asset,Federal grant funds received and held in restricted account
1006,Grant Funds - State,asset,Current Asset,State appropriation funds held in restricted account
1010,Accounts Receivable,asset,Current Asset,Amounts owed by government clients for completed work
1015,Government Contract Receivable,asset,Current Asset,Amounts due under government prime contracts
1020,Retainage Receivable,asset,Current Asset,Retained amounts held by government owner
1030,Costs in Excess of Billings,asset,Current Asset,Underbillings on government contracts
1040,Prepaid Expenses,asset,Current Asset,Prepaid insurance bonds and permits
1050,Inventory & Materials on Site,asset,Current Asset,Stored materials approved for payment
1100,Property & Equipment,asset,Fixed Asset,Construction equipment and vehicles
1110,Accumulated Depreciation,asset,Fixed Asset,Contra account for accumulated depreciation
1200,Deposits,asset,Other Asset,Security deposits and bid bonds
2000,Accounts Payable,liability,Current Liability,Amounts owed to vendors and subcontractors
2010,Subcontractor Payable,liability,Current Liability,Amounts owed to subcontractors
2020,Retainage Payable,liability,Current Liability,Amounts withheld from subcontractors pending completion
2030,Billings in Excess of Costs,liability,Current Liability,Overbillings on government contracts
2040,Accrued Wages & Benefits,liability,Current Liability,Payroll and benefits accrued not yet paid
2050,Accrued Taxes,liability,Current Liability,Federal state and payroll taxes payable
2060,Performance Bond Liability,liability,Current Liability,Reserve for performance and payment bond obligations
2070,Workers Comp Reserve,liability,Current Liability,Self-insured workers compensation reserve
2080,Notes Payable - Equipment,liability,Long-term Liability,Equipment financing notes
2090,Deferred Revenue - Grants,liability,Long-term Liability,Grant funding received but not yet earned
3000,Common Stock,equity,Equity,Common stock issued
3010,Retained Earnings,equity,Equity,Cumulative retained earnings
3020,Current Year Net Income,equity,Equity,Current year net income
4000,Contract Revenue - Government,income,Revenue,Prime contract revenue from government projects
4010,Federal Grant Revenue,income,Revenue,Revenue recognized from federal grants
4020,State Appropriation Revenue,income,Revenue,Revenue recognized from state appropriations
4030,Change Order Revenue,income,Revenue,Approved change order revenue
4040,Bond Premium Revenue,income,Revenue,Premium on performance and payment bonds
4050,Equipment Rental Revenue,income,Revenue,Revenue from equipment rental to project
5000,Direct Labor,expense,Cost of Revenue,Field labor wages and burden
5010,Subcontractor Costs,expense,Cost of Revenue,Payments to subcontractors
5020,Materials & Supplies,expense,Cost of Revenue,Direct materials incorporated into project
5030,Equipment Costs,expense,Cost of Revenue,Equipment rental and depreciation on project
5040,Other Direct Costs,expense,Cost of Revenue,Permits fees testing inspections
5050,Davis-Bacon Compliance Costs,expense,Cost of Revenue,Prevailing wage compliance and reporting
5060,Section 3 Compliance Costs,expense,Cost of Revenue,HUD Section 3 compliance and reporting costs
6000,Project Management,expense,Operating Expense,PM superintendent and field staff salaries
6010,General & Administrative,expense,Operating Expense,Office salaries overhead and admin
6020,Insurance,expense,Operating Expense,General liability umbrella workers comp premiums
6030,Bonds,expense,Operating Expense,Performance payment and bid bond premiums
6040,Depreciation,expense,Operating Expense,Depreciation on company owned equipment
6050,Professional Fees,expense,Operating Expense,Legal accounting and consulting
6060,Marketing & Business Development,expense,Operating Expense,Proposal costs and business development
6070,Office & Facilities,expense,Operating Expense,Rent utilities office expenses
6080,Vehicle & Travel,expense,Operating Expense,Company vehicles and travel expenses
6090,IT & Software,expense,Operating Expense,Technology and software subscriptions
7000,Interest Expense,expense,Other Expense,Interest on equipment notes and credit lines
7010,Other Income,income,Other Income,Miscellaneous non-operating income
