account_number,name,account_type,sub_type,description
1000,Cash & Equivalents,asset,Current Asset,Operating cash and project funds
1010,Accounts Receivable,asset,Current Asset,Amounts due from equity draws and loan draws
1020,Retainage Receivable,asset,Current Asset,Retainage held on subcontractor work
1030,Work in Progress,asset,Current Asset,Construction costs incurred on project
1040,Prepaid Expenses,asset,Current Asset,Insurance premiums and deposits paid in advance
1100,Land,asset,Fixed Asset,Land or ground lease value
1110,Buildings Under Construction,asset,Fixed Asset,Capitalized construction costs
1120,Equipment & Vehicles,asset,Fixed Asset,Project equipment and vehicles
1130,Accumulated Depreciation,asset,Fixed Asset,Depreciation on equipment
1200,Tenant Improvements,asset,Fixed Asset,Studio tenant improvement costs
1210,Leasing Commissions,asset,Fixed Asset,Capitalized leasing commissions
2000,Accounts Payable,liability,Current Liability,Amounts owed to subs and vendors
2010,Retainage Payable,liability,Current Liability,Retainage held from subcontractors
2020,Accrued Expenses,liability,Current Liability,Accrued interest and operating costs
2030,Construction Loan Payable,liability,Current Liability,Construction loan draws outstanding
2040,Accrued Interest,liability,Current Liability,Accrued construction loan interest
2100,Construction Loan,liability,Long-Term Liability,Construction loan facility - 50% LTC
2110,Permanent Loan,liability,Long-Term Liability,Permanent financing post-stabilization
3000,GP Equity,equity,Owner's Equity,General partner equity contribution (10%)
3010,LP Equity,equity,Owner's Equity,Limited partner equity contribution (90%)
3020,Landowner Equity,equity,Owner's Equity,Landowner contributed equity
3030,Retained Earnings,equity,Retained Earnings,Accumulated project earnings
4000,Residential Rental Revenue,revenue,Operating Revenue,Residential unit rental income
4010,Studio Rental Revenue,revenue,Operating Revenue,Studio facility rental income
4020,Ancillary Revenue,revenue,Operating Revenue,Equipment rental and catering and tours
4030,Parking Revenue,revenue,Operating Revenue,Parking operations income
4040,Other Income,revenue,Operating Revenue,Late fees and application fees
5000,Residential GMP - Hard Costs,expense,Cost of Revenue,General contractor GMP for residential
5010,Studio Build-Out Costs,expense,Cost of Revenue,Studio facility construction costs
5020,FF&E,expense,Cost of Revenue,Furniture fixtures and equipment
5030,Hard Cost Contingency,expense,Cost of Revenue,3% contingency on hard costs
5040,Architecture & Engineering,expense,Cost of Revenue,Design and engineering fees
5050,Finance & Legal,expense,Cost of Revenue,Loan fees legal and closing costs
5060,Construction Interest,expense,Cost of Revenue,Interest during construction period
5070,Marketing & Leasing,expense,Cost of Revenue,Pre-leasing marketing costs
5080,Operating Deficits,expense,Cost of Revenue,Pre-stabilization operating shortfalls
5090,Taxes & Insurance,expense,Cost of Revenue,Construction period taxes and insurance
5100,Permits & Project Management,expense,Cost of Revenue,Building permits and PM fees
5110,Soft Cost Contingency,expense,Cost of Revenue,5% contingency on soft costs
5120,Studio TI Costs,expense,Cost of Revenue,Studio tenant improvement allowances
5130,Studio Leasing Commissions,expense,Cost of Revenue,Studio leasing commissions
6000,Property Management,expense,Operating Expense,Management fees at 3% of revenue
6010,Utilities,expense,Operating Expense,Building utilities
6020,Repairs & Maintenance,expense,Operating Expense,Building maintenance costs
6030,Insurance - Operations,expense,Operating Expense,Property and liability insurance
6040,Property Taxes - Operations,expense,Operating Expense,Annual property taxes
6050,Personnel,expense,Operating Expense,On-site staff payroll
6060,General & Administrative,expense,Operating Expense,Office and admin expenses
7000,Interest Expense,expense,Other Expense,Loan interest payments
7010,Depreciation Expense,expense,Other Expense,Building and equipment depreciation
