title,description,reason,amount,schedule_impact_days,project_name
Penthouse level structural upgrade,Owner requested reinforced penthouse level to support helipad and green roof system. Additional steel and concrete required.,owner_request,485000,15,Energy Corridor Campus Tower C
Lobby marble and water feature,Architect redesigned main lobby with Italian Carrara marble floors and 20-ft water feature wall. Replaces original stone tile spec.,design_change,325000,8,Energy Corridor Campus Tower C
Unforeseen contaminated soil,Environmental testing during landscape excavation revealed petroleum contamination requiring removal and remediation of 2400 tons.,unforeseen_condition,220000,22,Energy Corridor Campus Tower C
HVAC chiller upsizing,Mechanical engineer determined chillers undersized for server room heat loads after major tech tenant committed to floors 8-10.,design_error,180000,5,Energy Corridor Campus Tower C
Value engineering - roofing,Replace specified built-up roof with single-ply TPO membrane. Equivalent 20-year warranty with faster installation.,value_engineering,-145000,0,Energy Corridor Campus Tower C
Infinity pool expansion,Owner added second infinity pool on level 5 amenity deck. Structural reinforcement and additional mechanical required.,owner_request,850000,30,Reid Luxury Resort & Spa
Presidential suite upgrade,Upgrade top 3 floors to presidential suite configuration with private elevator and butler pantry. Full redesign of floors 40-42.,scope_change,1200000,25,Reid Luxury Resort & Spa
Kitchen exhaust redesign,Health department review required larger exhaust hoods and makeup air for 6 restaurant kitchens. Mechanical redesign required.,regulatory,380000,12,Reid Luxury Resort & Spa
Underground parking waterproofing,Water intrusion at parking level 3 discovered during concrete curing. Additional waterproofing membrane and drainage mat required.,unforeseen_condition,275000,18,Reid Luxury Resort & Spa
Value engineering - light fixtures,Substitute specified custom Italian fixtures with equivalent domestic manufacturer. Same design intent at 40% cost reduction.,value_engineering,-420000,0,Reid Luxury Resort & Spa
Crane rail realignment,Surveyor discovered 4-inch deviation in crane rail alignment over 800 LF section. Requires removal and reinstallation of rail and clips.,construction_error,340000,20,Port Container Terminal Automation
Soil stabilization,Geotechnical borings missed soft clay lens at 30-ft depth under container yard. Requires lime stabilization of 8-acre area.,unforeseen_condition,1850000,45,Port Container Terminal Automation
Additional shore power,IMO 2025 regulations require shore power connections at all berths. Original design had 2 of 4 berths. Adding 2 additional connections.,regulatory,680000,15,Port Container Terminal Automation
Tower A penthouse customization,Three penthouse buyers requesting custom floor plans with merged units and upgraded finishes. Structural and MEP modifications required.,owner_request,520000,10,Museum Park High-Rise Residences
Foundation dewatering extension,Water table higher than predicted requiring extended dewatering operations through structure completion instead of just foundation phase.,unforeseen_condition,385000,0,Museum Park High-Rise Residences
Utility relocation - gas main,Encountered unmarked 16-inch gas main during excavation. Requires coordination with CenterPoint for relocation before road widening can proceed.,unforeseen_condition,450000,35,Hardy Toll Road Widening Segment 3
Sound wall upgrade,Adjacent neighborhood petition resulted in TxDOT requiring 16-ft sound walls instead of original 12-ft specification.,regulatory,280000,8,Hardy Toll Road Widening Segment 3
Performing arts venue acoustics,Acoustic consultant recommended upgraded sound isolation and variable acoustics system. Original spec would not meet performance standards.,design_error,520000,20,Sugar Land Town Square Expansion
Retail tenant HVAC modifications,Three anchor tenants require dedicated HVAC systems instead of shared central plant. Additional rooftop units and ductwork.,scope_change,380000,12,Sugar Land Town Square Expansion
Helipad structural upgrade,Hospital board added trauma center designation requiring rooftop helipad. Structural reinforcement from foundation through roof required.,scope_change,2200000,40,Foster Regional Medical Center
MRI suite shielding,Radiology department expanded from 2 to 4 MRI suites. Additional RF shielding and structural isolation required.,owner_request,680000,15,Foster Regional Medical Center
Vapor recovery upgrade,EPA issued new emission standards requiring enhanced vapor recovery on all 12 tanks instead of original 8. Additional equipment and controls.,regulatory,1450000,25,Kemp Petrochemical Storage Facility
Fire suppression expansion,Insurance underwriter required foam suppression on secondary containment areas in addition to tank nozzles.,regulatory,380000,10,Kemp Petrochemical Storage Facility
Marine bulkhead extension,Soil borings during construction revealed soft sediments requiring 40-ft bulkhead piles instead of 25-ft design. Full redesign of marine foundation.,unforeseen_condition,1800000,55,Drake Waterfront Condominiums
Luxury finish upgrade,Pre-sale buyers voted for upgraded finishes including Miele appliances marble baths and smart home package in all 200 units.,owner_request,3200000,20,Drake Waterfront Condominiums
Wetland mitigation,Environmental survey discovered previously unmapped wetland requiring 3:1 mitigation. Additional land purchase and restoration work.,unforeseen_condition,950000,60,Woodlands Mixed-Use Village
Asbestos abatement,Demolition revealed extensive asbestos in original 1965 building systems. Full abatement required before renovation can proceed.,unforeseen_condition,420000,30,HISD Magnet School Renovation
