invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name
receivable,2025-01-01,71187,0,2025-01-01,Rental Income - Mesa Portfolio (January 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-01-01,66853,0,2025-01-01,Rental Income - Chandler Portfolio (January 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-01-01,55985,0,2025-01-01,Rental Income - Gilbert Portfolio (January 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-01-01,40335,0,2025-01-01,Rental Income - Tempe Portfolio (January 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-01-01,21330,0,2025-01-01,Rental Income - Scottsdale Portfolio (January 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-02-01,71187,0,2025-02-01,Rental Income - Mesa Portfolio (February 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-02-01,66853,0,2025-02-01,Rental Income - Chandler Portfolio (February 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-02-01,55985,0,2025-02-01,Rental Income - Gilbert Portfolio (February 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-02-01,40335,0,2025-02-01,Rental Income - Tempe Portfolio (February 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-02-01,21330,0,2025-02-01,Rental Income - Scottsdale Portfolio (February 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-03-01,71187,0,2025-03-01,Rental Income - Mesa Portfolio (March 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-03-01,66853,0,2025-03-01,Rental Income - Chandler Portfolio (March 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-03-01,55985,0,2025-03-01,Rental Income - Gilbert Portfolio (March 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-03-01,40335,0,2025-03-01,Rental Income - Tempe Portfolio (March 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
receivable,2025-03-01,21330,0,2025-03-01,Rental Income - Scottsdale Portfolio (March 2025),paid,,Various Tenants,2025 Annual HVAC Tune-Up Program - All Properties
