subject,question,priority,due_date,project_name
Curtain wall anchor detail at setback,Architectural drawings show curtain wall returning into building at floor 10 setback but structural detail does not show anchor embed locations. Please provide anchor layout and embed detail for setback condition.,high,2026-02-01,Energy Corridor Campus Tower C
Mechanical penthouse waterproofing,Specification section 07 10 00 calls for fluid-applied membrane at penthouse but architectural detail shows sheet membrane. Which system should be used? Penthouse has green roof above.,medium,2026-02-15,Energy Corridor Campus Tower C
Pool deck structural loading,Structural drawings indicate pool deck designed for 100 PSF live load but landscape architect specifies 36-inch soil depth planters weighing 180 PSF. Confirm deck can support planter loads or revise planter specification.,urgent,2026-01-25,Reid Luxury Resort & Spa
Guest room door hardware spec conflict,Door hardware schedule specifies Schlage NDE series electronic locks but security consultant spec calls for ASSA ABLOY Vingcard. Both cannot interface with same access control system. Which product governs?,high,2026-02-10,Reid Luxury Resort & Spa
AGV navigation sensor mounting,AGV vendor requires navigation sensors mounted at 48 inches above finished grade but crane rail area has overhead obstructions at 42 inches. Provide alternate mounting detail or confirm obstruction clearance.,urgent,2026-01-28,Port Container Terminal Automation
Berth 4 fender system conflict,Marine structural drawings show fender panels at 8-ft spacing but vessel operator requires 6-ft spacing for new Panamax vessels. Confirm revised spacing and provide updated connection detail.,high,2026-02-05,Port Container Terminal Automation
Tower B balcony railing glazing,Architectural spec calls for 12mm tempered glass balcony railings but structural engineer requires 15mm laminated for impact resistance at floors above 20. Significant cost and lead time difference. Please resolve.,medium,2026-02-20,Museum Park High-Rise Residences
Underground garage waterproofing,Garage level 3 showing water intrusion through construction joints. Detail shows waterstop but field conditions suggest it was not installed in two pour sequences. Recommend remediation approach.,urgent,2026-01-22,Museum Park High-Rise Residences
Sound wall foundation in ROW,Sound wall foundation extends 3 feet beyond TxDOT right-of-way into adjacent residential property at stations 38+00 through 42+00. Confirm if ROW acquisition is in progress or revise foundation detail.,high,2026-02-08,Hardy Toll Road Widening Segment 3
Drainage inlet elevation,Civil drawings show drainage inlet rim at elevation 42.5 but grade plan shows finished pavement at 43.2. Inlet would be 8 inches below pavement creating ponding. Confirm correct elevation.,medium,2026-02-18,Hardy Toll Road Widening Segment 3
Theater acoustic ceiling conflict,Acoustic consultant specifies suspended cloud ceiling at 24 feet but HVAC ductwork routes at 22 feet in same area. Either duct must be rerouted or ceiling lowered affecting acoustics. Request design resolution.,high,2026-02-12,Sugar Land Town Square Expansion
Retail anchor tenant HVAC,Anchor tenant design criteria requires dedicated 200-ton rooftop unit but structural design only supports 150-ton unit at that location. Provide structural reinforcement detail or alternate unit location.,urgent,2026-01-30,Sugar Land Town Square Expansion
MRI vault shielding,MRI manufacturer requires minimum 1/4-inch copper RF shielding but specification calls for aluminum foil shielding. Copper shielding costs 3x more but provides superior performance. Request direction.,high,2026-02-25,Foster Regional Medical Center
Helipad vibration isolation,Structural engineer has not provided vibration isolation details for helipad per change order CO-020. Rooftop structure is progressing and isolation bases need to be cast in next pour sequence.,urgent,2026-02-01,Foster Regional Medical Center
Tank foundation pile capacity,Geotechnical report indicates pile capacity of 180 tons but structural design requires 220 tons per pile. Additional load testing or pile modifications required. Confirm approach.,high,2026-02-15,Kemp Petrochemical Storage Facility
Vapor recovery piping routing,Vapor recovery system piping conflicts with existing plant utility corridor at 4 locations. Original survey did not capture overhead pipe rack. Provide rerouting detail.,medium,2026-03-01,Kemp Petrochemical Storage Facility
Marine bulkhead tieback length,Tieback anchors specified at 45 feet but drill rig encountered hard layer at 38 feet preventing full installation. Geotechnical engineer to confirm if 38-foot length provides adequate pullout resistance.,urgent,2026-01-20,Drake Waterfront Condominiums
Luxury finish selections,Owner has not provided final finish selections for penthouse units 4201-4208. Rough-in framing is scheduled to start in 3 weeks and blocking locations depend on fixture selections.,medium,2026-02-28,Drake Waterfront Condominiums
Wetland boundary survey,Environmental consultant wetland delineation differs from Army Corps determination by 0.8 acres at northeast corner. Which boundary governs for setback calculations and which triggers additional mitigation?,high,2026-02-10,Woodlands Mixed-Use Village
Gym floor specification,Original spec calls for maple hardwood gym floor but budget constraints from asbestos abatement CO suggest synthetic sport floor. District facilities director to confirm acceptable alternate.,medium,2026-03-05,HISD Magnet School Renovation
