title,project_name,spec_section,due_date,status
Stadium Structural Steel Shop Drawings - Roof Truss T-1 through T-8,Hard Rock Legacy Stadium,05 12 00,2025-10-15,approved
Precast Concrete Facade Panels - East and West Elevations,Hard Rock Legacy Stadium,03 45 00,2025-11-01,approved
Scoreboard Primary Support Steel Shop Drawings,Hard Rock Legacy Stadium,05 12 10,2025-11-15,approved
Stadium Seating Layout and Riser Shop Drawings - All Sections,Hard Rock Legacy Stadium,12 62 00,2026-01-15,in_review
Curtain Wall System - Press Box and Club Levels,Hard Rock Legacy Stadium,08 44 13,2025-12-01,approved
MEP Coordination Drawings - Level 3 and 4 Concourse,Hard Rock Legacy Stadium,23 05 00,2025-09-30,approved
Daktronics Scoreboard Video System Shop Drawings,Hard Rock Legacy Stadium,11 68 00,2025-12-15,approved
FieldTurf Natural Grass System and Drainage Plan,Hard Rock Legacy Stadium,32 84 00,2025-11-30,approved
Post-Tension Slab Design and Calculations - Level 4 West Grandstand,Hard Rock Legacy Stadium,03 38 00,2025-10-01,approved
Elevator Cab Shop Drawings - 14 Cars Stadium,Hard Rock Legacy Stadium,14 21 00,2026-02-01,in_review
Stadium Lighting Photometric Study and Fixture Shop Drawings,Hard Rock Legacy Stadium,26 56 00,2026-01-01,in_review
Suite Millwork and Casework Shop Drawings - Suites 101-175,Hard Rock Legacy Stadium,06 41 00,2026-02-15,pending
Indoor Practice Bubble Air Structure Engineering,Hurricane Football Performance Center,13 31 00,2025-08-15,approved
Football Facility Structural Steel Shop Drawings - Floors 1-3,Hurricane Football Performance Center,05 12 00,2025-09-01,approved
Weight Room Flooring System Submittals,Hurricane Football Performance Center,09 65 66,2025-11-15,approved
Player Locker Room Custom Millwork and Casework,Hurricane Football Performance Center,06 41 00,2026-01-15,in_review
Sports Science Technology Infrastructure Submittals,Hurricane Football Performance Center,27 41 16,2026-02-01,pending
Athlete Village Structural Drawings - Tower 1 Foundation System,Coral Gables Athlete Village,03 31 00,2025-10-15,approved
Athlete Village Unit Finish Schedule and Selections,Coral Gables Athlete Village,09 21 16,2026-01-01,in_review
Dining Hall Commercial Kitchen Equipment Submittals,Coral Gables Athlete Village,11 40 00,2026-01-15,pending
Rooftop Pool Structural Engineering and Waterproofing,Coral Gables Athlete Village,07 14 00,2026-02-01,pending
Admin Tower Curtain Wall System Shop Drawings,Hurricane Athletic Administration Tower,08 44 13,2026-03-01,pending
Sky Bridge Shop Drawings and Engineering,Hurricane Athletic Administration Tower,05 15 00,2026-02-15,pending
BOA Club Kitchen Equipment Submittals - Floors 10-12,Hurricane Athletic Administration Tower,11 40 00,2026-04-01,pending
Campus Plaza Paving and Hardscape Details,Stadium District Site & Infrastructure,32 14 40,2025-10-01,approved
Stormwater Management System - Detention and Treatment,Stadium District Site & Infrastructure,33 41 00,2024-06-01,approved
Structured Parking Garage Structural Shop Drawings,Stadium District Site & Infrastructure,03 31 00,2024-08-15,approved
5G DAS Infrastructure Engineering and Submittal,Stadium District Site & Infrastructure,27 53 00,2025-06-01,approved
