title,project_name,spec_section,due_date
Structural Steel Shop Drawings - Floors 10-18,Second Street Mixed-Use Tower,05 12 00,2026-02-01
Curtain Wall System - Floors 6-18,Second Street Mixed-Use Tower,08 44 00,2026-02-15
Plumbing Fixtures Schedule,Second Street Mixed-Use Tower,22 40 00,2026-02-28
Fire Sprinkler Shop Drawings - Floors 10-18,Second Street Mixed-Use Tower,21 13 00,2026-03-01
Elevator Equipment Submittals,Second Street Mixed-Use Tower,14 20 00,2026-03-15
Foundation Caisson Record Drawings - Caissons 1-20,Brickell Bay Luxury Hotel,03 10 00,2026-02-15
Structural Post-Tension System - Tower Floors 1-10,Brickell Bay Luxury Hotel,03 38 00,2026-03-01
Hurricane Impact Glazing System,Brickell Bay Luxury Hotel,08 44 13,2026-04-15
Dock Equipment - Levelers Seals Shelters,Aurora Commerce Park - Building A,11 16 00,2026-01-30
ESFR Fire Sprinkler System - Record Documents,Aurora Commerce Park - Building A,21 13 00,2026-02-01
Concrete Floor Sealer & Treatment,Aurora Commerce Park - Building A,03 35 00,2026-02-10
Site Utility Plans - Underground Infrastructure,Northside Medical Arts Campus,33 00 00,2026-03-15
Medical Gas Systems - Design Submittals,Northside Medical Arts Campus,22 63 00,2026-04-01
HVAC Systems - Design-Assist Submittals Phase 1,Northside Medical Arts Campus,23 00 00,2026-04-30
Structural System - Seismic Design Criteria,Northside Medical Arts Campus,01 35 26,2026-05-01
