invoice_number,invoice_type,client_name,amount,invoice_date,status,description,project_name,gl_account,vendor_name
PAY-APP-001,receivable,Sunrise Development Group,4200000,2025-03-01,paid,Pay Application #1 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-002,receivable,Sunrise Development Group,4200000,2025-03-31,paid,Pay Application #2 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-003,receivable,Sunrise Development Group,4200000,2025-04-30,paid,Pay Application #3 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-004,receivable,Sunrise Development Group,4200000,2025-05-30,paid,Pay Application #4 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-005,receivable,Sunrise Development Group,4200000,2025-06-29,paid,Pay Application #5 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-006,receivable,Sunrise Development Group,4200000,2025-07-29,paid,Pay Application #6 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-007,receivable,Sunrise Development Group,4200000,2025-08-28,paid,Pay Application #7 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-008,receivable,Sunrise Development Group,4200000,2025-09-27,paid,Pay Application #8 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-009,receivable,Sunrise Development Group,4200000,2025-10-27,paid,Pay Application #9 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-010,receivable,Sunrise Development Group,4200000,2025-11-26,paid,Pay Application #10 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-011,receivable,Sunrise Development Group,4200000,2025-12-26,approved,Pay Application #11 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-012,receivable,Sunrise Development Group,4200000,2026-01-25,approved,Pay Application #12 - Sunrise Tower,Sunrise Tower - 42-Story Mixed Use,4000,
PAY-APP-013,receivable,SF Unified School District,2800000,2025-07-01,paid,Pay Application #1 - Bayview School,Bayview Elementary School Renovation,4000,
PAY-APP-014,receivable,SF Unified School District,2800000,2025-07-31,paid,Pay Application #2 - Bayview School,Bayview Elementary School Renovation,4000,
PAY-APP-015,receivable,SF Unified School District,2800000,2025-08-30,paid,Pay Application #3 - Bayview School,Bayview Elementary School Renovation,4000,
PAY-APP-016,receivable,SF Unified School District,2800000,2025-09-29,paid,Pay Application #4 - Bayview School,Bayview Elementary School Renovation,4000,
PAY-APP-017,receivable,SF Unified School District,2800000,2025-10-29,approved,Pay Application #5 - Bayview School,Bayview Elementary School Renovation,4000,
PAY-APP-018,receivable,SF Unified School District,2800000,2025-11-28,approved,Pay Application #6 - Bayview School,Bayview Elementary School Renovation,4000,
AP-0019,payable,,1850000,2025-04-01,paid,Progress Billing #1,Sunrise Tower - 42-Story Mixed Use,5000,Titan Concrete Inc.
AP-0020,payable,,1850000,2025-05-01,paid,Progress Billing #2,Sunrise Tower - 42-Story Mixed Use,5000,Titan Concrete Inc.
AP-0021,payable,,1850000,2025-05-31,paid,Progress Billing #3,Sunrise Tower - 42-Story Mixed Use,5000,Titan Concrete Inc.
AP-0022,payable,,1850000,2025-06-30,paid,Progress Billing #4,Sunrise Tower - 42-Story Mixed Use,5000,Titan Concrete Inc.
