name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path
Environmental impact assessment,Preconstruction & Permitting,critical,2023-01-15,2023-04-30,100,false,true
USACE permit issued,Preconstruction & Permitting,critical,2023-06-30,2023-06-30,100,true,true
Dredging and channel deepening,Marine & Civil Works,critical,2023-07-01,2024-03-30,100,false,true
Bulkhead construction - 1200 LF,Marine & Civil Works,critical,2023-09-01,2024-06-30,100,false,true
Container yard grading - 25 acres,Marine & Civil Works,high,2024-01-01,2024-09-30,100,false,false
Container yard paving - Sections A-D,Marine & Civil Works,high,2024-06-01,2025-03-30,85,false,false
Berth 1-2 crane rail foundation,Structural Steel & Crane Rail,critical,2024-01-01,2024-08-30,100,false,true
Berth 3-4 crane rail foundation,Structural Steel & Crane Rail,critical,2024-06-01,2025-01-30,100,false,true
STS crane rail installation - berths 1-4,Structural Steel & Crane Rail,critical,2024-09-01,2025-06-30,80,false,true
Crane rail alignment and testing,Structural Steel & Crane Rail,high,2025-06-01,2025-12-30,20,false,false
Main substation construction,Electrical & Controls,critical,2024-06-01,2025-03-30,90,false,true
Berth electrical distribution,Electrical & Controls,high,2024-10-01,2025-09-30,60,false,false
Shore power connections - 4 berths,Electrical & Controls,high,2025-03-01,2026-01-30,25,false,false
Yard lighting installation - 120 poles,Electrical & Controls,medium,2025-06-01,2026-03-30,30,false,false
STS cranes 1-4 assembly,Container Handling Systems,critical,2025-01-01,2025-09-30,65,false,true
STS cranes 5-8 assembly,Container Handling Systems,critical,2025-06-01,2026-03-30,25,false,true
AGV fleet deployment - 45 vehicles,Container Handling Systems,critical,2025-09-01,2026-09-30,10,false,true
Container scanner and RFID system,Container Handling Systems,high,2026-01-01,2026-09-30,0,false,false
TOS core system installation,Terminal Operating System,critical,2025-06-01,2026-06-30,15,false,true
AGV navigation and control integration,Terminal Operating System,critical,2025-09-01,2026-12-30,5,false,true
Vessel planning module,Terminal Operating System,high,2026-03-01,2027-01-30,0,false,false
Gate automation and OCR,Gate Complex & Security,high,2025-09-01,2026-06-30,15,false,false
Security and access control,Gate Complex & Security,medium,2026-01-01,2026-09-30,0,false,false
Phase 1 commissioning - berths 1-2,Commissioning & Testing,critical,2026-06-01,2026-12-30,0,false,true
Phase 2 commissioning - berths 3-4,Commissioning & Testing,critical,2026-10-01,2027-06-30,0,false,true
Full terminal operational acceptance,Commissioning & Testing,critical,2027-06-30,2027-06-30,0,true,true
