amount,tax_amount,due_date,description,status,vendor_name,project_name
2550000,0,2026-01-30,Payment Application #3 - Steel Level 11-12 and roof framing,pending,Federal Steel Erectors,Federal District Courthouse & Public Safety Complex
1700000,0,2026-01-30,Payment Application #2 - Electrical Level 5 through Level 8,pending,Patriot Electrical Contractors,Federal District Courthouse & Public Safety Complex
1850000,0,2026-01-30,Payment Application #2 - MEP Level 5 through Level 8,pending,Capital MEP Group,Federal District Courthouse & Public Safety Complex
864000,0,2026-01-30,Payment Application #1 - Drywall framing Level 1-3,pending,Union Drywall & Framing,Federal District Courthouse & Public Safety Complex
432000,0,2026-01-30,Payment Application #1 - Security rough-in Level B1,pending,SafeGuard Security Integration,Federal District Courthouse & Public Safety Complex
288000,0,2026-01-30,Payment Application #1 - Fire protection rough-in Level 1-4,pending,Apex Fire Protection LLC,Federal District Courthouse & Public Safety Complex
174000,0,2026-02-15,January 2026 Masonry Payment Application #2 - Level 6,approved,Monument Masonry Corp,Federal District Courthouse & Public Safety Complex
92500,0,2026-02-15,Q1 2026 Davis-Bacon Compliance Monitoring - January,approved,Davis-Bacon Compliance Consulting,Federal District Courthouse & Public Safety Complex
80000,0,2026-02-15,January 2026 Special Inspections and Testing,approved,National Testing Laboratory,Federal District Courthouse & Public Safety Complex
120000,0,2026-02-15,January 2026 Structural Engineering Services,approved,Huang Structural Engineering,Federal District Courthouse & Public Safety Complex
