entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-002,2025-01-31,January Ancillary and Other Revenue,REV2-JAN,1010,1870000,,Ancillary services AR
JE-002,2025-01-31,January Ancillary and Other Revenue,REV2-JAN,4030,,1533000,Ancillary services revenue January
JE-002,2025-01-31,January Ancillary and Other Revenue,REV2-JAN,4040,,337000,HRCO revenue January
JE-003,2025-01-31,January Fuel Cost,FUEL-JAN,5000,13450000,,Natural gas commodity January
JE-003,2025-01-31,January Fuel Cost,FUEL-JAN,5010,1070000,,Pipeline transport January
JE-003,2025-01-31,January Fuel Cost,FUEL-JAN,5020,154000,,Fuel management fees January
JE-003,2025-01-31,January Fuel Cost,FUEL-JAN,2000,,14674000,Fuel payable Shell Energy January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5100,486667,,Operations labor January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5110,136267,,Labor burden January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5200,285000,,Routine maintenance January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5300,154167,,Water makeup cooling tower
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5310,60000,,Chemicals water treatment
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5500,237500,,NOx allowance purchases
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5510,100000,,CO2 allowances
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5600,401667,,ERCOT fees and transmission
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5610,178333,,Interconnection costs
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5700,200000,,Admin and general January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5710,154167,,Legal and regulatory January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5720,81667,,IT and SCADA January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,5800,3183333,,Depreciation January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,1590,,3183333,Accumulated depreciation January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,2010,,1989235,O&M payables accrued January
JE-004,2025-01-31,January Fixed O&M,OM-JAN,2020,,88332,Accrued liabilities January
JE-005,2025-01-31,January Property Tax Accrual,TAX-JAN,5400,1066667,,Harris County property tax Q1
JE-005,2025-01-31,January Property Tax Accrual,TAX-JAN,2010,,1066667,Property tax payable Q1
JE-005,2025-01-31,January Insurance,INS-JAN,5410,516667,,Property insurance monthly amortization
JE-005,2025-01-31,January Insurance,INS-JAN,5420,123333,,GL insurance January
JE-005,2025-01-31,January Insurance,INS-JAN,1050,,639000,Prepaid insurance reduction January
JE-006,2025-01-31,January Debt Service,DEBT-JAN,6000,3150000,,Interest expense January
JE-006,2025-01-31,January Debt Service,DEBT-JAN,6010,154167,,Financing cost amortization
JE-006,2025-01-31,January Debt Service,DEBT-JAN,6020,,175000,Interest income DSRA and cash
JE-006,2025-01-31,January Debt Service,DEBT-JAN,2060,,3150000,Interest payable January
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,5000,11200000,,Gas commodity February
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,5010,985600,,Pipeline transport
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,5020,154000,,Fuel mgmt fees
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,5100,486667,,Labor
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,5110,136267,,Labor burden
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,5800,3183333,,Depreciation
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,1590,,3183333,Accum depr
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,2000,,12339600,Fuel payable
JE-008,2025-02-28,February Fuel & O&M,FUEL-FEB,2010,,1423934,O&M accruals
JE-009,2025-02-28,February Debt Service,DEBT-FEB,6000,3150000,,Interest
JE-009,2025-02-28,February Debt Service,DEBT-FEB,6010,154167,,Fin cost amort
JE-009,2025-02-28,February Debt Service,DEBT-FEB,6020,,175000,Interest income
JE-009,2025-02-28,February Debt Service,DEBT-FEB,2060,,3150000,Interest payable
JE-011,2025-03-31,March Fuel - GT1 Offline,FUEL-MAR,5000,8850000,,Gas commodity March - reduced for GT1 outage
JE-011,2025-03-31,March Fuel - GT1 Offline,FUEL-MAR,5010,780000,,Pipeline transport March
JE-011,2025-03-31,March Fuel - GT1 Offline,FUEL-MAR,5020,154000,,Fuel mgmt
JE-011,2025-03-31,March Fuel - GT1 Offline,FUEL-MAR,2000,,9784000,Fuel payable
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,5100,486667,,Labor
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,5110,136267,,Burden
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,5800,3183333,,Depreciation
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,6000,3150000,,Interest
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,6010,154167,,Fin cost amort
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,6020,,175000,Interest income
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,1590,,3183333,Accum depr
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,2010,,1423934,O&M accruals
JE-013,2025-03-31,March O&M and Debt,OM-DEBT-MAR,2060,,3150000,Interest payable
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5000,12800000,,Gas commodity April
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5010,1027200,,Pipeline
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5020,154000,,Fuel mgmt
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5100,486667,,Labor
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5110,136267,,Burden
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5400,1066667,,Property tax Q2
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5200,285000,,Routine maintenance
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,5800,3183333,,Depreciation
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,6000,3150000,,Interest
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,6010,154167,,Fin cost amort
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,6020,,175000,Interest income
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,1590,,3183333,Accum depr
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,2000,,14981200,Fuel payable
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,2010,,2759101,O&M and tax payable
JE-015,2025-04-30,April Fuel and O&M,FUEL-APR,2060,,3150000,Interest payable
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,5000,14200000,,Gas commodity May
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,5010,1138960,,Pipeline
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,5020,154000,,Fuel mgmt
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,5100,486667,,Labor
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,5110,136267,,Burden
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,5800,3183333,,Depreciation
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,6000,3150000,,Interest
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,6010,154167,,Fin cost amort
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,6020,,175000,Interest income
