name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path
Drilled Pier Installation,Earthwork & Deep Foundations,critical,2025-07-01,2025-09-30,100,false,true
Foundation Mat Pour,Earthwork & Deep Foundations,high,2025-09-15,2025-11-30,100,false,true
Substructure Complete,Earthwork & Deep Foundations,high,2025-11-30,2025-11-30,100,true,true
Core & Shell - Floors 1-3,Structural Frame & Core,critical,2025-12-01,2026-03-31,60,false,true
Core & Shell - Floors 4-6,Structural Frame & Core,high,2026-02-01,2026-04-30,20,false,true
Topping Out Milestone,Structural Frame & Core,high,2026-04-30,2026-04-30,0,true,true
Curtain Wall Panel Install,Curtain Wall & Roofing,high,2026-03-01,2026-06-30,0,false,false
Exterior Cladding Complete,Curtain Wall & Roofing,critical,2026-06-30,2026-08-31,0,true,true
Main Electrical & Mechanical,MEP Rough-In & Distribution,high,2026-07-01,2026-10-31,0,false,true
Elevator Installation,MEP Rough-In & Distribution,medium,2026-09-01,2026-12-31,0,false,false
Data Center Infrastructure,Interior Build-Out & Data Centers,high,2026-11-01,2027-02-28,0,false,false
Tenant Improvement Build-Out,Interior Build-Out & Data Centers,medium,2027-01-01,2027-04-30,0,false,false
LEED Documentation Submitted,Commissioning & LEED Certification,medium,2027-04-01,2027-06-15,0,false,false
Building Commissioning & CO,Commissioning & LEED Certification,critical,2027-05-15,2027-06-30,0,true,true
