log_date,weather_conditions,temperature,work_performed,safety_incidents,delays,project_name
2026-01-12,partly_cloudy,28,Concrete pour Level 27 east core walls 180 CY. Curtain wall installation Level 19-21 south and west faces 22 panels. Interior rough framing Level 12-13 corridor walls and unit demising. MEP rough-in Level 11 units 1101-1140. Window washing staging removed Level 8-9 per unit closeout. 224 workers on site.,None,Temperature hold 7:00-9:30 AM - heated enclosure verified before pour,The Meridian at River North
2026-01-13,overcast,25,Level 27 core walls stripped and shored. PT slab Level 26 pour scheduled. Curtain wall Level 22-24 north face 18 panels. Residential finishes Level 8 painting and tile installation. MEP trim Level 8 units started. Elevator cab delivery accepted Level 1 staging. 218 workers on site.,None,None,The Meridian at River North
2026-01-14,snowing,21,Snow - curtain wall suspended per wind and temperature protocol. Interior work only. Level 8-10 residential finishes advancing - flooring tile painting. Core wall rebar Level 28 started. PT slab Level 26 forms shored and PT stressed - ready for pour. 189 workers on site.,None,Curtain wall suspended 7:00 AM - resume pending weather - 1 day delay recorded,The Meridian at River North
2026-01-12,sunny,68,Foundation excavation started Level 1 west wing. Soil nail installation grid A-F rows 1-8. Structural concrete Level 2 east wing 400 CY slab on grade. Rebar placement Level 3 east wing started. ICRA inspection Level 2 corridor expansion - passed. 148 workers on site.,None,None,St. Dominic Medical Center Expansion
2026-01-13,sunny,71,Soil nail Level 1 grid G-L rows 1-8 complete. Rebar Level 3 east wing 70% placed. MEP coordination meeting - resolved 3 BIM conflicts Level 3 and 4. Owner walk-through Level 2 east wing progress with Beatrice Oyelaran and Frank Moreno. ICRA anterooms Level 2 north complete and operational. 152 workers on site.,None,None,St. Dominic Medical Center Expansion
2026-01-14,partly_cloudy,74,Level 3 east concrete pour 320 CY. MEP rough-in Level 2 east - medical gas piping 60% placed. Drywall framing Level 2 ICU zone starting. Structural steel Level 1 west wing columns and beams erected - 8 columns set. Biomedical equipment planning walkthrough OR suite locations with hospital team. 158 workers on site.,Minor first aid - worker cut on conduit edge on left forearm - treated returned to work,None,St. Dominic Medical Center Expansion
2026-01-12,sunny,62,GMP development meeting with Western Pacific Gaming LLC - reviewed structural systems trade-off study for casino floor. Presented concrete vs. post-tensioned options. Gaming floor FF value requirements discussed. Nevada State Fire Marshal pre-application conference scheduled for March 2026. Site survey complete - delivered to structural engineer. 8 office staff on site.,None,None,Paladin Resort & Casino
2026-01-13,sunny,65,Geotechnical investigation complete - boring logs received. Soils report shows competent bearing at 18 feet for mat foundation. Civil engineer designing site utility plan. Value engineering session with owner - reviewed F&B outlet count from 8 to 6 as cost reduction. Pre-construction schedule submitted to owner - GMP target June 1 2026. 6 office staff on site.,None,None,Paladin Resort & Casino
2026-01-12,overcast,45,Punchlist inspection Building 2 - floors 1-3 office area with CenterPoint and tenant reps. 48 punchlist items identified - 31 already corrected during walk. Dock leveler final adjustments doors 180-210. LED lighting commissioning east half building complete - all zones tested and accepted. ESFR sprinkler final inspection east half - passed. 42 workers on site.,None,None,Mid-South Logistics Park - Building 2
2026-01-13,sunny,48,Punchlist Items 1-31 corrections verified and accepted by CenterPoint. Remaining 17 items in progress. Dock leveler final adjustment doors 211-240 complete. Stormwater pond final grading and seed. LEED documentation final submittal package being assembled. Tenant move-in coordination call - target January 28 2026 for 50% of building. 38 workers on site.,None,None,Mid-South Logistics Park - Building 2
2026-01-14,sunny,52,Punchlist items 32-48 complete and verified. CenterPoint issued Substantial Completion letter pending 2 final items - life safety certificate and LEED submittal. Tenant occupancy permit filed with City of Memphis. Final as-built drawings submitted. Substantial completion target January 20 2026. 28 workers on site.,None,None,Mid-South Logistics Park - Building 2
2026-01-12,sunny,42,Concrete slab on grade pour Zone B gymnasium and fitness area 280 CY. Structural steel erection community rooms and entry canopy - 6 columns 12 beams set. MEP underground rough-in 80% complete - final sections pool mechanical room. Architect review visit - confirmed exterior skin design. Geothermal bore drilling 28 of 64 bores complete. 94 workers on site.,None,None,Denver Southwest Recreation & Aquatics Center
2026-01-13,partly_cloudy,39,Structural steel erection community rooms complete. Geothermal bore drilling 36 of 64 bores. MEP underground pool mechanical room rough-in complete - ready for inspection. Concrete slab cure Zone B - no pour. Colorado prevailing wage payroll reports submitted on schedule. Exterior masonry block foundation walls starting north and east facades. 98 workers on site.,None,None,Denver Southwest Recreation & Aquatics Center
2026-01-14,snowing,31,Snow - limited exterior work. Geothermal drilling suspended. Interior concrete work continued - slab Zone A fitness center 180 CY. MEP inspection underground pool mechanical - passed. Structural drawings review meeting - resolved skylight structural support question. 72 workers on site.,Minor near-miss - slip on icy exterior walkway before salt application - no injury,Geothermal drilling delayed - 1 day,Denver Southwest Recreation & Aquatics Center
