account_number,name,account_type,sub_type
1000,Cash & Cash Equivalents,asset,current_asset
1010,Accounts Receivable - Progress Billings,asset,current_asset
1020,Retention Receivable,asset,current_asset
1030,Costs in Excess of Billings (Under-Billed),asset,current_asset
1040,Prepaid Expenses & Deposits,asset,current_asset
1100,Equipment & Vehicles,asset,fixed_asset
1110,Office Furniture & Equipment,asset,fixed_asset
1200,Accumulated Depreciation,asset,fixed_asset
2000,Accounts Payable - Trade,liability,current_liability
2010,Retention Payable,liability,current_liability
2020,Billings in Excess of Costs (Over-Billed),liability,current_liability
2030,Accrued Payroll & Benefits,liability,current_liability
2040,Sales Tax Payable,liability,current_liability
2100,Line of Credit,liability,long_term_liability
2110,Equipment Loans,liability,long_term_liability
3000,Owner's Equity,equity,equity
3010,Retained Earnings,equity,equity
4000,Contract Revenue,revenue,operating_revenue
4010,Change Order Revenue,revenue,operating_revenue
4020,T&M / Extra Work Revenue,revenue,operating_revenue
5000,Subcontractor Costs,expense,cost_of_revenue
5010,Materials & Supplies,expense,cost_of_revenue
5020,Direct Labor,expense,cost_of_revenue
5030,Equipment Rental & Costs,expense,cost_of_revenue
5040,Permits & Fees,expense,cost_of_revenue
5050,Bonding & Insurance (Job),expense,cost_of_revenue
6000,Office Salaries & Benefits,expense,operating_expense
6010,Office Rent & Utilities,expense,operating_expense
6020,Insurance - General Liability,expense,operating_expense
6030,Professional Fees (Legal/Acctg),expense,operating_expense
6040,Vehicle & Travel,expense,operating_expense
6050,Technology & Software,expense,operating_expense
6060,Marketing & Business Development,expense,operating_expense
7000,Interest Expense,expense,interest_expense
8000,Depreciation Expense,expense,depreciation
