name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path,project_name
Schematic design and owner approvals,Preconstruction & Design,critical,2022-06-01,2022-12-31,100,false,true,Hard Rock Legacy Stadium
Design development - 60% CD set,Preconstruction & Design,critical,2023-01-01,2023-06-30,100,false,true,Hard Rock Legacy Stadium
100% Construction documents issued,Preconstruction & Design,critical,2023-07-01,2023-12-31,100,true,true,Hard Rock Legacy Stadium
GMP established and contract executed,Preconstruction & Design,critical,2024-01-05,2024-01-14,100,true,true,Hard Rock Legacy Stadium
Site mobilization and temporary facilities,Site Preparation & Mobilization,high,2024-01-08,2024-02-15,100,false,true,Hard Rock Legacy Stadium
Mass earthwork and dewatering,Site Preparation & Mobilization,critical,2024-01-15,2024-03-31,100,false,true,Hard Rock Legacy Stadium
Drilled pier installation - all quadrants,Deep Foundation & Earthwork,critical,2024-02-01,2024-08-31,100,false,true,Hard Rock Legacy Stadium
Foundation caps and grade beams,Deep Foundation & Earthwork,high,2024-06-01,2024-09-30,100,false,true,Hard Rock Legacy Stadium
Stadium foundation complete milestone,Deep Foundation & Earthwork,critical,2024-09-30,2024-09-30,100,true,true,Hard Rock Legacy Stadium
Level 1 below-grade concourse slab,Structural Concrete - Below Grade,critical,2024-07-01,2024-10-31,100,false,true,Hard Rock Legacy Stadium
Level B1 and B2 parking concrete,Structural Concrete - Below Grade,high,2024-06-01,2024-11-30,100,false,true,Hard Rock Legacy Stadium
Columns and shear walls Level 1-2 erect,Structural Steel & Superstructure,critical,2024-06-15,2024-12-31,100,false,true,Hard Rock Legacy Stadium
Level 1 concourse slab poured all zones,Structural Concrete - Bowl & Concourse,high,2024-08-01,2025-01-31,100,false,true,Hard Rock Legacy Stadium
Level 2 concourse concrete complete,Structural Concrete - Bowl & Concourse,critical,2024-10-01,2025-03-31,100,false,true,Hard Rock Legacy Stadium
Level 3 concourse concrete complete,Structural Concrete - Bowl & Concourse,critical,2024-12-01,2025-05-31,90,false,true,Hard Rock Legacy Stadium
Level 4 grandstand concrete complete,Structural Concrete - Bowl & Concourse,critical,2025-02-01,2025-08-31,65,false,true,Hard Rock Legacy Stadium
Level 5 premium club level slab,Structural Concrete - Bowl & Concourse,high,2025-04-01,2025-10-31,40,false,false,Hard Rock Legacy Stadium
Lower bowl seating riser concrete rows 1-42,Structural Concrete - Bowl & Concourse,critical,2025-01-01,2025-09-30,55,false,true,Hard Rock Legacy Stadium
Structural steel columns Level 3-6 erect,Structural Steel & Superstructure,critical,2024-10-01,2025-04-30,100,false,true,Hard Rock Legacy Stadium
Primary roof truss set T-1 through T-16,Roof Structure & Enclosure,critical,2025-01-13,2025-06-30,100,false,true,Hard Rock Legacy Stadium
