title,description,reason,amount,schedule_impact_days,project_name
Rooftop Dog Run & Pet Amenity Addition,Owner requested rooftop dog run with artificial turf drainage and pet wash station added to amenity deck scope. Structural enhancement required to podium deck below.,owner_request,285000,10,Second Street Mixed-Use Tower
EV Charging Infrastructure - Parking Garage,City of Austin updated code requires 20% of parking spaces to be EV-ready. Additional conduit panels and 40 Level 2 charging stations added to parking garage design.,design_change,198000,5,Second Street Mixed-Use Tower
Upgraded Lobby Finishes - Stone & Millwork,Developer upgraded lobby specification from porcelain tile to Calacatta marble with custom millwork feature wall and bronze fixtures throughout.,owner_request,312000,8,Second Street Mixed-Use Tower
DFW Office Tower - Generator Upgrade,Owner upgraded emergency generator from 750kW to 1500kW to accommodate future data center tenant. Additional fuel tank and switchgear included.,owner_request,425000,12,Uptown Dallas Financial Center
DFW Office Tower - LEED Documentation Premium,Architect required additional commissioning and documentation for LEED Gold submission beyond original scope. Includes third-party commissioning agent.,design_change,95000,0,Uptown Dallas Financial Center
DFW Office Tower - Tenant Amenity Fitness Center,Developer added full fitness center with locker rooms showers and cardio equipment room on floor 2. Not in original contract scope.,owner_request,380000,15,Uptown Dallas Financial Center
Miami Hotel - Caisson Depth Adjustment,Geotechnical condition required caissons 1-4 to be drilled to bearing stratum at El -38 ft versus plan depth of El -42 ft. Credit to owner for reduced scope.,unforeseen_conditions,-165000,0,Brickell Bay Luxury Hotel
Miami Hotel - Hurricane Impact Glass Upgrade,Florida Building Code amendment required all glass above floor 15 to be hurricane-impact rated. Glazing subcontract revised accordingly.,design_change,890000,20,Brickell Bay Luxury Hotel
Miami Hotel - Luxury Spa Addition,Owner added 8000 sqft luxury spa on floor 3 including treatment rooms steam rooms and lap pool. Significant structural and MEP additions.,owner_request,3200000,45,Brickell Bay Luxury Hotel
Denver Warehouse - Office Tenant Improvement Upgrade,Tenant (logistics firm) upgraded office finish package from standard to premium. Includes polished concrete exposed ceiling and custom reception millwork.,owner_request,145000,0,Aurora Commerce Park - Building A
Denver Warehouse - Additional Dock Seals & Shelters,Tenant required dock seals and weather shelters on all 68 dock doors vs original spec of 40. Additional hardware and installation.,owner_request,88000,3,Aurora Commerce Park - Building A
Chicago Medical - Helipad & Rooftop Landing Zone,Owner added hospital helipad on main hospital roof. FAA lighting wind indicators structural reinforcement and rooftop equipment coordination required.,owner_request,1850000,30,Northside Medical Arts Campus
