equipment_name,title,maintenance_type,description,maintenance_date,cost,performed_by,vendor_name,next_due_date
CAT 390F Excavator,CAT 390F - 2000 Hour Service,preventive,Full service including engine oil filter hydraulic filter fuel filter replacement. Undercarriage inspection - track pads at 60% remaining. Swing bearing grease. Coolant flush and refill. All systems operational.,2026-01-05,4200.00,Craig Ellison,Franklin Equipment Rental,2026-04-05
Manitowoc 14000 Crawler Crane,Manitowoc 14000 - Wire Rope Replacement,corrective,Main hoist wire rope failed during annual load test at 110% capacity. Complete replacement of 1200 ft main hoist rope and 800 ft auxiliary rope. New rope run-in procedure completed. Load test passed at 125%.,2026-01-08,28500.00,Craig Ellison,Lone Star Crane Service,2027-01-08
Liebherr LTM 1100 Crane,Liebherr LTM 1100 - Annual Certification,inspection,Annual OSHA/ANSI B30.5 crane inspection. Structural inspection of boom sections and turntable. Load test at 100% and 110% capacity. All safety devices functional. LMI calibrated. Certification renewed through January 2027.,2025-12-15,8500.00,Craig Ellison,Lone Star Crane Service,2026-12-15
Link-Belt TCC-750 Crane,Link-Belt TCC-750 - Hydraulic Pump Repair,corrective,Main hydraulic pump failure causing loss of boom extension and retraction. Pump removed and rebuilt. New seals bearings and pistons installed. System flushed and refilled. Load tested satisfactory.,2026-01-12,12800.00,Craig Ellison,Franklin Equipment Rental,2026-07-12
CAT 336 Next Gen Excavator,CAT 336 - 1000 Hour Service,preventive,Engine oil and filter change. Hydraulic system filter replacement. Air filter service. Track tension adjustment. Bucket pin and bushing inspection - wear within limits. Wiper blade replacement.,2026-01-10,2800.00,Craig Ellison,,2026-04-10
CAT D8T Dozer,CAT D8T - Undercarriage Rebuild,corrective,Track chain replacement both sides. New track rollers and idlers. Sprocket rebuild. Total undercarriage overhaul at 8500 hours. Machine down 5 days for work.,2025-11-20,42000.00,Craig Ellison,Franklin Equipment Rental,2027-05-20
Kenworth T880 Dump Truck #1,Kenworth T880 #1 - DOT Annual Inspection,inspection,Annual DOT safety inspection. Brakes tested and within spec. Lighting and reflectors functional. Frame and suspension inspected. Tires at 70% tread remaining. All DOT stickers current.,2026-01-15,850.00,Craig Ellison,,2027-01-15
Kenworth T880 Dump Truck #2,Kenworth T880 #2 - Transmission Repair,corrective,Transmission slipping in 4th and 5th gear. Rebuilt Allison 4500 transmission with new clutch packs and torque converter. Road tested 50 miles. All gears shifting properly.,2026-01-18,8200.00,Craig Ellison,Austin Fleet Services,2027-07-18
Generac 200kW Generator,Generac 200kW - Load Bank Test,inspection,Annual load bank testing at 25% 50% 75% and 100% rated capacity. All tests passed. Voltage and frequency regulation within spec. Transfer switch operation verified. Fuel system inspected.,2026-01-20,1800.00,Craig Ellison,Generac Authorized Service,2027-01-20
JLG 1250AJP Boom Lift,JLG 1250AJP - Annual Inspection and Recertification,inspection,Annual aerial work platform inspection per ANSI A92.5. Structural inspection of boom sections. Hydraulic system pressure tested. Platform leveling verified. Emergency lowering tested. Safety decals updated.,2026-01-22,3200.00,Craig Ellison,Franklin Equipment Rental,2027-01-22
Putzmeister 56Z Concrete Pump,Putzmeister 56Z - Boom Cylinder Reseal,corrective,Hydraulic leak at boom section 3 cylinder. Cylinder removed resealed and reinstalled. Boom operation tested through full range of motion. Concrete delivery system flushed and inspected. Wear plates at 40% remaining.,2026-01-25,6500.00,Craig Ellison,,2026-07-25
Ford F-550 Service Truck,Ford F-550 - 30K Mile Service,preventive,Oil and filter change. Brake inspection - 50% pad remaining. Tire rotation. Transmission fluid check. Battery tested. Air filter replaced. DEF system checked. All lights and signals functional.,2026-02-01,420.00,Craig Ellison,,2026-05-01
Atlas Copco XAS 750 Compressor,Atlas Copco XAS 750 - Air End Rebuild,corrective,Excessive oil carryover indicating air end seal wear. Complete air end rebuild with new rotors bearings and seals. Oil separator replaced. System tested at rated 750 CFM at 125 PSI.,2026-02-03,15800.00,Craig Ellison,Atlas Copco Service Center,2028-02-03
Wirtgen W210Fi Cold Planer,Wirtgen W210Fi - Drum Replacement,preventive,Milling drum teeth at end of life after Hardy Toll Road project. Complete drum with 180 new carbide teeth installed. Conveyor belt replaced. Water spray system cleaned and tested.,2026-02-05,22000.00,Craig Ellison,Wirtgen Americas Service,2026-08-05
Trimble SX12 Total Station,Trimble SX12 - Annual Calibration,inspection,Annual factory calibration and certification. Horizontal and vertical angle accuracy verified. EDM accuracy tested. Autolock and robotic functions tested. Firmware updated to v4.2. Calibration certificate issued.,2026-02-07,1200.00,Nathan Whitfield,Trimble Geospatial Service,2027-02-07
