entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-0001,2025-01-31,Rental Income - January 2025,RENT-01-2025,1010,1897200,,Accounts receivable - tenant rent
JE-0001,2025-01-31,Rental Income - January 2025,RENT-01-2025,4000,,1897200,Residential rental income
JE-0002,2025-01-31,Rent Cash Receipt - January 2025,CASH-01-2025,1000,1897200,,Cash received for rent
JE-0002,2025-01-31,Rent Cash Receipt - January 2025,CASH-01-2025,1010,,1897200,Clear accounts receivable
JE-0003,2025-01-31,Other Income - January 2025,OTH-01-2025,1000,91250,,Parking pet laundry util reimbursement cash
JE-0003,2025-01-31,Other Income - January 2025,OTH-01-2025,4010,,60000,Parking income
JE-0003,2025-01-31,Other Income - January 2025,OTH-01-2025,4020,,11250,Pet fee income
JE-0003,2025-01-31,Other Income - January 2025,OTH-01-2025,4030,,5000,Laundry and vending
JE-0003,2025-01-31,Other Income - January 2025,OTH-01-2025,4090,,15000,Utility reimbursement
JE-0004,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5000,100035,,Property management fee
JE-0004,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,100035,Accounts payable
JE-0005,2025-01-31,AP Payment - Property management fee January 2025,PAY-01-5000,2000,100035,,Clear AP
JE-0005,2025-01-31,AP Payment - Property management fee January 2025,PAY-01-5000,1000,,100035,Cash paid
JE-0006,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5010,75000,,Repairs and maintenance
JE-0006,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,75000,Accounts payable
JE-0007,2025-01-31,AP Payment - Repairs and maintenance January 2025,PAY-01-5010,2000,75000,,Clear AP
JE-0007,2025-01-31,AP Payment - Repairs and maintenance January 2025,PAY-01-5010,1000,,75000,Cash paid
JE-0008,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5020,15000,,Landscaping and grounds
JE-0008,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,15000,Accounts payable
JE-0009,2025-01-31,AP Payment - Landscaping and grounds January 2025,PAY-01-5020,2000,15000,,Clear AP
JE-0009,2025-01-31,AP Payment - Landscaping and grounds January 2025,PAY-01-5020,1000,,15000,Cash paid
JE-0010,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5030,20000,,Cleaning and janitorial
JE-0010,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,20000,Accounts payable
JE-0011,2025-01-31,AP Payment - Cleaning and janitorial January 2025,PAY-01-5030,2000,20000,,Clear AP
