invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name
receivable,2025-01-31,26735000,0,2026-03-02,ERCOT Energy Settlement January 2025 - DA RT and Ancillary,paid,,ERCOT,GT1 Combustion Inspection 2025
receivable,2025-02-28,22180000,0,2025-03-30,ERCOT Energy Settlement February 2025,paid,,ERCOT,GT1 Combustion Inspection 2025
receivable,2025-03-31,18950000,0,2025-04-30,ERCOT Energy Settlement March 2025 - GT1 CI Outage Impact,paid,,ERCOT,GT1 Combustion Inspection 2025
receivable,2025-04-30,24680000,0,2025-05-30,ERCOT Energy Settlement April 2025,paid,,ERCOT,GT1 Combustion Inspection 2025
receivable,2025-05-31,27450000,0,2025-06-30,ERCOT Energy Settlement May 2025 - Seasonal demand ramp,paid,,ERCOT,GT1 Combustion Inspection 2025
receivable,2025-06-30,32100000,0,2025-07-30,ERCOT Energy Settlement June 2025 - Summer peak begins,paid,,ERCOT,GT2 Hot Gas Path Inspection 2025
receivable,2025-07-31,38800000,0,2025-08-30,ERCOT Energy Settlement July 2025 - Scarcity events high RT prices,paid,,ERCOT,GT2 Hot Gas Path Inspection 2025
receivable,2025-08-31,36500000,0,2025-09-30,ERCOT Energy Settlement August 2025 - Peak summer season,paid,,ERCOT,GT2 Hot Gas Path Inspection 2025
receivable,2025-09-30,16200000,0,2025-10-30,ERCOT Energy Settlement September 2025 - GT2 HGP Outage 28 days,paid,,ERCOT,GT2 Hot Gas Path Inspection 2025
receivable,2025-10-31,22400000,0,2025-11-30,ERCOT Energy Settlement October 2025 - GT2 return to service,paid,,ERCOT,GT2 Hot Gas Path Inspection 2025
receivable,2025-11-30,26900000,0,2025-12-30,ERCOT Energy Settlement November 2025,paid,,ERCOT,Cooling Tower Basin Recoating
receivable,2025-12-31,28578797,0,2026-01-30,ERCOT Energy Settlement December 2025 - Cold weather demand,pending,,ERCOT,Cooling Tower Basin Recoating
receivable,2025-01-31,5000000,0,2025-03-02,NextDecade PPA Capacity Payment January 2025,paid,,NextDecade Corporation,GT1 Combustion Inspection 2025
receivable,2025-02-28,5000000,0,2025-03-30,NextDecade PPA Capacity Payment February 2025,paid,,NextDecade Corporation,GT1 Combustion Inspection 2025
receivable,2025-03-31,5000000,0,2025-04-30,NextDecade PPA Capacity Payment March 2025,paid,,NextDecade Corporation,GT1 Combustion Inspection 2025
receivable,2025-04-30,5000000,0,2025-05-30,NextDecade PPA Capacity Payment April 2025,paid,,NextDecade Corporation,GT1 Combustion Inspection 2025
receivable,2025-05-31,5000000,0,2025-06-30,NextDecade PPA Capacity Payment May 2025,paid,,NextDecade Corporation,GT2 Hot Gas Path Inspection 2025
receivable,2025-06-30,5000000,0,2025-07-30,NextDecade PPA Capacity Payment June 2025,paid,,NextDecade Corporation,GT2 Hot Gas Path Inspection 2025
receivable,2025-07-31,5000000,0,2025-08-30,NextDecade PPA Capacity Payment July 2025,paid,,NextDecade Corporation,GT2 Hot Gas Path Inspection 2025
