equipment_name,title,maintenance_type,description,maintenance_date,cost,performed_by,vendor_name,next_due_date
Backup Generator - 200kW,Generator Annual Load Test,preventive,Annual load bank test at full rated capacity for 4 hours. Transfer switch tested and calibrated. All emergency circuits verified. Test passed.,2025-01-15,4200.00,James Whitfield,Patriot Security Group,2026-01-15
Commercial Riding Mower,Annual Mower Service,preventive,Full service including blade sharpening oil change air filter spark plug belt inspection. Deck leveled and calibrated.,2025-02-10,850.00,Roberto Vega,,2026-02-10
CCTV Surveillance System,Camera System Firmware Update & Calibration,preventive,Updated firmware on all 64 cameras. Recalibrated pan-tilt-zoom units in parking garage. Replaced 3 failed camera housings. DVR backup verified.,2025-02-20,1800.00,Marcus Reid,Tech Security Solutions,2026-02-20
Electric Floor Scrubber,Floor Scrubber Service,preventive,Replaced squeegee blades and scrub brushes. Battery capacity test - at 78% recommend replacement within 12 months. Charger tested OK.,2025-03-05,640.00,Roberto Vega,,2026-03-05
Pool Vacuum System,Pool Vacuum Service,preventive,Cleaned debris canister replaced filter bag inspected drive tracks and brushes. Tested in pool - operating normally.,2025-03-12,320.00,Roberto Vega,Florida Pool & Spa Pros,2026-03-12
High Reach Boom Lift,Boom Lift Annual Inspection,preventive,ANSI A92.20 annual inspection. Hydraulic cylinders tested. Platform gate latch replaced. Ground control panel tested. Inspection sticker issued.,2025-04-01,2400.00,James Whitfield,JLG Authorized Service,2026-04-01
Box Truck - Maintenance,Box Truck 50K Mile Service,preventive,Oil filter brake inspection tire rotation alignment. Rear door seal replaced. AC recharged. New wipers. All systems operational.,2025-05-15,1850.00,James Whitfield,Ford Fleet Service,2025-11-15
Commercial Pressure Washer,Pressure Washer Pump Repair,corrective,Pump seal failure causing pressure loss. Replaced pump seals unloader valve and spray gun. Tested at 3500 PSI - operating normally.,2025-07-08,890.00,Roberto Vega,,2026-01-08
Backup Generator - 200kW,Generator Semi-Annual Inspection,preventive,6-month preventive service. Oil and coolant levels checked. Battery load tested - replaced one weak cell. Transfer switch exercised. All load circuits verified.,2025-07-15,2100.00,James Whitfield,Cat Power Solutions,2026-01-15
Golf Cart - Property,Golf Cart Annual Service,preventive,Battery water levels topped off. Tire pressure adjusted. Brake adjustment. Charging profile recalibrated. Canopy support tightened.,2025-08-01,425.00,Roberto Vega,,2026-08-01
