entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1000,21091000.00,,Opening balance account 1000
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1010,39566500.00,,Opening balance account 1010
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1020,8512500.00,,Opening balance account 1020
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1030,15200000.00,,Opening balance account 1030
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1040,4850000.00,,Opening balance account 1040
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1100,18050000.00,,Opening balance account 1100
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1110,,1600000.00,Opening balance account 1110
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,1200,1300000.00,,Opening balance account 1200
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,2000,,20000000.00,Opening balance account 2000
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,2010,,7921500.00,Opening balance account 2010
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,2030,,3000000.00,Opening balance account 2030
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,2040,,5000000.00,Opening balance account 2040
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,2100,,800000.00,Opening balance account 2100
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,2200,,3500000.00,Opening balance account 2200
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,3000,,59163000.00,Opening balance account 3000
JE-OB-001,2025-01-01,Opening Balance - Hard Rock Legacy Complex 2025,OB-2025,3010,,7585500.00,Opening balance account 3010
