title,description,reason,amount,schedule_impact_days,project_name,status
Owner Upgrade - Turf Field to Natural Grass Playing Surface,University of Miami Athletics changed the primary playing field from FieldTurf synthetic to Bermuda natural grass. Requires additional drainage system soil preparation grow-in irrigation and lighting upgrades. FieldTurf contract reduced by $2.1M. Net additional cost for natural grass system.,owner_request,4850000,21,Hard Rock Legacy Stadium,approved
Enhanced Premium Club Lounge Finishes - Sections 110-125,Owner requested upgrade from standard commercial finishes to high-end hospitality finishes in premium club sections 110-125. Marble flooring custom millwork chef-grade kitchen equipment and upgraded lighting package replacing specification-grade materials.,owner_request,8200000,14,Hard Rock Legacy Stadium,approved
Scoreboard Upgrade - East Board 4K Resolution,Daktronics primary east scoreboard upgraded from specification 1080p LED modules to 4K resolution modules. Scoreboard face area increased from 18000 sqft to 21500 sqft per owner request for market competitiveness. Structural support steel upgraded.,owner_request,5500000,10,Hard Rock Legacy Stadium,approved
Unforeseen Rock Excavation - NE Quadrant Caissons,Geotechnical borings did not encounter hard limestone at northeast quadrant. Mass rock excavation required for 48 caissons averaging additional 8 feet per pier. Unit price schedule governs. 12400 CY of rock excavation at $185/CY.,unforeseen_conditions,2294000,18,Hard Rock Legacy Stadium,approved
Added Backup Generator Capacity - Critical Power Systems,Miami-Dade code compliance review identified requirement for 100% backup power to all critical life safety and broadcast systems. Added two 2MW generators and associated automatic transfer switch gear beyond original scope. Required by county for occupancy permit.,code_compliance,3850000,25,Hard Rock Legacy Stadium,approved
Expanded 5G DAS Network - Full Stadium Coverage,AT&T and Verizon joint venture requirements for naming rights partnership require full stadium distributed antenna system with 1500 antennas. Original scope had 800 antennas. Elara Systems scope increase.,owner_request,2800000,0,Hard Rock Legacy Stadium,approved
Additional Waterproofing at Lower Bowl Concourse,Subsurface water table encountered higher than anticipated at -8 feet elevation. Crystalline waterproofing additive added to all below-grade concrete. Sheet membrane upgraded from Type A to Type B at all below-grade walls. Drainage board added.,unforeseen_conditions,1950000,8,Hard Rock Legacy Stadium,approved
Football Facility - Sports Science Technology Upgrade,UM Athletics added full sports science and biometric monitoring system. Includes Catapult GPS vest charging stations 24 Vicon motion capture cameras force plates in weight room and integrated performance analytics server room. Owner-furnished equipment infrastructure by contractor.,owner_request,3200000,12,Hurricane Football Performance Center,approved
Football Facility - Expanded Recruiting Lounge,Owner increased recruiting lounge from 2200 sqft to 4800 sqft. Added adjacent outdoor terrace with retractable shade canopy. Enhanced AV package with 8 large format displays. Premium finishes throughout per owner interior design consultant.,owner_request,2100000,9,Hurricane Football Performance Center,approved
Athlete Village - Rooftop Pool Deck Premium Upgrade,Owner upgraded rooftop amenity deck from standard pool and hardscape to resort-style facility. Added hot tub outdoor kitchen two cabana structures premium lounge seating and upgraded lighting package. Additional structural capacity for pool shell wet weight.,owner_request,4500000,18,Coral Gables Athlete Village,approved
Athlete Village - Sports Medicine Center Expansion,Building 4 first floor expanded from 4500 sqft to 8200 sqft sports medicine and rehabilitation center. Added hydrotherapy pool underwater treadmill additional treatment tables and expanded storage. Owner request to meet D1 recruiting standards.,owner_request,3800000,15,Coral Gables Athlete Village,approved
Admin Tower - BOA Club Premium Kitchen Upgrade,BOA Club event space on Floors 10-12 kitchen upgraded from commercial prep kitchen to full-service chef kitchen. Added custom vent hoods walk-in coolers commercial range and dishwashing suite. Required for catering and event revenue program.,owner_request,2650000,7,Hurricane Athletic Administration Tower,approved
Site - Expanded Tailgate Plaza & Fan Experience Zone,University expanded north tailgate plaza from 2 acres to 4.8 acres. Added water features interactive installations shade structures and premium power and data infrastructure for sponsor activations. Landscape and hardscape increase.,owner_request,6800000,30,Stadium District Site & Infrastructure,approved
