title,property_name,description,priority,category,scheduled_date,estimated_cost
HVAC Chiller Replacement - Building A,Energy Corridor Campus Bldg A,500-ton centrifugal chiller reached end of life at 18 years. Complete replacement with high-efficiency variable speed unit. Includes refrigerant reclaim and crane rental for rooftop access.,high,HVAC,2026-03-01,185000
Elevator Modernization - Cars 1 and 2,Galleria Office Tower,Modernize 2 of 4 passenger elevators with new controllers door operators and cab finishes. Original 2002 equipment exceeding maintenance costs. Phase 1 of 4-car program.,high,General,2026-04-15,220000
Parking Garage Structural Repair - Level 5,Westchase District Parking Garage,Concrete spalling and exposed rebar on level 5 deck due to salt intrusion. Remove delaminated concrete apply corrosion inhibitor patch with polymer-modified concrete and seal.,high,Structural,2026-02-20,45000
Roof Membrane Replacement - North Wing,Pearland Town Center Phase I,20-year-old built-up roof membrane failing with multiple active leaks. Full tear-off and replacement with 60-mil TPO membrane including new insulation and edge flashing.,high,Roofing,2026-03-15,125000
Fire Alarm Panel Upgrade,Channelview Industrial Park Phase I,Original 2007 fire alarm panel no longer supported by manufacturer. Replace with new addressable panel and update all initiating and notification devices to current code.,medium,General,2026-04-01,38000
Boiler Replacement - Building 1,Woodlands Corporate Bldg 1,One of two 2-million BTU condensing boilers failed. Replace with new high-efficiency unit. Includes piping modifications and controls integration.,high,HVAC,2026-02-15,42000
Tenant Build-Out - Suite 1400,Energy Corridor Campus Bldg B,New tenant build-out for DataVault Cloud Services. 12000 SF including raised floor data room supplemental cooling and UPS power.,medium,General,2026-03-01,280000
Exterior Paint - All Buildings,Heights Townhome Village,Full exterior repaint of all 80 townhome units. Power wash prep prime and two-coat finish. Includes trim caulking and wood repair.,low,Exterior,2026-05-01,95000
Pool Pump and Filter Replacement,Bayou Bend Luxury Apartments,Main pool circulation pump failed. Replace pump motor and sand filter media. Includes pool heater inspection and chemical controller calibration.,medium,Plumbing,2026-02-18,8500
Garage Door Replacement - 4 Units,Channelview Industrial Park Phase II,4 of 8 dock-height overhead doors showing excessive wear. Replace with new insulated sectional doors with high-speed openers and safety sensors.,medium,General,2026-03-10,24000
Landscape Irrigation System Overhaul,Midtown Mixed-Use Tower,Complete irrigation system overhaul including new smart controllers drip conversion for planting beds and backflow preventer replacement.,low,Exterior,2026-04-15,18000
Emergency Generator Load Bank Test,Channelview Industrial Park Phase III,Annual load bank testing of 500kW emergency generator serving Sysco cold storage facility. Test at 25% 50% 75% and 100% rated load. Transfer switch operation verification.,medium,General,2026-02-25,3500
Water Intrusion Investigation - Unit 2204,Museum Park Residences Tower A,Resident reports water staining on ceiling during heavy rain. Investigate exterior wall curtain wall and balcony flashing for source. Repair as needed.,high,Structural,2026-02-12,5000
Pipe Burst Repair - Building 3,Channelview Industrial Park Phase I,2-inch domestic water line burst in warehouse Building 3 during freeze event. Emergency repair including valve replacement and insulation of exposed piping.,high,Plumbing,2026-01-22,4200
Parking Lot Seal Coat and Restripe,Katy Asian Town Retail,Main parking lot seal coat and full restriping including handicap spaces fire lane markings and directional arrows. Night work required to avoid tenant impact.,low,Exterior,2026-04-01,22000
HVAC Controls Upgrade - Floors 6-10,Woodlands Corporate Bldg 2,Upgrade pneumatic HVAC controls to DDC BACnet system on floors 6-10. Includes new VAV box controllers sensors and integration with existing BAS.,medium,HVAC,2026-03-15,65000
Vacancy Renovation - Units 101-108,Bayou Bend Luxury Apartments,8 units vacated in January. Full turnover renovation including new flooring paint kitchen counters appliance refresh and bathroom hardware.,medium,General,2026-02-15,48000
Mall Anchor Space Remediation,Galleria Mall South Wing,Former Dillard's space vacant since 2024. Remediate space for new tenant including mold remediation from HVAC shutdown demo of fixture walls and MEP modifications.,high,General,2026-03-01,85000
Greenspoint Property Stabilization,Greenspoint Office Park (Distressed),Minimum stabilization of distressed property. Board up broken windows. Secure all entries. Remove vandalism graffiti. Maintain minimum utilities to prevent pipe freeze.,low,General,2026-02-10,12000
