entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-001,2026-01-05,Santos Foundations - Progress Payment #6 Terminal,AP-SF-006,5010,3200000,,Subcontractor costs - terminal earthwork
JE-001,2026-01-05,Santos Foundations - Progress Payment #6 Terminal,AP-SF-006,2000,,3200000,Accounts payable - Santos Foundations
JE-002,2026-01-08,Houston Steel - January structural steel delivery,PO-STL-44821,5020,185000,,Materials - structural steel
JE-002,2026-01-08,Houston Steel - January structural steel delivery,PO-STL-44821,2070,15725,,Sales tax on materials
JE-002,2026-01-08,Houston Steel - January structural steel delivery,PO-STL-44821,1000,,200725,Cash payment - Houston Steel
JE-003,2026-01-10,Texas Concrete - January concrete deliveries,PO-TCA-9201,5020,142000,,Materials - concrete 850 CY
JE-003,2026-01-10,Texas Concrete - January concrete deliveries,PO-TCA-9201,2070,12070,,Sales tax on materials
JE-003,2026-01-10,Texas Concrete - January concrete deliveries,PO-TCA-9201,1000,,154070,Cash payment - Texas Concrete
JE-004,2026-01-15,Energy Corridor Tower C - Progress billing #19,AR-ECC-019,1010,1450000,,Accounts receivable - Chen Investment
JE-004,2026-01-15,Energy Corridor Tower C - Progress billing #19,AR-ECC-019,4000,,1450000,Contract revenue - Tower C
JE-005,2026-01-15,Reid Luxury Resort - Progress billing #15,AR-RLR-015,1010,5800000,,Accounts receivable - Reid Hospitality
JE-005,2026-01-15,Reid Luxury Resort - Progress billing #15,AR-RLR-015,4000,,5800000,Contract revenue - Reid Resort
JE-006,2026-01-15,Port Container Terminal - Progress billing #9,AR-PCT-009,1010,6200000,,Accounts receivable - Port of Houston
JE-006,2026-01-15,Port Container Terminal - Progress billing #9,AR-PCT-009,4000,,6200000,Contract revenue - Port Terminal
JE-007,2026-01-15,Bi-weekly payroll - Period 1,PR-2026-01,5000,485000,,Direct labor - field workers
JE-007,2026-01-15,Bi-weekly payroll - Period 1,PR-2026-01,6000,186000,,Office salaries - admin staff
JE-007,2026-01-15,Bi-weekly payroll - Period 1,PR-2026-01,2020,,671000,Accrued payroll
JE-008,2026-01-20,Monthly equipment depreciation - January,DEP-2026-01,7010,42000,,Depreciation expense - January
JE-008,2026-01-20,Monthly equipment depreciation - January,DEP-2026-01,1110,,42000,Accumulated depreciation - equipment
JE-009,2026-01-20,Monthly building depreciation - January,DEP-2026-01B,7010,8500,,Depreciation expense - buildings January
JE-009,2026-01-20,Monthly building depreciation - January,DEP-2026-01B,1130,,8500,Accumulated depreciation - buildings
JE-010,2026-01-25,Kowalski Steel - Payment Application #12,AP-KS-012,5010,1250000,,Subcontractor costs - structural steel Tower C
JE-010,2026-01-25,Kowalski Steel - Payment Application #12,AP-KS-012,2000,,1250000,Accounts payable - Kowalski Steel
JE-011,2026-01-30,Monthly office rent and utilities,RENT-2026-01,6010,48000,,Office rent and utilities - January
