name,code,status,project_type,address,city,state,zip,client_name,client_email,client_phone,budget,estimated_cost,start_date,end_date,description,completion_pct
2025 Annual HVAC Tune-Up Program - All Properties,MAINT-HVAC-2025,completed,Maintenance,4820 N Scottsdale Rd Suite 200,Scottsdale,AZ,85251,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,38100,36840,2025-03-01,2025-04-30,Annual HVAC preventive maintenance tune-up on all 127 owned units and 43 managed units. Cool Comfort AC & Heating performing 170 tune-ups at $220/unit average. Filter changes coil cleaning and refrigerant check. Coordinated with tenants for access during March-April before peak summer season.,100
Landscaping Contract Renewal & Upgrade 2025,MAINT-LAND-2025,completed,Maintenance,4820 N Scottsdale Rd Suite 200,Scottsdale,AZ,85251,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,144780,141200,2025-01-01,2025-12-31,Annual landscape maintenance contract for all 127 owned properties. AZ Landscape Professionals performing monthly service: mow/edge/blow/trim for grass yards and rock/desert-scape maintenance for xeriscaping. 12-month contract at avg $95/property/month.,100
Smart Home Upgrade Program - Phase 2,CAPEX-SMART-2025,completed,Capital,4820 N Scottsdale Rd Suite 200,Scottsdale,AZ,85251,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,42000,39800,2025-01-15,2025-04-30,Installation of Nest Learning Thermostats and Ring Pro Video Doorbells in 60 remaining owned properties that did not receive Phase 1 in 2024. Remote monitoring reduces HVAC service calls improves tenant experience and allows vacancy monitoring. Installed by in-house maintenance coordinators.,100
4851 Dobson Rd Mesa - Full Interior Renovation,RENO-MESA-4851,completed,Renovation,4851 Dobson Rd,Mesa,AZ,85204,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,28500,27200,2025-02-01,2025-03-15,Full interior renovation during tenant turnover. Previous tenant of 4 years. New LVP flooring throughout interior paint new kitchen countertops and cabinet hardware new bathroom vanity fixtures and lighting. Re-leased at $2,050/mo ($175 over prior rent) within 12 days of completion.,100
2208 Ray Rd Chandler - HVAC System Replacement,CAPEX-HVAC-2208,completed,Capital,2208 Ray Rd,Chandler,AZ,85224,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,7800,7650,2025-06-12,2025-06-18,Emergency HVAC replacement during tenant occupancy. 15-year-old Carrier 3.5-ton unit failed during 112F heat event. Cool Comfort AC & Heating replaced with new 16 SEER Trane XR15 unit. APS rebate $350 applied. Tenant coordinated for access. One-day installation.,100
7733 Val Vista Dr Gilbert - Water Heater & Re-Pipe,CAPEX-PIPE-7733,completed,Capital,7733 Val Vista Dr,Gilbert,AZ,85296,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,5200,4980,2025-08-05,2025-08-09,50-gallon Bradford White water heater failed (15 years old). Valley Plumbing replaced with new 50-gallon hybrid heat pump water heater. Also replaced original galvanized supply lines with PEX throughout. APS energy rebate $250 applied.,100
Eviction & Legal - 3382 Stapley Dr Mesa,LEGAL-EVICT-001,completed,Legal,3382 Stapley Dr,Mesa,AZ,85204,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,4500,3850,2025-04-01,2025-05-20,Tenant non-payment of rent - 3 months arrears. 5-day notice served. Tenant failed to vacate or pay. Filed eviction with Maricopa County Justice Court. Writ of restitution executed. Property vacated May 18 2025. Make-ready in progress. Legal fees $1,850. Lost rent ~$5,850 (2.9 months vacancy).,100
3382 Stapley Dr Mesa - Post-Eviction Make-Ready,RENO-MESA-3382,completed,Renovation,3382 Stapley Dr,Mesa,AZ,85204,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,6800,6420,2025-05-20,2025-06-08,Post-eviction make-ready. Deep clean damage repair (holes in walls carpet replacement in master bedroom). Full interior repaint. Cleaned and inspected HVAC. New bathroom faucets. Security deposit applied toward damages ($2,050). Owner net cost ~$4,370. Re-leased June 15 2025.,100
Pest Control Annual Program - All 127 Units,MAINT-PEST-2025,completed,Maintenance,4820 N Scottsdale Rd Suite 200,Scottsdale,AZ,85251,Sonoran Residential Management LLC,d.orosco@sonoranresidential.com,480-555-0101,22860,22860,2025-01-01,2025-12-31,Annual pest control program for all 127 owned properties. Sunstate Pest Control quarterly treatments for scorpions ants cockroaches and termite inspection. Desert Southwest pest pressure requires consistent program. Tenants notified 24 hours in advance per AZ landlord-tenant law.,100
Harrisburg Crossing - 3rd Party Portfolio Onboarding,TPM-ONBOARD-2025,completed,3rd Party Management,4820 N Scottsdale Rd Suite 200,Scottsdale,AZ,85251,James Whitfield Investment Holdings,j.whitfield@whitfieldcap.com,602-555-0003,8500,7200,2025-01-15,2025-03-01,Onboarding 12 new SFR homes from investor James Whitfield into our management platform. Properties in Mesa and Gilbert. Included property condition inspections for all 12 units lease audit and tenant communication transition. Set up owner portal in AppFolio.,100
