entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-001,2025-01-31,January In-Store Sales,POS-JAN,1000,46250.00,,Cash receipt from POS in-store sales
JE-001,2025-01-31,January In-Store Sales,POS-JAN,4000,,46250.00,In-store food & beverage sales - January
JE-002,2025-01-31,January Delivery Sales,DEL-JAN,1000,11480.00,,Cash receipt net of delivery fees
JE-002,2025-01-31,January Delivery Sales,DEL-JAN,4020,,16400.00,Third-party delivery gross revenue - January
JE-002,2025-01-31,January Delivery Sales,DEL-JAN,5800,4920.00,,Delivery platform fees 30% - January
JE-005,2025-01-31,January Payroll,PAY-JAN,5100,16500.00,,Hourly wages - January
JE-005,2025-01-31,January Payroll,PAY-JAN,5110,1262.25,,Payroll taxes - January
JE-005,2025-01-31,January Payroll,PAY-JAN,5120,950.00,,Benefits - January
JE-005,2025-01-31,January Payroll,PAY-JAN,1000,,18712.25,Payroll cash disbursement - January
JE-006,2025-01-31,January Subway Royalties,ROY-JAN,5200,5488.00,,Royalties 8% of gross sales $68600
JE-006,2025-01-31,January Subway Royalties,ROY-JAN,2030,,5488.00,Royalties payable - January
JE-007,2025-01-31,January Advertising Fund,ADV-JAN,5210,3086.00,,Ad fund 4.5% of gross sales
JE-007,2025-01-31,January Advertising Fund,ADV-JAN,2030,,3086.00,Ad fund payable - January
JE-008,2025-01-31,January Rent,RENT-JAN,5300,4500.00,,Base rent - January
JE-008,2025-01-31,January Rent,RENT-JAN,5310,420.00,,CAM charges - January
JE-008,2025-01-31,January Rent,RENT-JAN,1000,,4920.00,Rent cash disbursement - January
JE-009,2025-01-31,January Utilities,UTIL-JAN,5400,1850.00,,Electric gas water - January
JE-009,2025-01-31,January Utilities,UTIL-JAN,5410,180.00,,Internet & phone - January
JE-009,2025-01-31,January Utilities,UTIL-JAN,1000,,2030.00,Utilities disbursement - January
JE-010,2025-01-31,January Other OpEx,OPS-JAN,5500,380.00,,Supplies - January
JE-010,2025-01-31,January Other OpEx,OPS-JAN,5600,720.00,,Insurance - January
JE-010,2025-01-31,January Other OpEx,OPS-JAN,5700,1208.33,,Depreciation - January
JE-010,2025-01-31,January Other OpEx,OPS-JAN,5900,250.00,,Miscellaneous - January
JE-010,2025-01-31,January Other OpEx,OPS-JAN,1520,,1208.33,Accumulated depreciation
JE-010,2025-01-31,January Other OpEx,OPS-JAN,1000,,1350.00,Cash disbursements - January OpEx
JE-011,2025-01-31,January SBA Loan Payment,LOAN-JAN,2040,1462.50,,SBA loan principal payment
JE-011,2025-01-31,January SBA Loan Payment,LOAN-JAN,6000,585.00,,Interest expense on SBA loan
JE-011,2025-01-31,January SBA Loan Payment,LOAN-JAN,1000,,2047.50,SBA loan cash payment
JE-012,2025-02-28,February In-Store Sales,POS-FEB,1000,42800.00,,Cash receipt from POS in-store sales
JE-012,2025-02-28,February In-Store Sales,POS-FEB,4000,,42800.00,In-store food & beverage sales - February
JE-013,2025-02-28,February Delivery Sales,DEL-FEB,1000,10640.00,,Cash receipt net of delivery fees
JE-013,2025-02-28,February Delivery Sales,DEL-FEB,4020,,15200.00,Third-party delivery gross revenue - February
JE-013,2025-02-28,February Delivery Sales,DEL-FEB,5800,4560.00,,Delivery platform fees 30% - February
JE-016,2025-02-28,February Payroll,PAY-FEB,5100,16500.00,,Hourly wages - February
JE-016,2025-02-28,February Payroll,PAY-FEB,5110,1262.25,,Payroll taxes - February
JE-016,2025-02-28,February Payroll,PAY-FEB,5120,950.00,,Benefits - February
JE-016,2025-02-28,February Payroll,PAY-FEB,1000,,18712.25,Payroll cash disbursement - February
JE-017,2025-02-28,February Royalties & AdFund,ROY-FEB,5200,5104.00,,Royalties 8% - February gross $63800
JE-017,2025-02-28,February Royalties & AdFund,ROY-FEB,5210,2871.00,,Ad fund 4.5% - February
JE-017,2025-02-28,February Royalties & AdFund,ROY-FEB,2030,,7975.00,Royalties & ad fund payable - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5300,4500.00,,Rent - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5310,420.00,,CAM - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5400,1780.00,,Utilities - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5410,180.00,,Internet & phone - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5500,360.00,,Supplies - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5600,720.00,,Insurance - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5700,1208.33,,Depreciation - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,5900,200.00,,Miscellaneous - February
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,1520,,1208.33,Accumulated depreciation
JE-018,2025-02-28,February Fixed Expenses,FIX-FEB,1000,,8160.00,Cash disbursements February fixed
JE-019,2025-02-28,February SBA Loan Payment,LOAN-FEB,2040,1462.50,,SBA loan principal
JE-019,2025-02-28,February SBA Loan Payment,LOAN-FEB,6000,579.00,,Interest - February
JE-019,2025-02-28,February SBA Loan Payment,LOAN-FEB,1000,,2041.50,SBA loan cash payment
JE-020,2025-03-31,March In-Store Sales,POS-MAR,1000,49600.00,,Cash receipt in-store sales - March
JE-020,2025-03-31,March In-Store Sales,POS-MAR,4000,,49600.00,In-store food & beverage sales - March
JE-021,2025-03-31,March Delivery & Catering,DEL-MAR,1000,13510.00,,Cash net - delivery March
JE-021,2025-03-31,March Delivery & Catering,DEL-MAR,4020,,19300.00,Third-party delivery gross - March
JE-021,2025-03-31,March Delivery & Catering,DEL-MAR,5800,5790.00,,Delivery platform fees - March
JE-024,2025-03-31,March Payroll,PAY-MAR,5100,17200.00,,Wages - March (extra PT hire spring break)
JE-024,2025-03-31,March Payroll,PAY-MAR,5110,1316.00,,Payroll taxes - March
JE-024,2025-03-31,March Payroll,PAY-MAR,5120,950.00,,Benefits - March
JE-024,2025-03-31,March Payroll,PAY-MAR,1000,,19466.00,Payroll disbursement - March
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5200,5878.64,,Royalties 8% gross $73483
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5210,3306.74,,Ad fund 4.5%
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5300,4500.00,,Rent - March
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5310,420.00,,CAM - March
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5400,1920.00,,Utilities - March
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5410,180.00,,Internet & phone
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5500,380.00,,Supplies
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5600,720.00,,Insurance
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5700,1208.33,,Depreciation
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,5900,300.00,,Miscellaneous
JE-025,2025-03-31,March Royalties & Fixed,ROY-MAR,2030,,9185.38,Royalties & ad fund payable
