entry_date,hours,overtime_hours,description,cost_code
2026-01-06,8,2,Foundation forming and rebar tying Building B south wing. Concrete pour coordination.,03300
2026-01-06,8,0,Site safety inspection and daily log preparation. Subcontractor coordination meeting.,01000
2026-01-07,8,1.5,Stripped forms Building A west footings. Supervised backfill and compaction operations.,03300
2026-01-07,8,0,Framing material takeoff and staging. Reviewed shop drawings for Building A.,06100
2026-01-08,8,0,First floor wall framing Building A sections 1-8. Bottom plate installation and layout.,06100
2026-01-08,8,0,Electrical underground conduit installation Building B. Permit coordination with city inspector.,16000
2026-01-09,4,0,Rain day - interior material staging and organization. Safety meeting facilitation.,01000
2026-01-10,8,2,Wall framing Building A sections 9-12. Plumbing rough-in coordination.,06100
2026-01-10,8,0,Underground waste line installation Building B. Slope verification and testing.,15100
2026-01-13,8,1,Second floor deck sheathing Building A. Concrete pour Building B grade beams.,06100
2026-01-13,8,0,Office Tower drywall installation floors 1-2. Ceiling grid layout floor 1.,09250
2026-01-14,8,0,Framing first floor completion Building A. Joist setting second floor.,06100
2026-01-14,8,2,Elevator rail installation shaft 2. Cab framing and electrical connection.,14200
2026-01-15,8,0,Second floor framing Building A continued. Plumbing top-out inspection coordination.,06100
2026-01-15,8,1.5,Lobby stone installation and reception desk millwork. Painting floors 1-2 progress.,09300
