invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name
receivable,2023-05-01,4100000,0,2023-06-01,AIA App #01 - Mobilization and excavation,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2023-08-01,5200000,0,2023-09-01,AIA App #02 - Foundation and garage structure Level P1-P3,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2023-11-01,6400000,0,2023-12-01,AIA App #03 - Podium structure Level 1-6,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2024-02-01,6800000,0,2024-03-01,AIA App #04 - Tower structure Level 7-14,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2024-05-01,7200000,0,2024-06-01,AIA App #05 - Tower structure Level 15-22 and curtain wall start,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2024-08-01,7600000,0,2024-09-01,AIA App #06 - Tower structure Level 23-28 and curtain wall Level 1-8,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2024-11-01,7800000,0,2024-12-01,AIA App #07 - Tower complete and curtain wall Level 9-18,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2025-02-01,7400000,0,2025-03-01,AIA App #08 - Curtain wall Level 19-28 and interior rough Level 1-8,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2025-05-01,7600000,0,2025-06-01,AIA App #09 - Curtain wall complete and MEP rough Level 9-18,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2025-08-01,7200000,0,2025-09-01,AIA App #10 - Interior finishes Level 1-12 and approved COs 1-5,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2025-11-01,6800000,0,2025-12-01,AIA App #11 - Interior finishes Level 13-22,paid,,Great Lakes Urban Partners,The Meridian at River North
receivable,2026-01-05,5900000,0,2026-02-05,AIA App #12 - Interior finishes Level 23-30 pending,pending,,Great Lakes Urban Partners,The Meridian at River North
receivable,2024-09-01,2900000,0,2024-10-01,SDM AIA App #01 - Mobilization and Level 1 foundations,paid,,St. Dominic Health System,St. Dominic Medical Center Expansion
