name,phase_name,start_date,end_date,status,priority,project_name,is_milestone
Feasibility Study & Market Analysis,Pre-Construction,2025-06-01,2025-08-31,completed,high,8400 Edgewater Mixed-Use Development,
Schematic Design,Pre-Construction,2025-06-15,2025-10-31,completed,high,8400 Edgewater Mixed-Use Development,
Design Development,Pre-Construction,2025-11-01,2026-03-31,completed,high,8400 Edgewater Mixed-Use Development,
Construction Documents,Pre-Construction,2026-04-01,2026-08-31,in_progress,high,8400 Edgewater Mixed-Use Development,
Permit Applications,Pre-Construction,2026-06-01,2026-10-31,in_progress,critical,8400 Edgewater Mixed-Use Development,
Geotechnical Investigation,Pre-Construction,2025-09-01,2025-11-30,completed,high,8400 Edgewater Mixed-Use Development,
Environmental Assessment,Pre-Construction,2025-10-01,2026-01-31,completed,high,8400 Edgewater Mixed-Use Development,
Construction Loan Closing,Pre-Construction,2026-08-01,2026-10-31,not_started,critical,8400 Edgewater Mixed-Use Development,true
GMP Negotiation & Award,Pre-Construction,2026-07-01,2026-09-30,not_started,critical,8400 Edgewater Mixed-Use Development,
Demolition & Site Clearing,Site Work & Foundations,2026-11-01,2026-12-15,not_started,high,8400 Edgewater Mixed-Use Development,
Excavation & Shoring,Site Work & Foundations,2026-12-01,2027-01-31,not_started,high,8400 Edgewater Mixed-Use Development,
Foundation Concrete,Site Work & Foundations,2027-01-15,2027-03-31,not_started,high,8400 Edgewater Mixed-Use Development,
Underground Utilities,Site Work & Foundations,2027-02-01,2027-04-30,not_started,medium,8400 Edgewater Mixed-Use Development,
Steel Erection - Parking,Structural Frame,2027-03-01,2027-06-30,not_started,high,8400 Edgewater Mixed-Use Development,
Steel Erection - Residential,Structural Frame,2027-04-01,2027-10-31,not_started,high,8400 Edgewater Mixed-Use Development,
Concrete Decks,Structural Frame,2027-05-01,2027-12-31,not_started,high,8400 Edgewater Mixed-Use Development,
Topping Out,Structural Frame,2027-12-31,2027-12-31,not_started,high,8400 Edgewater Mixed-Use Development,true
Curtain Wall Installation,Building Envelope,2027-08-01,2028-04-30,not_started,high,8400 Edgewater Mixed-Use Development,
Roofing & Waterproofing,Building Envelope,2028-01-01,2028-04-30,not_started,high,8400 Edgewater Mixed-Use Development,
Building Watertight,Building Envelope,2028-06-30,2028-06-30,not_started,critical,8400 Edgewater Mixed-Use Development,true
Electrical Rough-In,MEP Rough-In,2027-06-01,2028-03-31,not_started,high,8400 Edgewater Mixed-Use Development,
Plumbing Rough-In,MEP Rough-In,2027-06-01,2028-03-31,not_started,high,8400 Edgewater Mixed-Use Development,
HVAC Installation,MEP Rough-In,2027-08-01,2028-05-31,not_started,high,8400 Edgewater Mixed-Use Development,
Fire Protection,MEP Rough-In,2027-09-01,2028-06-30,not_started,critical,8400 Edgewater Mixed-Use Development,
Studio Power Distribution,MEP Rough-In,2027-10-01,2028-04-30,not_started,high,8400 Edgewater Mixed-Use Development,
Drywall & Framing,Interior Finishes,2027-10-01,2028-05-31,not_started,medium,8400 Edgewater Mixed-Use Development,
Flooring Installation,Interior Finishes,2028-01-01,2028-06-30,not_started,medium,8400 Edgewater Mixed-Use Development,
Kitchen & Bath Installation,Interior Finishes,2028-02-01,2028-07-31,not_started,medium,8400 Edgewater Mixed-Use Development,
Common Area Finishes,Interior Finishes,2028-04-01,2028-08-31,not_started,medium,8400 Edgewater Mixed-Use Development,
FF&E Installation,Interior Finishes,2028-06-01,2028-08-31,not_started,medium,8400 Edgewater Mixed-Use Development,
Soundstage Shell Construction,Studio Build-Out,2027-06-01,2028-01-31,not_started,high,8400 Edgewater Mixed-Use Development,
Sound Isolation & Acoustics,Studio Build-Out,2027-11-01,2028-03-31,not_started,high,8400 Edgewater Mixed-Use Development,
Studio Electrical & Lighting Grid,Studio Build-Out,2028-01-01,2028-04-30,not_started,high,8400 Edgewater Mixed-Use Development,
Production Office Build-Out,Studio Build-Out,2028-02-01,2028-05-31,not_started,medium,8400 Edgewater Mixed-Use Development,
Backlot Grading & Paving,Studio Build-Out,2028-03-01,2028-06-30,not_started,medium,8400 Edgewater Mixed-Use Development,
Studio TCO,Studio Build-Out,2028-06-30,2028-06-30,not_started,critical,8400 Edgewater Mixed-Use Development,true
Parking Structure Foundations,Parking Structure,2027-01-01,2027-03-31,not_started,high,8400 Edgewater Mixed-Use Development,
Parking Deck Construction,Parking Structure,2027-03-01,2027-08-31,not_started,high,8400 Edgewater Mixed-Use Development,
Parking MEP & Lighting,Parking Structure,2027-07-01,2027-10-31,not_started,medium,8400 Edgewater Mixed-Use Development,
Hardscape & Paving,Landscape & Exterior,2028-04-01,2028-07-31,not_started,medium,8400 Edgewater Mixed-Use Development,
Planting & Irrigation,Landscape & Exterior,2028-06-01,2028-09-30,not_started,medium,8400 Edgewater Mixed-Use Development,
Residential TCO / First Move-Ins,Lease-Up & Stabilization,2028-05-01,2028-05-01,not_started,critical,8400 Edgewater Mixed-Use Development,true
Residential Lease-Up (20 units/mo),Lease-Up & Stabilization,2028-05-01,2029-03-01,not_started,high,8400 Edgewater Mixed-Use Development,
Studio Lease Commencement,Lease-Up & Stabilization,2028-10-01,2028-10-01,not_started,high,8400 Edgewater Mixed-Use Development,true
Stabilization Achieved (95%),Lease-Up & Stabilization,2029-03-01,2029-03-01,not_started,critical,8400 Edgewater Mixed-Use Development,true
