title,project_name,spec_section,due_date
GE LTP Annual Performance Report - GT1 and GT2 FY2025,GT1 Combustion Inspection 2025,LTSA-001,2026-02-28
GT1 Combustion Inspection Completion Report,GT1 Combustion Inspection 2025,MAINT-GT1-001,2025-04-15
GT2 Hot Gas Path Inspection Completion Report,GT2 Hot Gas Path Inspection 2025,MAINT-GT2-001,2025-11-15
TCEQ CEMS Annual Compliance Report 2025 - HRSG-1,HRSG1 CEMS Upgrade,ENV-CEMS-001,2026-03-31
TCEQ Title V Annual Compliance Certification 2025,HRSG1 CEMS Upgrade,ENV-TV-001,2026-03-31
NERC CIP Annual Self-Certification - Medium Impact BES,GT2 Hot Gas Path Inspection 2025,NERC-CIP-001,2026-03-01
ERCOT Resource Registration Update - FFR Expansion,GT1 Combustion Inspection 2025,ERCOT-RR-001,2026-03-31
Harris County Boiler Inspection Report - HRSG-1 2025,HRSG1 CEMS Upgrade,TDI-BOIL-001,2025-07-01
GT1 Major Overhaul 2027 - Long Lead Parts Order Confirmation,GT1 Major Overhaul Planning 2027,PLAN-GT1-001,2025-09-30
Cooling Tower Recoating Completion - SPCC Inspection,Cooling Tower Basin Recoating,ENV-SPCC-001,2026-02-15
