inspection_type,inspection_date,score,findings,corrective_actions,status,project_name
site_safety,2026-01-06,88,Fall protection compliant on Tower C upper floors. Two workers missing safety vests at ground level. Housekeeping needs improvement at loading dock area. Fire extinguisher at trailer expired.,Issued replacement vests. Cleaned loading dock area. Replaced expired fire extinguisher. Added housekeeping to daily checklist.,completed,Energy Corridor Campus Tower C
equipment,2026-01-08,92,All crane certifications current. Excavator daily logs complete. One frayed sling found on rigging rack. Generator grounding verified. Compressor relief valve tested OK.,Removed damaged sling from service and tagged for disposal. Ordered replacement. Updated rigging inventory.,completed,Energy Corridor Campus Tower C
fire_safety,2026-01-10,85,Fire extinguishers on Resort floors 1-18 inspected and current. Hot work permit area on floor 22 lacked fire watch. Welding screens not properly positioned in two areas.,Assigned dedicated fire watch to all hot work areas. Repositioned welding screens. Reinforced hot work permit procedures at morning meeting.,completed,Reid Luxury Resort & Spa
site_safety,2026-01-13,78,Port Terminal container yard has uneven terrain creating trip hazards. Barricade tape around open excavation deteriorated. Emergency assembly point signage missing at north gate.,Graded and compacted trip hazard areas. Replaced all barricade tape with rigid barricading. Installed reflective assembly point signage at all gates.,completed,Port Container Terminal Automation
equipment,2026-01-15,95,Manitowoc crawler crane annual inspection complete - all systems functional. New wire rope installed after load test failure. All mobile equipment pre-op logs current. Boom lift certifications verified.,No corrective actions required. Documented new wire rope installation and load test results. Updated maintenance schedule.,completed,Foster Regional Medical Center
site_safety,2026-01-17,91,Foster Medical Center site perimeter fencing secure. Excavation shoring in place and inspected. All workers wearing proper PPE. Dust control measures effective. Noise monitoring within limits.,Minor recommendation to add additional dust suppression at south access point during dry conditions. Scheduled water truck rotation.,completed,Foster Regional Medical Center
pre_task,2026-01-20,94,Pre-task plan for Tower C curtain wall installation reviewed. All workers signed JSA. Fall protection anchor points verified by engineer. Weather conditions acceptable. Material staging organized.,Noted wind speed monitoring required during panel installation. Set 25 mph threshold for stopping glass panel lifts.,completed,Energy Corridor Campus Tower C
site_safety,2026-01-22,82,Museum Park Tower B scaffolding inspection post-wind event. 40% of scaffold boards displaced. Toe boards missing on 3 levels. Guardrails intact. Scaffold frame connections tight.,Replaced all displaced scaffold boards. Installed missing toe boards. Added wind speed monitoring protocol. Reduced work height during high wind warnings.,completed,Museum Park High-Rise Residences
equipment,2026-01-24,90,Hardy Toll Road paving equipment inspection. Asphalt paver calibration verified. Roller compaction pattern documented. Haul trucks inspected - one with cracked windshield identified.,Removed truck with cracked windshield from service. Scheduled replacement. All other equipment cleared for continued operation.,completed,Hardy Toll Road Widening Segment 3
site_safety,2026-01-27,87,Sugar Land retail building shell inspection. Temporary stairs installed and compliant. Opening protection in floor decks adequate. Material storage organized. One missing guardrail at elevator shaft.,Installed temporary guardrail at elevator shaft opening. Added to daily inspection checklist. Briefed all trades on floor opening protection requirements.,completed,Sugar Land Town Square Expansion
fire_safety,2026-01-29,93,Kemp Petrochemical fire suppression system pre-commissioning check. Foam proportioning system calibrated. Deluge valves tested. Fire water pump started and ran for 30 minutes. All hose stations accessible.,Minor recommendation to add additional foam concentrate storage. Current supply meets minimum but should have 150% reserve for extended operations.,completed,Kemp Petrochemical Storage Facility
site_safety,2026-01-31,75,Drake Waterfront marine bulkhead area inspection. Dewatering pumps operating continuously. Cofferdam seepage noted at two joints. Workers in marine environment lacking life vests. No rescue boat on standby.,CRITICAL: Immediately provided life vests to all marine workers. Positioned rescue boat at cofferdam. Sealed cofferdam joints with additional welding. Assigned dedicated marine safety watch.,completed,Drake Waterfront Condominiums
annual,2026-02-01,89,Annual company-wide safety program review. 2025 EMR at 0.82. Total recordable rate 2.1 vs industry 3.4. One fatality in 2024 requiring ongoing corrective actions. Training compliance at 94%.,Updated safety manual with post-fatality lessons learned. Mandated forklift seatbelt interlocks on all company equipment. Increased night shift supervision ratios. Added quarterly safety stand-downs.,completed,Energy Corridor Campus Tower C
equipment,2026-02-03,91,Quarterly fleet vehicle inspection. 18 vehicles inspected. 2 with overdue oil changes. 1 with worn brake pads. All fire extinguishers current. DOT logs complete on CDL vehicles.,Scheduled overdue oil changes for weekend. Replaced brake pads on F-350 #2. Updated preventive maintenance tracking spreadsheet.,completed,Energy Corridor Campus Tower C
site_safety,2026-02-05,86,Woodlands Village site prep inspection. Erosion control measures adequate after recent rain. Silt fences intact. Construction entrance stabilized. One area of standing water near material storage.,Pumped standing water and re-graded area for drainage. Added additional stone at material storage pad. Scheduled erosion control maintenance.,completed,Woodlands Mixed-Use Village
