entry_date,hours,overtime_hours,description,cost_code
2026-01-06,10,2,West Seattle Bridge – Tower T2 pylon cap pour supervision. Concrete QC and slipform coordination.,03300
2026-01-06,12,4,West Seattle Bridge – Marine crane barge operations. Precast girder picks Span 3. Night shift.,05400
2026-01-07,10,0,West Seattle Bridge – Drilled shaft cofferdam dewatering Pier W4. Superintendent oversight.,02300
2026-01-07,8,0,SR-520 Lid – Lid deck forming Section C. Rebar placement inspection.,03200
2026-01-08,10,2,West Seattle Bridge – Precast girder erection Span 3. Crane signal person.,05400
2026-01-08,8,0,SR-520 Lid – Montlake Flap Bridge steel erection. Ironworker supervision.,05120
2026-01-09,10,0,West Seattle Bridge – Stay cable stressing cables C-05 through C-08. Engineer observation.,05700
2026-01-09,8,0,Ballard Bridge – Pier 4 concrete jacket forming. Superintendent.,03300
2026-01-12,10,2,West Seattle Bridge – Pylon slipform Level 15-16 east tower. Night concrete pour.,03300
2026-01-12,8,0,SR-520 Lid – Section A deck concrete pour 380 CY. Pump operator and QC.,03300
2026-01-13,10,0,West Seattle Bridge – Precast Span 4 girder erection. Marine crane coordination.,05400
2026-01-13,8,0,Ballard Bridge – Pier 6 reinforcing steel placement for concrete jacket.,03300
2026-01-14,12,4,West Seattle Bridge – Deck concrete pour Span 2 west – 520 CY. Night pour.,03300
