project_name,title,spec_section,due_date,status
Brickell Bay - 2025 Operations,Pool resurfacing material samples - Diamond Brite Arctic White,13150,2025-03-01,approved
Brickell Bay - 2025 Operations,Pool heater equipment cut sheets - Raypak 406A,15500,2025-03-10,approved
Brickell Bay - 2025 Operations,Elevator cab interior shop drawings - Otis Gen2,14200,2025-04-15,approved
Brickell Bay - 2025 Operations,Parking gate system specifications - LiftMaster BG790,11100,2025-07-01,approved
Brickell Bay - 2025 Operations,Security camera specifications - Axis P3267-LVE,16700,2025-09-01,approved
Brickell Bay - 2025 Operations,HVAC filter media specifications - MERV 13,15800,2025-03-01,approved
Brickell Bay - 2025 Operations,Exterior paint color samples - Sherwin-Williams Duration,09900,2025-07-15,approved
Brickell Bay - 2025 Operations,Roof membrane patch material - Johns Manville TPO,07500,2025-07-20,approved
Brickell Bay - 2025 Operations,NVR system shop drawings - Milestone XProtect,16700,2025-10-01,pending
Brickell Bay - 2025 Operations,Holiday lighting design package - LED facade outline,26500,2025-10-15,pending
