title,project_name,spec_section,due_date
Structural Steel Shop Drawings,Riverside Luxury Apartments,05 12 00,2026-03-01
HVAC Equipment Submittals,Riverside Luxury Apartments,23 05 00,2026-03-15
Curtain Wall System,Downtown Office Tower Renovation,08 44 00,2026-04-01
Concrete Mix Design,Riverside Luxury Apartments,03 30 00,2026-02-28
Electrical Panel Schedule,Downtown Office Tower Renovation,26 24 00,2026-03-20
Waterproofing Membrane,Riverside Luxury Apartments,07 10 00,2026-03-10
Elevator Equipment,Downtown Office Tower Renovation,14 20 00,2026-04-15
Fire Suppression System,Riverside Luxury Apartments,21 00 00,2026-03-25
Precast Concrete Panels,Highway 35 Bridge Repair,03 40 00,2026-04-10
Reinforcing Steel Placement,Highway 35 Bridge Repair,03 20 00,2026-03-30
Roofing Materials,Downtown Office Tower Renovation,07 50 00,2026-04-05
Plumbing Fixtures,Riverside Luxury Apartments,22 40 00,2026-03-18
