entry_date,hours,overtime_hours,description,cost_code
2026-01-06,10,2,AUS-2024 Second Street Mixed-Use - Floor 15-16 concrete form supervision and QC. Cylinder testing and slump verification.,03300
2026-01-06,8,0,AUS-2024 Second Street Mixed-Use - MEP rough-in coordination floors 6-9. BIM field verification.,15000
2026-01-07,10,2,AUS-2024 Second Street Mixed-Use - Concrete pour supervision floors 15-16. 310 CY. QC documentation.,03300
2026-01-07,8,0,AUS-2024 Second Street Mixed-Use - Curtain wall installation floors 6-8. Layout and anchor inspection.,08440
2026-01-08,8,0,AUS-2024 Second Street Mixed-Use - Drywall framing inspection floors 1-5. Layout verification and inspection.,09200
2026-01-06,8,0,MIA-2025 Brickell Bay Hotel - Foundation mat pour monitoring. Concrete placement 820 CY. Field QC.,03300
2026-01-07,8,0,MIA-2025 Brickell Bay Hotel - Caisson drilling oversight. Shaft log documentation caissons 5-7.,02400
2026-01-08,6,0,MIA-2025 Brickell Bay Hotel - Rain day - updated submittals log and RFI tracker. Admin coordination.,01000
2026-01-06,8,0,DEN-2024 Aurora Commerce Park - Dock leveler installation inspection. 28 units verified and tested.,11160
2026-01-07,10,2,DEN-2024 Aurora Commerce Park - HVAC rooftop unit installation supervision. Crane picks 4 and 5.,23700
2026-01-08,8,0,DEN-2024 Aurora Commerce Park - Fire sprinkler flush and test coordination. North half building.,21100
2026-01-08,8,0,CHI-2025 Northside Medical - Preconstruction site survey and utility locate coordination.,01000
2026-01-08,8,0,CHI-2025 Northside Medical - Owner design team kickoff meeting. Meeting minutes and action items.,01000
