equipment_name,title,maintenance_type,description,maintenance_date,cost,performed_by,vendor_name,next_due_date
Liebherr LTM 1750-9.1 Mobile Crane,Liebherr 1750 - Annual Inspection and Load Test,preventive,Annual inspection per ASME B30.5 by Liebherr factory-trained technician. Full load test at 125% rated capacity at maximum radius. All structural members inspected. Wire rope replaced - 2400 feet main hoist. All certifications updated. Inspection sticker issued.,2026-01-04,48500.00,Craig Ellison,Liebherr USA Service,2027-01-04
Manitowoc 18000 Crawler Crane,Manitowoc 18000 - 2000 Hour Service,preventive,Full 2000-hour service including engine oil and filters hydraulic system flush and filter replacement track tension and pad inspection boom chord inspection wire rope lubrication. All functions tested and operational. Torque check on all structural bolted connections.,2026-01-05,32000.00,Craig Ellison,Manitowoc Crane Care,2026-07-05
CAT 390F Hydraulic Excavator,CAT 390F - 500 Hour Service,preventive,Engine oil and filter change hydraulic filter replacement fuel filter. Undercarriage inspection - 62% remaining pad life. Track tension adjusted. Swing bearing greased. All hoses inspected - 2 hoses showing cracking on bucket cylinder tagged for replacement within 30 days.,2026-01-08,4800.00,Craig Ellison,Finning CAT,2026-04-08
Schwing Stetter S 65 SX Concrete Pump,Schwing S65 - Pump Hose and Coupler Replacement - Full Fleet,preventive,Following February 19 hose failure incident all pump hoses and couplers on stationary pump and boom pump replaced per new protocol. 380 linear feet of delivery hose replaced. All 42 couplers replaced. New hose identification and inspection log system implemented. Pressure tested to 2000 PSI after replacement.,2026-02-22,28500.00,Craig Ellison,Schwing Stetter Service,2026-08-22
CAT D10T2 Dozer,CAT D10T2 - 1000 Hour Service,preventive,Full service including oil and filters track inspection - undercarriage at 58% life. Push arm pins and bushings inspected - acceptable wear. Blade cutting edge measured - 40% remaining. All fluids topped off. Machine returned to service.,2026-01-20,8200.00,Craig Ellison,Finning CAT,2026-04-20
JLG 1500SJ Ultra Boom Lift - Unit 1,JLG 1500 Unit 1 - Annual Inspection,preventive,Annual inspection per ANSI A92.20. All hydraulic cylinders inspected and seals verified. Platform gate latch and emergency lower tested. Ground and platform controls tested. Inspection sticker issued. Load test at 110% platform capacity.,2026-01-15,3800.00,Craig Ellison,JLG Industries Service,2027-01-15
JLG 1500SJ Ultra Boom Lift - Unit 2,JLG 1500 Unit 2 - Hydraulic Cylinder Repair,corrective,Upper boom hydraulic cylinder leaking at rod seal. Cylinder removed and resealed by JLG service technician. Boom system tested and verified at rated capacity after repair. Machine returned to service in 36 hours. Root cause: abrasive particles in hydraulic fluid - hydraulic filter replaced and fluid sampled.,2026-02-08,6500.00,Craig Ellison,JLG Industries Service,2027-01-15
CAT 745 Articulated Truck - Unit 1,CAT 745 Unit 1 - Tire Replacement - All 6,preventive,All six tires on articulated truck replaced after exceeding wear limit during mass excavation phase. Replaced with Michelin XSM2 29.5R25 tires rated for hard rock haul operations. Wheel studs inspected and re-torqued. Balanced and aligned.,2026-01-25,42000.00,Craig Ellison,Finning CAT,2026-07-25
Generac SG150 Standby Generator - Unit 1,Generator 1 - Monthly Load Test and Service,preventive,Monthly load bank test at 75% rated capacity for 2 hours. Transfer switch test and exercise. Oil and coolant levels checked. Battery load test - passed. Fuel supply verified - 500 gallon diesel on site. All critical systems including medical trailer power verified.,2026-02-01,1200.00,Craig Ellison,,2026-03-01
BrandSafway Harsco Scaffolding System,Scaffold System - Complete Re-inspection and Toe Board Campaign,preventive,Following January 22 near miss incident all scaffold bays on project 420 total re-inspected by BrandSafway certified scaffold inspector. All scaffold boards re-inspected for splits and defects - 18 boards replaced. Toe boards installed on all bays. Intermediate guardrails verified on all bays above 6 feet. Re-inspection tag system implemented requiring weekly re-inspection sign-off.,2026-01-23,18500.00,Craig Ellison,BrandSafway,2026-04-23
