equipment_name,project_name,assigned_date,return_date,notes,status
Liebherr LTM 1750-9.1 Mobile Crane,Hard Rock Legacy Stadium,2025-08-15,,Primary tower crane for structural steel erection - South endzone,active
Liebherr LTM 1500-8.1 Mobile Crane,Hard Rock Legacy Stadium,2025-09-01,,Secondary crane for precast panel installation - North facade,active
Manitowoc 18000 Crawler Crane,Hard Rock Legacy Stadium,2025-07-10,,Heavy lift operations - roof truss placement,active
CAT 390F Hydraulic Excavator,Hard Rock Legacy Stadium,2025-06-01,2025-12-15,Foundation excavation and pile cap trenching - Phase 1 complete,returned
CAT 336 Next Gen Excavator,Hard Rock Legacy Stadium,2025-10-20,,Underground utility installation and grading - East parking structure,active
CAT D10T2 Dozer,Hard Rock Legacy Stadium,2025-06-15,2025-11-30,Mass earthwork grading complete - 850K CY moved,returned
CAT 16M3 Motor Grader,Hard Rock Legacy Stadium,2025-11-01,,Fine grading for exterior hardscape and roadways,active
CAT 745 Articulated Truck - Unit 1,Hard Rock Legacy Stadium,2025-06-01,,Haul operations for excavation and fill material,active
CAT 745 Articulated Truck - Unit 2,Hard Rock Legacy Stadium,2025-06-01,2025-12-01,Haul operations complete for Phase 1,returned
CAT 745 Articulated Truck - Unit 3,Hard Rock Legacy Stadium,2025-08-01,,Concrete debris and material transport,active
Schwing Stetter S 65 SX Concrete Pump,Hard Rock Legacy Stadium,2025-09-15,,Elevated slab pours - Levels 3-5 concourse,active
Putzmeister BSA 2109 Stationary Pump,Hard Rock Legacy Stadium,2025-10-01,,Continuous pour operations - foundation mat sections,active
JLG 1500SJ Ultra Boom Lift - Unit 1,Hard Rock Legacy Stadium,2025-11-15,,Structural steel connections and MEP rough-in at elevation,active
JLG 1500SJ Ultra Boom Lift - Unit 2,Hard Rock Legacy Stadium,2025-11-15,,Curtain wall framing installation - West facade,active
JLG 1500SJ Ultra Boom Lift - Unit 3,Hard Rock Legacy Stadium,2026-01-10,,Roof membrane installation and flashing,active
Manitou MHT 10225 Telehandler,Hard Rock Legacy Stadium,2025-09-01,,Material handling and steel erection support,active
Caterpillar 938M Wheel Loader,Hard Rock Legacy Stadium,2025-07-01,,Aggregate and material stockpile management,active
BrandSafway Harsco Scaffolding System,Hard Rock Legacy Stadium,2025-10-15,,Interior finish scaffolding - main bowl seating areas,active
Generac SG150 Standby Generator - Unit 1,Hard Rock Legacy Stadium,2025-06-01,,Temporary power for construction operations - Zone A,active
Generac SG150 Standby Generator - Unit 2,Hard Rock Legacy Stadium,2025-08-01,,Temporary power for construction operations - Zone B,active
Ford F-450 Super Duty - Superintendent Truck 1,Hard Rock Legacy Stadium,2025-06-01,,Site superintendent daily operations vehicle,active
Ford F-450 Super Duty - Safety Truck,Hard Rock Legacy Stadium,2025-06-01,,Safety department site vehicle with emergency response equipment,active
