entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-0002,2025-01-31,Revenue Recognition January 2025 - Hard Rock Legacy Stadium,REV-2025-01,1010,17800000.00,,Accounts receivable billed to UM
JE-0002,2025-01-31,Revenue Recognition January 2025 - Hard Rock Legacy Stadium,REV-2025-01,4000,,17800000.00,Contract revenue - Hard Rock Legacy Stadium
JE-0003,2025-01-31,Retainage Withheld January 2025 - Hard Rock Legacy Stadium,RET-2025-01,1020,890000.00,,Retainage receivable 5%
JE-0003,2025-01-31,Retainage Withheld January 2025 - Hard Rock Legacy Stadium,RET-2025-01,1010,,890000.00,Reduce AR for retainage
JE-0004,2025-01-31,Revenue Recognition January 2025 - Hurricane Football Performance Center,REV-2025-01,1010,5200000.00,,Accounts receivable billed to UM
JE-0004,2025-01-31,Revenue Recognition January 2025 - Hurricane Football Performance Center,REV-2025-01,4010,,5200000.00,Contract revenue - Hurricane Football Performance Center
JE-0005,2025-01-31,Retainage Withheld January 2025 - Hurricane Football Performance Center,RET-2025-01,1020,260000.00,,Retainage receivable 5%
JE-0005,2025-01-31,Retainage Withheld January 2025 - Hurricane Football Performance Center,RET-2025-01,1010,,260000.00,Reduce AR for retainage
JE-0006,2025-01-31,Revenue Recognition January 2025 - Coral Gables Athlete Village,REV-2025-01,1010,2200000.00,,Accounts receivable billed to UM
JE-0006,2025-01-31,Revenue Recognition January 2025 - Coral Gables Athlete Village,REV-2025-01,4020,,2200000.00,Contract revenue - Coral Gables Athlete Village
JE-0007,2025-01-31,Retainage Withheld January 2025 - Coral Gables Athlete Village,RET-2025-01,1020,110000.00,,Retainage receivable 5%
JE-0007,2025-01-31,Retainage Withheld January 2025 - Coral Gables Athlete Village,RET-2025-01,1010,,110000.00,Reduce AR for retainage
JE-0008,2025-01-31,Revenue Recognition January 2025 - Hurricane Athletic Administration Tower,REV-2025-01,1010,1100000.00,,Accounts receivable billed to UM
JE-0008,2025-01-31,Revenue Recognition January 2025 - Hurricane Athletic Administration Tower,REV-2025-01,4030,,1100000.00,Contract revenue - Hurricane Athletic Administration Tower
JE-0009,2025-01-31,Retainage Withheld January 2025 - Hurricane Athletic Administration Tower,RET-2025-01,1020,55000.00,,Retainage receivable 5%
JE-0009,2025-01-31,Retainage Withheld January 2025 - Hurricane Athletic Administration Tower,RET-2025-01,1010,,55000.00,Reduce AR for retainage
