title,project_name,spec_section,due_date
Curtain Wall - Punch List and Closeout Documentation,Lumière Brickell Marriott Autograph Collection,08 44 00,2026-02-01
Guest Room Millwork - Shop Drawings and Samples,Lumière Brickell Marriott Autograph Collection,06 41 00,2026-01-28
Ballroom Operable Wall - Revised System Shop Drawings,Lumière Brickell Marriott Autograph Collection,10 22 26,2026-02-15
Commercial Kitchen Equipment - All Outlets,Lumière Brickell Marriott Autograph Collection,11 40 00,2026-02-10
Pool Coping Tile - Samples and Installation Drawings,Lumière Brickell Marriott Autograph Collection,09 30 00,2026-01-25
Rooftop Bar Canopy Structure - Shop Drawings,Lumière Brickell Marriott Autograph Collection,05 12 00,2026-02-20
AV and Technology Systems - Ballroom System Design,Lumière Brickell Marriott Autograph Collection,27 41 16,2026-02-28
EV Charging Station - Equipment and Electrical Submittals,Lumière Brickell Marriott Autograph Collection,26 23 00,2026-02-05
Lobby Water Wall - Shop Drawings and Waterproofing Details,Lumière Brickell Marriott Autograph Collection,10 34 00,2026-03-01
Marriott Brand Signage Package - All Areas,Lumière Brickell Marriott Autograph Collection,10 14 00,2026-03-15
Guest Room Case Goods FF&E - Final Approval Samples,Lumière Brickell Marriott Autograph Collection,12 35 00,2026-01-30
Spa Wet Area Mechanical - Revised Dehumidification System,Lumière Brickell Marriott Autograph Collection,23 84 13,2026-02-08
