name,start_date,end_date,color,project_name
Pre-Construction,2025-06-01,2026-10-31,#6366f1,8400 Edgewater Mixed-Use Development
Site Work & Foundations,2026-11-01,2027-04-30,#f59e0b,8400 Edgewater Mixed-Use Development
Structural Frame,2027-03-01,2027-12-31,#ef4444,8400 Edgewater Mixed-Use Development
Building Envelope,2027-08-01,2028-06-30,#10b981,8400 Edgewater Mixed-Use Development
MEP Rough-In,2027-06-01,2028-06-30,#8b5cf6,8400 Edgewater Mixed-Use Development
Interior Finishes,2027-10-01,2028-08-31,#ec4899,8400 Edgewater Mixed-Use Development
Studio Build-Out,2027-06-01,2028-06-30,#14b8a6,8400 Edgewater Mixed-Use Development
Parking Structure,2027-01-01,2027-10-31,#64748b,8400 Edgewater Mixed-Use Development
Landscape & Exterior,2028-04-01,2028-09-30,#22c55e,8400 Edgewater Mixed-Use Development
Lease-Up & Stabilization,2028-05-01,2029-03-01,#3b82f6,8400 Edgewater Mixed-Use Development
