title,description,reason,amount,schedule_impact_days,project_name
MRN CO-001 Post-Tension Redesign Level 8-12,Structural engineer required redesign of PT slab system at residential levels 8-12 due to increased condo unit layout loads from owner unit mix change. Affects 5 floors of PT design and pour sequence.,owner_request,380000,12,The Meridian at River North
MRN CO-002 Unitized Curtain Wall Wind Load Upgrade,Chicago Building Dept required wind load increase per updated ASCE 7-22 criteria for high-rise zone. Curtain wall system upgraded from base spec to enhanced wind-rated system.,code_compliance,520000,8,The Meridian at River North
MRN CO-003 Lobby Feature Ceiling Canopy,Owner requested installation of custom architectural steel canopy in main retail lobby replacing standard ACT ceiling. Includes specialty steel fabrication and lighting integration.,owner_request,285000,5,The Meridian at River North
MRN CO-004 EV Charging Infrastructure - Garage,Chicago EV ordinance requires 20% of parking spaces EV-ready. Added 60 Level 2 EV outlets and conduit for future 40 additional spaces.,code_compliance,195000,0,The Meridian at River North
MRN CO-005 Residential Unit Upgrade - Smart Home Package,Developer marketing decision to upgrade all 210 residential units with Lutron smart home automation Sonos audio and Nest thermostats per updated sales program.,owner_request,840000,0,The Meridian at River North
SDM CO-001 Isolation Room Upgrade ICU Floor,Infection control specialist required upgrade of 12 ICU rooms from standard to negative pressure isolation per updated CDC guidance post-design. Includes exhaust fans monitoring and alarms.,regulatory,680000,14,St. Dominic Medical Center Expansion
SDM CO-002 OR Table Power and Data Upgrade,Biomedical engineering spec updated all 4 OR suites to latest table power data and boom configurations. Requires revised electrical layout and ceiling boom connections.,owner_request,340000,7,St. Dominic Medical Center Expansion
SDM CO-003 ICRA Upgrade - Additional Anterooms,ICRA infection control assessment required additional anterooms at 3 construction access points adjacent to occupied patient areas per APIC standards.,regulatory,215000,5,St. Dominic Medical Center Expansion
SDM CO-004 Medical Gas Expansion - MOB,Owner decided to add piped medical oxygen and vacuum to all 40 MOB exam rooms (originally spec'd for 12 rooms only). Requires added piping riser and outlets.,owner_request,455000,0,St. Dominic Medical Center Expansion
MSL CO-001 Additional Dock Levelers x12,Tenant (e-commerce retailer) increased dock door requirement from 228 to 240 during lease finalization. Added 12 dock levelers dock bumpers and seals.,tenant_change,685000,6,Mid-South Logistics Park - Building 2
MSL CO-002 Office Tenant Improvement Upgrade,Tenant upgraded 12000 SF office from base spec to Class B finish with open office casework breakroom millwork and upgraded HVAC zone control.,tenant_change,420000,0,Mid-South Logistics Park - Building 2
MSL CO-003 Stormwater Pond Enlargement,TDEC required stormwater retention pond expansion from 2.4 acre-feet to 3.8 acre-feet due to revised drainage area calculations after adjacent parcel development.,regulatory,285000,8,Mid-South Logistics Park - Building 2
DSR CO-001 Geothermal Field Expansion,Geothermal loop field expanded from 48 to 64 bores after updated HVAC loads from pool dehumidification equipment increase. Includes additional bore drilling and piping.,design_change,320000,10,Denver Southwest Recreation & Aquatics Center
DSR CO-002 50-Meter Pool Timing System Upgrade,Parks & Rec requested upgrade from base timing to USA Swimming certified electronic timing system with scoreboard display for competition hosting capability.,owner_request,185000,0,Denver Southwest Recreation & Aquatics Center
DSR CO-003 Colorado Prevailing Wage Rate Adjustment,Colorado Little Davis-Bacon wage determination updated mid-project. Applicable labor rate increases across all self-perform and subcontract scopes per CDLE.,regulatory,248000,0,Denver Southwest Recreation & Aquatics Center
