invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name
receivable,2025-03-15,2000000,0,2025-04-14,Progress Payment #1 - AUS-2024 Site Work & Foundation,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-05-01,2500000,0,2025-05-31,Progress Payment #2 - AUS-2024 Structural Steel Floors 1-6,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-07-01,3000000,0,2025-07-31,Progress Payment #3 - AUS-2024 Structural Steel Floors 7-12,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-08-15,2500000,0,2025-09-14,Progress Payment #4 - AUS-2024 Exterior Envelope Start & MEP Floors 1-5,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-09-15,3000000,0,2025-10-15,Progress Payment #5 - AUS-2024 Concrete Deck Floors 13-16 & MEP Floors 6-9,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-10-15,3000000,0,2025-11-14,Progress Payment #6 - AUS-2024 Curtain Wall Floors 1-5 & Interior Framing Floors 1-6,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-11-15,3500000,0,2025-12-15,Progress Payment #7 - AUS-2024 Interior Build-Out Floors 1-6 & MEP Floors 10-14,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2025-12-15,3500000,0,2026-01-14,Progress Payment #8 - AUS-2024 Curtain Wall Floors 6-12 & Framing Floors 10-14,paid,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2026-01-15,2800000,0,2026-02-14,Progress Payment #9 - AUS-2024 MEP Rough-In Floors 10-14 & Concrete Floors 15-16,pending,,UrbanEdge Development,Second Street Mixed-Use Tower
receivable,2023-06-01,2800000,0,2023-07-01,Progress Payment #1 - DFW-2023 Foundation & Site Work,paid,,Dallas Cornerstone Real Estate,Uptown Dallas Financial Center
receivable,2023-09-01,3200000,0,2023-10-01,Progress Payment #2 - DFW-2023 Structural Steel Floors 1-7,paid,,Dallas Cornerstone Real Estate,Uptown Dallas Financial Center
receivable,2023-12-01,3500000,0,2024-01-01,Progress Payment #3 - DFW-2023 Structural Steel Floors 8-14 & Enclosure,paid,,Dallas Cornerstone Real Estate,Uptown Dallas Financial Center
