name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path
Clear & Grub Site,Site Work & Utilities,high,2026-01-10,2026-02-10,100,false,true
Storm Water Management Install,Site Work & Utilities,medium,2026-01-20,2026-02-28,80,false,false
Site Preparation Complete,Site Work & Utilities,high,2026-02-28,2026-03-15,50,true,true
Form & Pour Foundations,Foundations & Slabs,critical,2026-03-01,2026-04-15,20,false,true
Slab-on-Grade Pour,Foundations & Slabs,high,2026-04-01,2026-05-15,0,false,true
Wall Framing - Units 1-16,Framing & Roofing,high,2026-04-15,2026-06-15,0,false,true
Roof Truss Installation,Framing & Roofing,critical,2026-06-01,2026-07-31,0,false,true
Dry-In Milestone,Framing & Roofing,high,2026-07-31,2026-07-31,0,true,true
Electrical & Plumbing Rough-In,MEP Rough-In & Insulation,high,2026-06-15,2026-08-15,0,false,false
Spray Foam Insulation,MEP Rough-In & Insulation,medium,2026-08-01,2026-09-15,0,false,false
Drywall & Paint,Finishes & Landscaping,medium,2026-08-15,2026-10-15,0,false,false
Hardscape & Landscaping,Finishes & Landscaping,low,2026-09-15,2026-11-15,0,false,false
Final Walk-Through,Final Inspections & Closeout,critical,2026-11-01,2026-11-20,0,true,true
Certificate of Occupancy,Final Inspections & Closeout,critical,2026-11-20,2026-11-30,0,true,true
