entry_date,hours,overtime_hours,description,cost_code
2026-01-06,10,2,Stadium bowl - superintendent supervision of drilled pier installation grid B-F. Pier log review and quality control. 18 piers confirmed plumb and poured.,03100
2026-01-06,10,2,MEP coordination - WSP and Bechtel ductwork routing conflict at Level 3-4 grid 14-16. RFI drafted and submitted.,15000
2026-01-07,8,0,Structural steel erection supervision Level 2 columns grid 8-14. Plumb and level checks with survey crew.,05120
2026-01-07,8,0,Safety inspection - all elevated work areas Levels 1-4. Harness inspection 142 workers. 4 harnesses removed from service.,01500
2026-01-08,10,2,Tandem crane lift supervision Liebherr 1750 and Manitowoc 18000 - roof truss T-1 and T-2. Lift director on site. Both picks successful.,05120
2026-01-08,8,0,Project controls - monthly cost report update. Commitment log current. Change order log updated with 4 pending items totaling 11.2M.,01400
2026-01-09,8,0,Football facility - indoor practice bubble steel arch erection supervision arches 1-8. Weld inspection with CWI on site.,05120
2026-01-12,10,2,Stadium - roof truss TC-1 through TC-4 supervision. Survey check of truss bearing elevation at all 8 bearing points.,05120
2026-01-13,8,0,BIM coordination meeting with HOK Walter P Moore WSP Bechtel and Elara. Clash detection report reviewed 44 clashes resolved 12 outstanding.,01800
2026-01-14,8,0,Athlete village - caisson drilling inspection Tower 1 and Tower 2. Bearing verification with geotechnical engineer on 24 piers.,03100
2026-01-15,10,2,Stadium concrete pour supervision - Level 3 concourse Zone A-D 2800 CY. Cylinder sets every 100 CY. All breaks passing at 3000 PSI minimum.,03300
2026-01-20,8,0,Equipment inspection - crane TC-1 TC-2 Liebherr 1750 Manitowoc 18000 monthly inspection with crane manufacturer rep. All compliant.,01500
2026-01-21,8,0,Owner and architect site tour - UM Athletic Director and project team. Stadium bowl and roof structure walk. Progress photos and meeting minutes.,01200
2026-01-22,10,2,Near miss investigation - scaffold board dislodgement. RCA completed. All scaffold re-inspected project-wide. Report to safety director.,01500
2026-01-27,8,0,Post-tension slab stressing supervision Level 4 west grandstand. VSL crew stressing 280 tendons. Elongation records reviewed and accepted.,03300
2026-01-28,8,0,Daktronics scoreboard structural interface meeting. HOK Walter P Moore and Daktronics reviewed support steel requirements. Action items documented.,05120
2026-02-03,10,2,Stadium - concrete pour Level 4 east grandstand 3100 CY overnight pour. Superintendent on site 18 hours. All breaks passing.,03300
2026-02-04,8,0,Admin tower - caisson mat slab pour coordination. 1800 CY overnight pour. Concrete supplier dispatching and QC monitoring.,03300
2026-02-10,8,0,Schedule update - 3-week lookahead review with all superintendents. Float analysis on critical path items. Roof membrane on critical path 12 days float remaining.,01400
2026-02-17,8,0,Owner monthly progress meeting - University of Miami project team. Schedule cost and quality review. Owner approved 6 pending change orders totaling 18.1M.,01200
2026-02-24,8,0,Substantial completion planning - stadium commissioning schedule developed with Bechtel Johnson Controls and Elara. Target commissioning start October 2026.,01200
