name,color,start_date,end_date,project_name
Preconstruction and Mobilization,#6b7280,2024-03-01,2024-06-30,CTA Red Line Extension Utility Relocation Tunnel
Launching Shaft Construction and TBM Assembly,#92400e,2024-03-01,2024-07-31,CTA Red Line Extension Utility Relocation Tunnel
South Bore - TBM Drive Phase 1 (Rings 1-500),#1d4ed8,2024-07-01,2024-12-31,CTA Red Line Extension Utility Relocation Tunnel
Utility Relocation - ComEd NICOR CDOT,#d97706,2024-04-01,2025-09-30,CTA Red Line Extension Utility Relocation Tunnel
South Bore - TBM Drive Phase 2 (Rings 501-1500),#1d4ed8,2025-01-01,2026-06-30,CTA Red Line Extension Utility Relocation Tunnel
111th Street Station Cavern - NATM Excavation,#7c3aed,2025-06-01,2026-12-31,CTA Red Line Extension Utility Relocation Tunnel
Cross Passage Construction (8 total),#059669,2025-09-01,2027-06-30,CTA Red Line Extension Utility Relocation Tunnel
South Bore - TBM Drive Phase 3 (Rings 1501-3100),#1d4ed8,2026-07-01,2027-06-30,CTA Red Line Extension Utility Relocation Tunnel
Extraction Shaft Construction,#92400e,2026-06-01,2027-06-30,CTA Red Line Extension Utility Relocation Tunnel
119th Street Station Cavern - NATM Excavation,#7c3aed,2026-08-01,2027-06-30,CTA Red Line Extension Utility Relocation Tunnel
130th Street Station Cavern - NATM Excavation,#7c3aed,2026-11-01,2027-09-30,CTA Red Line Extension Utility Relocation Tunnel
Tunnel Finishing - Track Systems Waterproofing,#16a34a,2027-04-01,2027-11-30,CTA Red Line Extension Utility Relocation Tunnel
Systems Integration and FTA FFGA Closeout,#374151,2027-09-01,2027-12-31,CTA Red Line Extension Utility Relocation Tunnel
