invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name
receivable,2025-01-31,1850000,0,2025-03-02,I-81 SVA Progress Billing #11 - Earthwork MM 264-270 complete,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-02-28,1950000,0,2025-03-30,I-81 SVA Progress Billing #12 - Drainage & base course MM 264-272,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-03-31,2100000,0,2025-04-30,I-81 SVA Progress Billing #13 - Earthwork MM 270-276 and paving MM 264-268,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-04-30,1750000,0,2025-05-30,I-81 SVA Progress Billing #14 - Soft subgrade CO and base course MM 272-276,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-05-31,1680000,0,2025-06-30,I-81 SVA Progress Billing #15 - Paving MM 268-274 and guardrail,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-06-30,1580000,0,2025-07-30,I-81 SVA Progress Billing #16 - Earthwork MM 276-280 and utility CO,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-07-31,1720000,0,2025-08-30,I-81 SVA Progress Billing #17 - Base course and drainage MM 276-282,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-08-31,1650000,0,2025-09-30,I-81 SVA Progress Billing #18 - Paving MM 274-280 and cable barrier CO,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-09-30,1580000,0,2025-10-30,I-81 SVA Progress Billing #19 - Earthwork and drainage MM 280-285,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-10-31,1480000,0,2025-11-30,I-81 SVA Progress Billing #20 - Base and guardrail MM 280-286,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-11-30,1420000,0,2025-12-30,I-81 SVA Progress Billing #21 - Paving MM 280-284 and grading,paid,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
receivable,2025-12-31,1440000,0,2026-01-30,I-81 SVA Progress Billing #22 - Earthwork drainage MM 285-290,pending,,Virginia Department of Transportation,I-81 Widening - Shenandoah Valley Corridor
