entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,1000,7200000,,Beginning cash balance carryforward
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,1100,8500000,,Equipment fleet net book value at beginning of period
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,1040,820000,,Prepaid insurance beginning of period
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,1210,480000,,Bid and performance bond premiums capitalized
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,1200,200000,,Security deposits other long-term assets
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,2100,0,5800000,Equipment financing – long-term debt
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,2110,0,3000000,Line of credit – US Bank revolving facility
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,3000,0,500000,Common stock – paid-in capital
JE-000,2023-03-01,Opening balances – beginning of project tracking period,OB-2023,3010,0,3670000,Retained earnings – beginning of tracking period
JE-019,2026-01-10,WSB Structural Steel – PA#7 Supplemental January,AP-PSSS-007B,5010,4200000,,Subcontractor costs – PSSS additional January
JE-019,2026-01-10,WSB Structural Steel – PA#7 Supplemental January,AP-PSSS-007B,2000,,4200000,AP – PSSS January supplement
JE-020,2025-12-15,WSB Marine Diving – Payment Application #8 (AP),AP-PSD-008,5010,4100000,,Subcontractor costs – Pacific Sound Diving PA#8
JE-020,2025-12-15,WSB Marine Diving – Payment Application #8 (AP),AP-PSD-008,5050,2400000,,Specialty marine costs – barge fuel USCG inspections
JE-020,2025-12-15,WSB Marine Diving – Payment Application #8 (AP),AP-PSD-008,2000,,6500000,AP – Pacific Sound Diving and marine costs
JE-021,2026-01-10,WSB Diving – January additional PA,AP-PSD-008B,5010,980000,,Subcontractor costs – Pacific Sound Diving January
JE-021,2026-01-10,WSB Diving – January additional PA,AP-PSD-008B,2000,,980000,AP – PSD January
JE-023,2026-01-15,WSB Concrete PA#6 – Cash Payment,AP-RCF-006-PMT,2000,6800000,,Clear AP – Reyes WSB
JE-023,2026-01-15,WSB Concrete PA#6 – Cash Payment,AP-RCF-006-PMT,1000,,6800000,Cash disbursed – Reyes Concrete WSB
JE-025,2026-01-20,SR-520 Concrete PA#4 – Cash Payment,AP-RCF-SR520-004-PMT,2000,4800000,,Clear AP – Reyes SR-520
JE-025,2026-01-20,SR-520 Concrete PA#4 – Cash Payment,AP-RCF-SR520-004-PMT,1000,,4800000,Cash disbursed – Reyes Concrete SR-520
JE-030,2026-01-15,Materials and supplies – all projects current period,AP-MAT-JAN,5020,4450000,,Materials and supplies – structural steel accessories rebar formwork
JE-030,2026-01-15,Materials and supplies – all projects current period,AP-MAT-JAN,2000,,4450000,AP – materials vendors
JE-031,2026-01-31,Materials AP – partial payment,AP-MAT-PMT,2000,2250000,,Partial payment on materials AP
JE-031,2026-01-31,Materials AP – partial payment,AP-MAT-PMT,1000,,2250000,Cash disbursed – materials
JE-032,2025-10-01,Historical subcontractor and labor costs – Everett project,HIST-EVT-COST,5010,22000000,,Everett project sub costs prior periods
JE-032,2025-10-01,Historical subcontractor and labor costs – Everett project,HIST-EVT-COST,5000,5500000,,Everett direct labor prior periods
JE-032,2025-10-01,Historical subcontractor and labor costs – Everett project,HIST-EVT-COST,5020,2000000,,Everett materials prior periods
JE-032,2025-10-01,Historical subcontractor and labor costs – Everett project,HIST-EVT-COST,1000,,29500000,Cash disbursed – Everett historical costs
JE-033,2024-06-01,Historical subcontractor and labor costs – WSB prior periods,HIST-WSB-COST,5010,14000000,,WSB sub costs periods 1-3 prior
JE-033,2024-06-01,Historical subcontractor and labor costs – WSB prior periods,HIST-WSB-COST,5000,3200000,,WSB direct labor prior periods
JE-033,2024-06-01,Historical subcontractor and labor costs – WSB prior periods,HIST-WSB-COST,5050,1800000,,WSB marine operations prior periods
JE-033,2024-06-01,Historical subcontractor and labor costs – WSB prior periods,HIST-WSB-COST,1000,,19000000,Cash disbursed – WSB historical costs
JE-034,2024-09-01,Historical subcontractor and labor costs – SR-520 prior periods,HIST-SR520-COST,5010,4500000,,SR-520 sub costs prior periods
JE-034,2024-09-01,Historical subcontractor and labor costs – SR-520 prior periods,HIST-SR520-COST,5000,1300000,,SR-520 direct labor prior periods
JE-034,2024-09-01,Historical subcontractor and labor costs – SR-520 prior periods,HIST-SR520-COST,1000,,5800000,Cash disbursed – SR-520 historical costs
JE-035,2026-01-31,Direct labor – all projects current January 2026,PR-JAN-2026,5000,8200000,,Direct field labor January 2026 all active projects
JE-035,2026-01-31,Direct labor – all projects current January 2026,PR-JAN-2026,2030,,8200000,Accrued payroll January 2026
JE-036,2026-01-31,Payroll disbursement – January 2026,PR-JAN-PMT,2030,8200000,,Clear accrued payroll January
JE-036,2026-01-31,Payroll disbursement – January 2026,PR-JAN-PMT,1000,,8200000,Cash disbursed – payroll January 2026
JE-037,2026-01-31,G&A salaries and payroll taxes – January 2026,PR-GA-JAN,6000,3120000,,G&A salaries – CEO CFO COO VPs Controllers PMs
JE-037,2026-01-31,G&A salaries and payroll taxes – January 2026,PR-GA-JAN,6010,780000,,Payroll taxes and benefits 25%
JE-037,2026-01-31,G&A salaries and payroll taxes – January 2026,PR-GA-JAN,2030,,3900000,Accrued payroll – G&A January
