title,description,incident_type,severity,incident_date,location,osha_recordable,project_name
Slip on wet concrete - worker returned same day,Laborer slipped on freshly washed concrete slab at Tower C level 12 during morning washdown. Minor abrasion on left elbow. First aid applied on site. Worker returned to full duty after treatment.,first_aid,low,2025-08-15,Energy Corridor Tower C - Level 12 Deck,no,Energy Corridor Campus Tower C
Near miss - falling bolt from crane,Half-inch bolt dropped from crane hook block during rigging changeover at Resort tower. Bolt landed in barricaded exclusion zone. No workers in area. Crane inspection revealed worn keeper pin.,near_miss,medium,2025-09-22,Reid Luxury Resort - Tower Core Floor 28,no,Reid Luxury Resort & Spa
Struck by - pipe from scaffold,6-ft section of 2-inch galvanized pipe fell from scaffold level 4 during plumbing rough-in. Struck ironworker on hard hat and shoulder. Hard hat cracked. Worker experienced shoulder soreness. Sent to occupational clinic. Missed 3 days modified duty.,recordable,high,2025-10-05,Reid Luxury Resort - Podium Level 4,yes,Reid Luxury Resort & Spa
Caught between - excavator and dump truck,Spotter failed to maintain safe distance during backfill operations. Operator's leg was briefly pinched between excavator counterweight and dump truck bed. Bruising and swelling. Transported to ER. No fracture. 5 days lost time.,recordable,high,2025-11-12,Port Container Terminal - Yard Section C,yes,Port Container Terminal Automation
Electrical arc flash - switchgear,Electrician experienced arc flash while energizing new 480V switchgear at terminal substation. Flash burns on forearms. Safety glasses prevented eye injury. Transported to burn center. 12 days lost time. Full recovery.,recordable,critical,2025-12-03,Port Container Terminal - Main Substation,yes,Port Container Terminal Automation
Heat exhaustion - concrete pour,Two concrete finishers showed signs of heat exhaustion during continuous 14-hour summer pour at Museum Park Tower A mat slab. Both treated with IV fluids on site. One transported to hospital for observation. Both returned next week.,recordable,medium,2025-07-18,Museum Park Residences - Tower A Foundation,yes,Museum Park High-Rise Residences
Fall from ladder - 8 ft,Painter fell from 8-ft A-frame ladder when top step gave way. Landed on concrete floor. Fractured left wrist and bruised ribs. Transported to hospital. 28 days lost time. Ladder found to have cracked side rail.,recordable,high,2025-06-20,HISD Magnet School - Gymnasium,yes,HISD Magnet School Renovation
Near miss - crane overload alarm,Liebherr LTM 1100 crane triggered overload alarm while picking steel column at Tower C. Operator immediately stopped lift and lowered load. Investigation found wind speed exceeded chart limits. No damage or injury.,near_miss,high,2026-01-08,Energy Corridor Tower C - Level 14,no,Energy Corridor Campus Tower C
Laceration - sheet metal edge,HVAC installer sustained 4-inch laceration on right forearm from exposed sheet metal duct edge during installation. Required 8 stitches at urgent care. Returned to modified duty same day.,first_aid,medium,2026-01-14,Sugar Land Town Square - Retail Building B,no,Sugar Land Town Square Expansion
Near miss - trench wall slump,Utility trench at Hardy Toll Road showed signs of wall movement during lunch break. Competent person evacuated trench. Wall partially collapsed 20 minutes later. No workers in trench. Trench box installed before re-entry.,near_miss,critical,2025-05-28,Hardy Toll Road - Station 42+00,no,Hardy Toll Road Widening Segment 3
Vehicle accident - pickup truck,Company pickup truck rear-ended at red light on site access road. Driver wearing seatbelt sustained minor neck strain. Vehicle drivable. Police report filed. Driver sent to clinic for evaluation. No lost time.,first_aid,low,2026-01-22,Kemp Petrochemical - Site Access Road,no,Kemp Petrochemical Storage Facility
Respiratory exposure - welding fumes,Welder worked in confined tank without proper ventilation for 45 minutes. Complained of dizziness and nausea. Removed from space and administered oxygen. Transported to clinic. 2 days modified duty.,recordable,high,2025-04-15,Kemp Petrochemical Storage - Tank T-4,yes,Kemp Petrochemical Storage Facility
Chemical splash - concrete additive,Worker splashed concrete accelerator chemical on face and eyes while mixing. Emergency eyewash used immediately. Transported to ER for evaluation. Minor chemical irritation. Full recovery. No lost time.,first_aid,medium,2025-03-10,Drake Waterfront Condominiums - Foundation,no,Drake Waterfront Condominiums
Crane wire rope failure during load test,Main hoist wire rope on Manitowoc 14000 failed during annual load test at 110% capacity. Load dropped 6 inches to test blocks. Exclusion zone was properly maintained. No injuries. Equipment removed from service for full rope replacement.,near_miss,critical,2025-08-30,Foster Regional Medical Center - Crane Pad,no,Foster Regional Medical Center
Scaffold collapse - wind event,Scaffolding on south face of Museum Park Tower B partially collapsed during unexpected wind gust measured at 62 mph. Scaffold was properly tied but wind exceeded design load. No workers on scaffold at time. Debris fell into barricaded area.,near_miss,critical,2026-02-02,Museum Park Residences - Tower B South Face,no,Museum Park High-Rise Residences
Worker fatality - forklift overturn,TRAGIC: Forklift overturned on uneven terrain in container yard during night shift operations. Operator was not wearing seatbelt and was ejected. Pronounced dead at scene. Full OSHA investigation. Operations suspended 72 hours.,fatality,critical,2024-11-18,Port Container Terminal - Yard Section E,yes,Port Container Terminal Automation
