title,project_name,spec_section,due_date
EPB TBM Factory Acceptance Test Reports,CTA Red Line Extension Utility Relocation Tunnel,01 45 23,2024-01-30
Precast Segmental Lining - Mix Design and Structural Calc,CTA Red Line Extension Utility Relocation Tunnel,03 45 13,2024-03-15
Annular Grout Mix Design - 2-Part Silicate,CTA Red Line Extension Utility Relocation Tunnel,03 15 00,2024-05-01
OSHA Compressed Air Plan - 29 CFR 1926 Subpart S,CTA Red Line Extension Utility Relocation Tunnel,01 35 29,2024-03-01
Tunnel Ventilation Plan - MSHA Standards,CTA Red Line Extension Utility Relocation Tunnel,23 37 00,2024-04-15
Dewatering Well Installation Plan and IEPA Permit,CTA Red Line Extension Utility Relocation Tunnel,31 23 19,2024-03-15
Settlement Monitoring Plan - Surface and Subsurface,CTA Red Line Extension Utility Relocation Tunnel,01 71 23,2024-04-01
FTA DBE Participation Plan - 25% Goal Documentation,CTA Red Line Extension Utility Relocation Tunnel,01 21 13,2024-03-01
Cross Passage Ground Improvement Design - Jet Grouting,CTA Red Line Extension Utility Relocation Tunnel,31 32 19,2025-08-01
Station Cavern NATM Shotcrete Design - 119th St Revised,CTA Red Line Extension Utility Relocation Tunnel,03 37 13,2026-02-28
Ring Geometry Study - 3-Piece Taper Ring at 119th Curve,CTA Red Line Extension Utility Relocation Tunnel,03 45 13,2026-03-15
IEPA Muck Disposal Certification Update - Blue Clay,CTA Red Line Extension Utility Relocation Tunnel,01 74 23,2026-02-28
Compensation Grouting Protocol - 10820 S Michigan Ave,CTA Red Line Extension Utility Relocation Tunnel,31 32 19,2026-02-15
NFPA 130 Variance Request - Cross Passage CP-04,CTA Red Line Extension Utility Relocation Tunnel,01 41 00,2026-03-30
