subject,question,priority,due_date,project_name
MRN - Level 12 PT Slab Edge Conflict with Curtain Wall Anchor,Post-tension slab edge at Level 12 SW corner conflicts with unitized curtain wall floor anchor embedment per BIM coordination. PT strand location prohibits anchor at design location. Please provide revised anchor location or PT re-routing solution.,critical,2026-02-15,The Meridian at River North
MRN - Residential Unit Mix Change - Structural Impact Levels 22-28,Developer revised unit mix at levels 22-28 from 3-bedroom to 4-bedroom units. This eliminates 2 shear walls shown on structural drawings. Please confirm structural adequacy or provide revised shear wall layout.,high,2026-03-01,The Meridian at River North
MRN - CTA Vibration Limits - Foundation Monitoring Protocol,CTA requires contractor to confirm vibration monitoring protocol at adjacent Brown Line elevated structure. Current monitoring plan specifies monthly readings but CTA specifications require weekly during pile driving. Please confirm required frequency and receiver locations.,high,2026-02-10,The Meridian at River North
SDM - ICRA Temporary Barrier Location Level 2 East,ICRA risk assessment requires dust control barrier at Level 2 east corridor but existing fire door cannot remain in closed position with barrier in place per fire code. Please provide solution - either relocate barrier or confirm fire door exception process.,critical,2026-02-20,St. Dominic Medical Center Expansion
SDM - Piped Medical Gas Lab vs. NFPA 99 Clearance,Medical gas piping routed per drawings passes within 4 inches of electrical conduit bundle at Level 3 mechanical corridor. NFPA 99 Chapter 5 requires 6-inch minimum separation. Please provide re-route or code equivalency.,high,2026-03-10,St. Dominic Medical Center Expansion
SDM - Operating Room HVAC Supply Air - FGI Compliance,FGI 2022 Guidelines require unidirectional airflow in OR suites at minimum 20 ACH. Current mechanical design shows 18 ACH at proposed diffuser layout. Please revise diffuser count and locations or provide FGI variance documentation.,high,2026-03-15,St. Dominic Medical Center Expansion
PRC - Gaming Floor Structural Load - Slot Machine Foundations,Gaming floor structural drawings do not show any special foundations for slot machine bases. Casino operator requires floor flatness FF50/FL35 and vibration isolation for 2400 slot positions. Please confirm whether slab design meets FF/FL spec or provide remediation plan.,high,2026-05-01,Paladin Resort & Casino
PRC - Nevada Gaming Control Board - Construction Access Protocols,NGCB requires secure access protocols for all construction workers entering finished gaming floor areas during commissioning phase. Please provide NGCB-approved access control plan template for incorporation into subcontract requirements.,medium,2026-05-15,Paladin Resort & Casino
MSL - Dock Door Hardware Conflicts - Roll-Up vs. Sectional,Specification section 08 33 23 lists roll-up doors but tenant lease exhibit specifies sectional steel doors for all 240 dock positions. These are different products with different rough openings. Please confirm door type and provide revised opening dimensions if changed to sectional.,critical,2026-01-10,Mid-South Logistics Park - Building 2
MSL - ESFR Sprinkler Head Clearance at Dock Equipment,ESFR sprinkler head locations at dock positions conflict with dock leveler hinge and raised position travel at 4 doors. Clearance less than 18 inches per NFPA 13. Please provide revised head locations or dock leveler model change.,high,2026-01-20,Mid-South Logistics Park - Building 2
DSR - Competition Pool Surge Tank Sizing,Pool consultant's surge tank sizing at 8200 gallons may be undersized per updated bather load calculations at 360 simultaneous swimmers for competition events. Colorado CDPHE requires surge tank sized at 15% of pool volume. Please confirm sizing or revise.,high,2026-04-15,Denver Southwest Recreation & Aquatics Center
DSR - Geothermal Well Setback from Pool Deck,Geothermal bore field layout shows 3 bores within 8 feet of pool deck edge. City of Denver requires minimum 10-foot setback from any water feature per municipal code. Please revise bore field layout or obtain setback variance.,medium,2026-04-30,Denver Southwest Recreation & Aquatics Center
