name,code,status,project_type,address,city,state,zip,client_name,client_email,client_phone,budget,estimated_cost,start_date,end_date,description,completion_pct
Galleria Office Tower Phase I,GOT-2001,completed,Commercial,5075 Westheimer Rd,Houston,TX,77056,Harper Development Group,alan@harperdev.com,713-555-0401,18500000,17200000,2000-03-15,2002-08-30,22-story Class A office tower with 350000 sqft and underground parking garage,100
Baytown Refinery Maintenance Facility,BRM-2001,completed,Industrial,4800 Decker Dr,Baytown,TX,77520,Kemp Industrial Partners,raymond@kemp-industrial.com,713-555-0411,6200000,5850000,2000-09-01,2001-12-15,Heavy industrial maintenance building with 40-ton overhead crane and blast-resistant walls,100
Memorial Park Pedestrian Bridge,MPB-2002,completed,Infrastructure,6501 Memorial Dr,Houston,TX,77007,Harris County Flood Control,sharon@hcfcd.org,713-555-0406,3800000,3650000,2001-06-01,2002-11-30,Steel arch pedestrian bridge spanning Buffalo Bayou with LED lighting and ADA access,100
Katy Mills Mall Anchor Expansion,KMM-2002,completed,Commercial,5000 Katy Mills Circle,Katy,TX,77494,Woodward Retail Development,angela@woodward-retail.com,713-555-0410,24000000,22800000,2001-11-01,2003-06-30,200000 sqft anchor tenant build-out with 2-story atrium and food court expansion,100
Sugarland Community Hospital Wing,SCH-2003,completed,Institutional,1 Sweetwater Blvd,Sugar Land,TX,77478,Foster Medical Systems,daniel@foster-medical.com,713-555-0409,32000000,30500000,2002-04-15,2004-09-30,4-story patient tower addition with 120 beds surgical suite and emergency department expansion,100
Heights Townhome Village Phase I,HTV-2003,completed,Residential,1200 Yale St,Houston,TX,77008,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,8500000,8100000,2002-08-01,2004-01-15,42-unit luxury townhome development with private courtyards and community pool,100
Port of Houston Container Yard A,PHC-2004,completed,Infrastructure,111 East Loop N,Houston,TX,77029,Port of Houston Authority,sylvia@porthouston.com,713-555-0412,45000000,43200000,2003-01-20,2005-06-30,25-acre container staging yard with 4 gantry cranes and rail intermodal facility,100
Westchase District Parking Garage,WDP-2004,completed,Commercial,10777 Westheimer Rd,Houston,TX,77042,Bayou City REIT,christine@bayoucity-reit.com,713-555-0402,12000000,11400000,2003-07-01,2005-02-28,8-level parking structure with 1200 spaces ground floor retail and EV charging stations,100
FM 1960 Water Treatment Plant,FWT-2005,completed,Infrastructure,14400 FM 1960 Rd W,Houston,TX,77068,Harris County Flood Control,sharon@hcfcd.org,713-555-0406,28000000,27100000,2004-03-15,2006-08-30,12 MGD water treatment facility with membrane filtration and UV disinfection systems,100
Pearland Town Center Phase I,PTC-2005,completed,Commercial,11200 Broadway St,Pearland,TX,77584,Woodward Retail Development,angela@woodward-retail.com,713-555-0410,35000000,33800000,2004-09-01,2006-12-15,450000 sqft lifestyle center with 80 retail spaces restaurants and 2000-seat amphitheater,100
Hurricane Katrina Emergency Housing,HKE-2005,completed,Residential,Multiple Sites,Houston,TX,77001,Houston ISD Facilities,linda@hisd.edu,713-555-0408,15000000,16200000,2005-09-15,2006-03-30,Emergency construction of 200 temporary housing units for hurricane evacuees. Over budget due to material surge pricing,100
Energy Corridor Office Complex Bldg A,ECO-2006,completed,Commercial,14800 St. Marys Ln,Houston,TX,77079,Chen Investment Partners,walter@chen-investments.com,713-555-0403,42000000,40500000,2005-06-01,2007-11-30,12-story LEED Gold office building with 280000 sqft fitness center and conference facility,100
Channelview Industrial Park Phase I,CIP-2006,completed,Industrial,15600 Market Street Rd,Channelview,TX,77530,Kemp Industrial Partners,raymond@kemp-industrial.com,713-555-0411,18000000,17200000,2005-10-15,2007-04-30,6-building industrial park with 240000 sqft warehouse flex space and truck court,100
I-10 Katy Freeway Service Roads,IKF-2007,completed,Infrastructure,I-10 at Barker Cypress,Houston,TX,77094,Texas DOT Houston District,patricia@txdot-houston.gov,713-555-0404,22000000,23500000,2006-02-01,2008-07-30,3.2 miles of frontage road reconstruction with drainage improvements. Over budget due to unexpected soil conditions,100
Heights Townhome Village Phase II,HTV-2007,completed,Residential,1400 Yale St,Houston,TX,77008,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,9800000,9400000,2006-09-01,2008-03-15,38-unit Phase II townhome expansion with upgraded finishes and underground parking,100
Texas Medical Center Research Lab,TMC-2007,completed,Institutional,6550 Bertner Ave,Houston,TX,77030,Foster Medical Systems,daniel@foster-medical.com,713-555-0409,55000000,52000000,2006-04-15,2009-01-30,BSL-3 research laboratory with clean rooms vivarium and specialized HVAC systems,100
Midtown Hotel & Convention Center,MHC-2008,completed,Commercial,3000 Main St,Houston,TX,77002,Reid Hospitality Group,marcus@reid-hospitality.com,713-555-0407,68000000,72500000,2007-01-15,2009-10-30,28-story full-service hotel with 450 rooms 50000 sqft convention space and rooftop restaurant. 2008 financial crisis caused cost overruns and schedule delays,100
Galveston Seawall Reinforcement,GSR-2008,completed,Infrastructure,Seawall Blvd Sections 4-8,Galveston,TX,77550,Harris County Flood Control,sharon@hcfcd.org,713-555-0406,38000000,41200000,2007-06-01,2009-12-30,2.5 miles of seawall reinforcement with sheet pile installation and riprap armor. Hurricane Ike caused major rework,100
Woodlands Corporate Campus Bldg 1,WCC-2009,completed,Commercial,24 Waterway Ave,The Woodlands,TX,77380,Chen Investment Partners,walter@chen-investments.com,713-555-0403,35000000,33200000,2008-09-15,2010-12-30,8-story corporate headquarters with data center floor and executive conference center,100
HISD Elementary School 147,HIS-2009,completed,Institutional,4200 Reed Rd,Houston,TX,77051,Houston ISD Facilities,linda@hisd.edu,713-555-0408,18000000,17500000,2008-11-01,2010-07-30,85000 sqft elementary school for 750 students with gymnasium cafeteria and media center,100
Bayou City Luxury Condominiums,BCL-2010,completed,Residential,1600 Post Oak Blvd,Houston,TX,77056,Bayou City REIT,christine@bayoucity-reit.com,713-555-0402,95000000,98500000,2009-03-15,2012-06-30,35-story luxury condominium tower with 180 units concierge and resort-style amenities. Steel price escalation caused overruns,100
Port Terminal Wharf Expansion,PTW-2010,completed,Infrastructure,7411 Clinton Dr,Houston,TX,77020,Port of Houston Authority,sylvia@porthouston.com,713-555-0412,62000000,59800000,2009-07-01,2011-11-30,1200 LF of new deep-water wharf with Panamax crane rail and container handling systems,100
Energy Corridor Office Complex Bldg B,ECB-2011,completed,Commercial,14900 St. Marys Ln,Houston,TX,77079,Chen Investment Partners,walter@chen-investments.com,713-555-0403,38000000,36500000,2010-04-15,2012-09-30,10-story companion building to ECO-A with skybridge connection and shared amenity deck,100
Channelview Industrial Park Phase II,CIP-2011,completed,Industrial,15800 Market Street Rd,Channelview,TX,77530,Kemp Industrial Partners,raymond@kemp-industrial.com,713-555-0411,22000000,21000000,2010-08-01,2012-02-28,4 additional warehouse buildings with cold storage facility and expanded truck court,100
Memorial Hermann Surgery Center,MHS-2012,completed,Institutional,7700 Main St,Houston,TX,77030,Foster Medical Systems,daniel@foster-medical.com,713-555-0409,28000000,26800000,2011-01-15,2013-04-30,12-OR ambulatory surgery center with imaging suite and 24-bed recovery unit,100
Galleria Mall South Expansion,GMS-2012,completed,Commercial,5015 Westheimer Rd,Houston,TX,77056,Woodward Retail Development,angela@woodward-retail.com,713-555-0410,48000000,46500000,2011-06-01,2013-11-30,180000 sqft retail expansion with luxury anchor tenant and multi-level parking structure,100
Pearland Town Center Phase II,PTC-2013,completed,Commercial,11400 Broadway St,Pearland,TX,77584,Woodward Retail Development,angela@woodward-retail.com,713-555-0410,28000000,27200000,2012-03-15,2014-06-30,Phase II retail expansion with cinema entertainment district and 300-unit apartment component,100
Spring Branch ISD Middle School,SBM-2013,completed,Institutional,8801 Kempwood Dr,Houston,TX,77080,Houston ISD Facilities,linda@hisd.edu,713-555-0408,24000000,23500000,2012-07-01,2014-08-01,120000 sqft middle school with STEM labs performing arts center and competition gymnasium,100
Westpark Tollway Interchange,WTI-2014,completed,Infrastructure,Westpark Tollway at Eldridge,Houston,TX,77077,Texas DOT Houston District,patricia@txdot-houston.gov,713-555-0404,55000000,52800000,2013-02-15,2015-09-30,Full diamond interchange reconstruction with flyover ramps and retaining walls,100
