title,property_name,description,priority,category,scheduled_date,estimated_cost
Pool Pump Replacement - Pool A,Brickell Bay Condominiums,Main pool pump motor failure. 10-year-old Pentair unit needs full replacement including motor housing and controller. Pool currently closed.,high,General,2025-02-15,8500
Rooftop HVAC Unit #3 Repair,Brickell Bay Condominiums,Compressor failure on RTU-3 serving floors 18-25 common corridors. Freon leak detected. Full compressor replacement required.,high,HVAC,2025-03-01,22000
Parking Garage Sealant & Restriping,Brickell Bay Condominiums,Levels P1 and P2 expansion joint sealant failing. Water infiltration noted. Restripe all 400 parking stalls after sealant repair.,medium,General,2025-04-15,38000
Elevator #4 Cab Refurbishment,Brickell Bay Condominiums,Elevator cab #4 interior panels warped and lighting outdated. Complete cab interior renovation including LED lighting mirrors and new panel finish.,medium,General,2025-06-01,45000
Fire Suppression System Annual Inspection,Brickell Bay Condominiums,Required annual fire suppression system inspection and testing per NFPA 25. All heads risers and backflows to be inspected and tested.,high,Safety,2025-07-15,12000
Lobby Flooring Restoration,Brickell Bay Condominiums,Main lobby marble flooring showing wear and etching in high traffic zones. Diamond polishing and sealing required on approximately 3200 sqft.,medium,General,2025-09-01,18000
Building Exterior Pressure Wash,Brickell Bay Condominiums,Annual exterior facade pressure wash for all 42 floors. Salt air and mold build-up on balcony soffits and window frames. Swing stage required.,medium,General,2025-10-01,35000
Generator Load Bank Test,Brickell Bay Condominiums,Annual load bank test on 200kW backup generator per Miami-Dade requirements. Full 4-hour test at rated load with transfer switch test.,high,Mechanical,2025-11-15,4200
Common Corridor Carpet Replacement - Floors 1-10,Brickell Bay Condominiums,Common corridor carpet on floors 1-10 showing significant wear at 8 years old. Replace with commercial-grade nylon in approved building color.,medium,General,2025-12-01,95000
Pool Deck Resurfacing,Brickell Bay Condominiums,Pool deck surface coating peeling in several sections. Apply Kool Deck resurfacing to entire 8000 sqft pool deck area.,medium,General,2026-03-01,28000
Gym Equipment Replacement,Brickell Bay Condominiums,Treadmills and ellipticals in fitness center exceed useful life (12 years). Replace 8 treadmills 6 ellipticals and 4 stationary bikes.,medium,General,2026-04-15,52000
