name,color,start_date,end_date,project_name
Preconstruction & WSDOT Coordination,#6b7280,2023-06-01,2024-01-14,SR-520 Montlake Lid & Lid Park
Utility Relocation & Early Civil,#92400e,2024-01-15,2024-08-31,SR-520 Montlake Lid & Lid Park
Lid Foundation & Walls,#b45309,2024-05-01,2024-12-31,SR-520 Montlake Lid & Lid Park
Lid Deck – Section A,#d97706,2024-10-01,2025-06-30,SR-520 Montlake Lid & Lid Park
Lid Deck – Sections B and C,#f59e0b,2025-04-01,2026-03-31,SR-520 Montlake Lid & Lid Park
Lid Deck – Section D,#84cc16,2025-10-01,2026-06-30,SR-520 Montlake Lid & Lid Park
Montlake Flap Bridge Replacement,#22c55e,2025-09-01,2026-09-30,SR-520 Montlake Lid & Lid Park
Pedestrian & Bicycle Bridge,#14b8a6,2025-11-01,2026-10-31,SR-520 Montlake Lid & Lid Park
MEP & Lighting Systems,#6366f1,2025-06-01,2027-01-31,SR-520 Montlake Lid & Lid Park
Landscape & Lid Park,#8b5cf6,2026-06-01,2027-04-30,SR-520 Montlake Lid & Lid Park
