log_date,weather_conditions,temperature,work_performed,safety_incidents,delays,project_name,status
2026-01-05,partly_cloudy,74,Stadium bowl - Drilled pier installation grid B-F rows 25-42 complete. 18 piers poured today 60-inch diameter 95 feet depth. PCL tower crane TC-1 relocated to position 7 for northeast quadrant picks. Structural concrete crew prepping forms for Level 1 concourse slab pour Zone C. 412 workers on site.,None,None,Hard Rock Legacy Stadium,approved
2026-01-06,sunny,78,Stadium - Level 1 concourse slab Zone C poured 2200 CY pumped via two Schwing pumps. Structural steel crew erecting columns grid lines 8-14 Level 2. Curtain wall mockup panel installed for owner and architect review at site trailer. MEP rough-in Level B1 concourse corridors progressing. 445 workers on site.,None,Material delivery delay - rebar delivery from Nucor 3 hours late due to I-95 traffic. Work continued without impact to schedule.,Hard Rock Legacy Stadium,approved
2026-01-07,sunny,76,Stadium - Post-tension tendons installed Level 2 concourse slab zones A and B. Lower bowl seating area forms erected rows 1-22 east side. Foundation excavation northeast corner complete - 8 additional piers commenced. Football performance center - erection of steel framing for indoor practice facility air structure base ring progressing on north and east walls. 486 workers on site.,None,None,Hard Rock Legacy Stadium,approved
2026-01-08,partly_cloudy,72,Stadium bowl lower seating concrete poured rows 1-18 east side 850 CY. Steel erection Level 3 columns grid C-J progressing - 14 columns set today. Curtain wall pre-installation anchor survey Level 1-3 east concourse complete. Site work - main pedestrian plaza north spine subbase compaction complete ready for paver base course. 498 workers on site.,First aid - laborer minor laceration right hand from wire tie wire. Treated on site returned to work.,None,Hard Rock Legacy Stadium,approved
2026-01-09,sunny,80,Stadium - Level 3 concourse deck forms and rebar zone A-D progressing on track. Rooftop mechanical equipment pads formed Level 5. Football performance center - weight room structural steel erection complete floors 1-2. Practice bubble base ring welded and sealed. Athlete village site grading Tower 1 and 2 footprints complete. 521 workers on site.,None,None,Hurricane Football Performance Center,approved
2026-01-12,sunny,77,Stadium - Level 3 deck poured Zone A 1100 CY pumped. 42 structural columns now erected in lower bowl. Roof structure primary trusses TC-1 and TC-2 positioned for first roof pick pending engineering review sign-off. Club level suite rough framing progressing suites 101-115. Admin tower excavation 65% complete mass earthwork. 558 workers on site.,None,None,Hard Rock Legacy Stadium,approved
2026-01-13,sunny,79,Stadium - First roof primary truss T-1 lifted into position via Liebherr 1750 and Manitowoc 18000 tandem lift. 285-ton pick. All rigging inspected by certified rigger and lift director. Truss set on north side crown at elevation +142 feet. Second truss standby. 612 workers on site across all projects.,None,None,Hard Rock Legacy Stadium,approved
2026-01-14,sunny,81,Stadium - Roof truss T-2 lifted and set successfully. Bracing between T-1 and T-2 commenced. Bowl concrete Level 4 west side forms and PT tendons placed. Football facility - structural steel for practice bubble arch ribs 1-6 of 24 erected. Mechanical penthouse framing Level 4 complete. Athlete Village Tower 1 foundation piers 18 of 24 complete. 635 workers on site.,None,Crane pick on truss T-2 delayed 90 minutes for wind gusting to 22 mph - resumed when wind dropped below 18 mph per crane manufacturer limits.,Hard Rock Legacy Stadium,approved
2026-01-15,partly_cloudy,75,Stadium - Roof truss T-3 and T-4 set. Cantilevered roof structure taking shape. Concourse MEP coordination on Level 3 - WSP walking with Bechtel crews on ductwork routing conflicts at section 14-16. RFI issued. Lower bowl 28000 square feet of finished concrete screeded and cured. 648 workers on site.,None,None,Hard Rock Legacy Stadium,approved
2026-01-20,sunny,82,Stadium - Roof trusses T-1 through T-8 complete. Secondary roof purlins installation commenced. Precast concrete stadium fascia panels - first 12 panels delivered and 3 installed on east elevation. Football facility - indoor practice bubble air structure frame 18 of 24 arches complete. Weight room slab Level 1 poured 380 CY. Film room framing Level 2 progressing. Admin tower - caisson drilling commenced with Kiewit. 724 workers on site.,None,None,Hard Rock Legacy Stadium,approved
2026-01-21,sunny,80,Stadium - Precast facade panels 12 more delivered 8 installed east elevation. Scoreboard east and west primary steel support structures welded and inspected. Suite level drywall commenced suites 101-125 north side. MEP rough-in Level 4 concourse progressing 40% complete. Football facility - bubble air frame complete. Membrane roof installation commenced. 756 workers on site.,None,None,Hard Rock Legacy Stadium,approved
2026-01-22,partly_cloudy,76,Stadium - Roof purlins 60% complete. Metal roof deck installation commenced Zone 1. Level 5 premium club level concrete slab formed and poured west grandstand 750 CY. Athlete Village Tower 1 - foundation caps and grade beams poured. Tower 2 - caisson drilling underway. Admin Tower - 22 of 40 caissons drilled. Site - structured parking Levels P1 and P2 concrete complete. 788 workers on site.,Near miss - scaffolding board dislodged at Level 4 east concourse fell 22 feet to Level 3 barricaded area no personnel in zone. Investigation completed revised scaffold inspection protocol implemented.,None,Hard Rock Legacy Stadium,approved
2026-01-27,sunny,83,Stadium - Metal roof deck 35% installed. Roofing membrane insulation commenced Zone 1-2. Interior bowl concrete steps rows 1-30 east and west complete. Suites 101-180 rough MEP progressing on schedule. Football facility - indoor bubble membrane pressurized for first time test successful. Weight room flooring subbase poured. Athlete Village Tower 1 podium slab Level 1 formed. 812 workers on site.,None,None,Hard Rock Legacy Stadium,approved
