name,code,status,project_type,address,city,state,zip,client_name,client_email,client_phone,budget,estimated_cost,start_date,end_date,description,completion_pct
Lakewood Medical Center Expansion,LMC-2026,active,Commercial,1500 Lake Austin Blvd,Austin,TX,78703,St. David's Healthcare,expansion@stdavids.com,512-555-1100,18500000,17200000,2025-11-01,2027-03-15,Three-story wing addition with 48 patient rooms and surgical suite,22
Mueller District Townhomes Phase 2,MDT-2026,active,Residential,2800 Mueller Blvd,Austin,TX,78723,Mueller Development Corp,info@muellerdev.com,512-555-1201,9200000,8650000,2026-01-10,2026-11-30,32-unit luxury townhome community with shared amenities,8
South Congress Parking Garage,SCP-2026,pre_construction,Infrastructure,1200 South Congress Ave,Austin,TX,78704,City of Austin Transportation,parking@austintexas.gov,512-555-1302,6800000,6400000,2026-04-01,2027-01-15,Five-level parking structure with 450 spaces and EV charging,0
Barton Creek Mall Food Court Remodel,BCM-2026,active,Renovation,2901 Capital of Texas Hwy,Austin,TX,78746,Brookfield Properties,leasing@brookfield.com,512-555-1403,3100000,2850000,2026-01-15,2026-06-30,Complete food court renovation with 12 vendor stalls and seating for 400,35
East Riverside Mixed-Use Development,ERM-2026,pre_construction,Mixed Use,2400 East Riverside Dr,Austin,TX,78741,Greystar Real Estate,dev@greystar.com,512-555-1504,28000000,26500000,2026-06-01,2028-02-28,18-story tower with 280 apartments and 15000 sqft ground-floor retail,0
Round Rock ISD Elementary School #47,RRS-2026,active,Institutional,4500 University Blvd,Round Rock,TX,78665,Round Rock ISD,facilities@roundrockisd.org,512-555-1605,14200000,13800000,2025-09-15,2026-08-01,New 72000 sqft elementary school for 650 students,45
Domain Tech Campus Building C,DTC-2026,active,Commercial,11800 Domain Blvd,Austin,TX,78758,Apple Inc,construction@apple.com,512-555-1706,42000000,39500000,2025-07-01,2027-06-30,Six-story Class A office building with underground parking,28
Pflugerville Water Treatment Upgrade,PWT-2026,active,Infrastructure,700 Pecan St,Pflugerville,TX,78660,City of Pflugerville Utilities,water@pflugervilletx.gov,512-555-1807,7500000,7100000,2025-12-01,2026-10-15,Upgrade filtration capacity from 8MGD to 12MGD,18
Historic Sixth Street Hotel Conversion,HSH-2026,pre_construction,Renovation,400 East 6th St,Austin,TX,78701,Bunkhouse Group,projects@bunkhousehotels.com,512-555-1908,11000000,10200000,2026-05-01,2027-04-30,Convert 1920s warehouse into 85-room boutique hotel,0
Cedar Park Fire Station #7,CPF-2026,active,Institutional,1800 Cypress Creek Rd,Cedar Park,TX,78613,City of Cedar Park,fire@cedarparktexas.gov,512-555-2009,5400000,5100000,2026-01-05,2026-09-30,New 12000 sqft fire station with 3 bays and training facility,12
