name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path
Soldier Pile Wall Installation,Excavation & Shoring,critical,2026-04-01,2026-05-15,0,false,true
Mass Excavation to Depth,Excavation & Shoring,high,2026-05-01,2026-06-15,0,false,true
Excavation Complete,Excavation & Shoring,high,2026-06-30,2026-06-30,0,true,true
Drilled Shaft Foundations,Foundation & Below-Grade Structure,critical,2026-06-01,2026-07-31,0,false,true
Grade Beam & Footing Pour,Foundation & Below-Grade Structure,high,2026-07-15,2026-08-31,0,false,true
Level 1-2 Concrete Placement,Cast-In-Place Concrete Decks,critical,2026-08-01,2026-09-30,0,false,true
Level 3-5 Concrete Placement,Cast-In-Place Concrete Decks,high,2026-09-15,2026-11-15,0,false,true
Structure Topped Out,Cast-In-Place Concrete Decks,critical,2026-11-15,2026-11-15,0,true,true
Fire Sprinkler & Standpipe Install,MEP & Fire Protection,high,2026-10-15,2026-11-30,0,false,false
Electrical & Lighting Install,MEP & Fire Protection,medium,2026-11-01,2026-12-15,0,false,true
Precast Facade Panel Install,Facade & Parking Systems,medium,2026-11-15,2026-12-31,0,false,false
Parking Revenue Equipment,Facade & Parking Systems,low,2026-12-15,2027-01-05,0,false,false
Parking Striping & Signage,Striping & Closeout,medium,2026-12-15,2027-01-10,0,false,false
Garage Open for Use,Striping & Closeout,critical,2027-01-15,2027-01-15,0,true,true
