entry_date,hours,overtime_hours,description,cost_code
2026-01-06,10,2,Federal Courthouse - concrete pour coordination floors 6-7. Pump operator and quality control testing. Cylinder breaks documented.,03300
2026-01-06,8,0,Federal Courthouse - Davis-Bacon wage interviews Level 1-3 crews. Certified payroll review for week ending 12/27.,01400
2026-01-07,10,2,Federal Courthouse - curtain wall installation supervision floors 5-6. Anchor inspection and pull test witness.,08440
2026-01-07,8,0,Federal Courthouse - GSA COR meeting prep and submittal log update. RFI responses drafted for RFI-003 and RFI-005.,01310
2026-01-08,10,0,Federal Courthouse - structural steel erection observation floors 9-10. Bolt torque inspection and weld inspection coordination.,05120
2026-01-08,8,0,Federal Courthouse - Section 3 compliance reporting. HUD-60002 monthly report prepared and submitted. Workforce development outreach calls.,01400
2026-01-09,9,1,Federal Courthouse - MEP coordination BIM clash detection review. Resolved 3 conflicts in mechanical and electrical systems Level 4.,15000
2026-01-09,8,0,Federal Courthouse - change order CO-007 cost estimate development. Section 3 training lab scope review with HUD program manager.,01310
2026-01-12,10,2,Federal Courthouse - Level 8 concrete slab pour. 420 CY placement and finishing. QC cylinder sampling.,03300
2026-01-12,8,0,Federal Courthouse - Davis-Bacon quarterly audit support. Certified payroll production review for 12 subcontractors.,01400
2026-01-13,8,0,Federal Courthouse - LEED documentation review with commissioning agent. Material VOC submittals compiled for EQ credit.,01352
2026-01-13,10,2,Federal Courthouse - steel erection floors 10-11 oversight. Column plumb check and bolt installation inspection.,05120
2026-01-14,8,0,Federal Courthouse - GSA CO-007 change order submittal package finalized and transmitted. Cost and schedule impact narratives completed.,01310
2026-01-14,10,2,Federal Courthouse - rooftop unit setting west wing. Crane picks coordinated with structural for equipment pad loads.,15700
2026-01-15,8,0,Federal Courthouse - federal security inspector escort and coordination. Classified system conduit routing review Level B1.,28000
2026-01-15,10,2,Federal Courthouse - lobby stone tile layout and setting bed inspection Level 1. Mock-up approval with GSA.,09630
