name,color,start_date,end_date,project_name
Preconstruction & Design Coordination,#6b7280,2022-09-01,2023-02-28,West Seattle High-Rise Bridge Replacement
Site Mobilization & Marine Setup,#92400e,2023-03-01,2023-06-30,West Seattle High-Rise Bridge Replacement
Foundation & Drilled Shafts,#b45309,2023-04-01,2024-02-28,West Seattle High-Rise Bridge Replacement
Substructure – Piers and Caps,#d97706,2023-10-01,2024-09-30,West Seattle High-Rise Bridge Replacement
Pylon Construction,#f59e0b,2024-06-01,2026-08-31,West Seattle High-Rise Bridge Replacement
Approach Span Girder Erection,#84cc16,2025-01-01,2026-10-31,West Seattle High-Rise Bridge Replacement
Stay Cable Installation,#22c55e,2025-06-01,2027-01-31,West Seattle High-Rise Bridge Replacement
Deck Construction,#14b8a6,2025-08-01,2027-04-30,West Seattle High-Rise Bridge Replacement
Electrical & Lighting,#6366f1,2026-06-01,2027-07-31,West Seattle High-Rise Bridge Replacement
Finishes & Commissioning,#8b5cf6,2027-03-01,2027-09-30,West Seattle High-Rise Bridge Replacement
