amount,tax_amount,due_date,description,status,vendor_name,project_name
100035,0,2026-01-31,Property Management Fee - January 2026,pending,Hartford Property Management,Brickell Bay Condominiums
75000,0,2026-01-10,Repairs & Maintenance - January 2026,pending,Home Depot Pro,Brickell Bay Condominiums
15000,0,2026-01-10,Landscaping - January 2026,pending,Sun State Landscaping,Brickell Bay Condominiums
20000,0,2026-01-10,Cleaning & Janitorial - January 2026,pending,Miami Clean Commercial,Brickell Bay Condominiums
30000,0,2026-01-10,Electric - Common Areas - January 2026,pending,Florida Power & Light,Brickell Bay Condominiums
40000,0,2026-01-10,Water & Sewer - January 2026,pending,Miami-Dade Water & Sewer,Brickell Bay Condominiums
5000,0,2026-01-10,Gas - January 2026,pending,Florida Gas,Brickell Bay Condominiums
81667,0,2026-01-10,Property Insurance - January 2026,pending,State Farm Commercial Insurance,Brickell Bay Condominiums
140000,0,2026-01-10,Real Estate Taxes - January 2026,pending,Miami-Dade County Tax Collector,Brickell Bay Condominiums
35000,0,2026-01-10,Security Services - January 2026,pending,Patriot Security Group,Brickell Bay Condominiums
15000,0,2026-01-10,Elevator Maintenance - January 2026,pending,Southeast Elevator Services,Brickell Bay Condominiums
65000,0,2026-01-10,Payroll - On-site Staff - January 2026,pending,,Brickell Bay Condominiums
320833,0,2026-01-15,Mortgage Payment - January 2026,pending,BankUnited Commercial Lending,Brickell Bay Condominiums
